File = D:\Moldex3D\02. AI\Only CAE Surrogate\Report\XYPlot\G09_P01-10_SPRUE PRESSURE.csv,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Title,Packing-Sprue Pressure,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Time (sec),Run 9 : G09_P01 (MPa),Time (sec),Run 88 : G09_P02 (MPa),Time (sec),Run 89 : G09_P03 (MPa),Time (sec),Run 90 : G09_P04 (MPa),Time (sec),Run 91 : G09_P05 (MPa),Time (sec),Run 92 : G09_P06 (MPa),Time (sec),Run 93 : G09_P07 (MPa),Time (sec),Run 94 : G09_P08 (MPa),Time (sec),Run 95 : G09_P09 (MPa),Time (sec),Run 96 : G09_P10 (MPa)
0.119953,1.48819,0.0518517,1.69856,0.0327879,2.29986,0.0723868,1.93402,0.0953598,1.68625,0.0518838,2.25573,0.101145,1.62188,0.036772,2.58079,0.0864519,1.44019,0.0633502,1.85714
0.13234,1.54643,0.0565816,1.7554,0.0356351,2.38254,0.0799597,2.01671,0.105613,1.75725,0.057063,2.34984,0.112082,1.688,0.0396491,2.66626,0.0957392,1.49953,0.0697656,1.9305
0.144904,1.60459,0.0620321,1.82022,0.038489,2.46748,0.0875246,2.09424,0.11603,1.82905,0.0621713,2.43429,0.123147,1.75741,0.0430528,2.76815,0.105072,1.55562,0.0760344,1.99939
0.15974,1.66363,0.0676538,1.88809,0.0419041,2.55755,0.0963716,2.18349,0.127867,1.90487,0.0681658,2.53218,0.135728,1.82539,0.0465312,2.85862,0.115933,1.61621,0.0834289,2.07691
0.174517,1.71869,0.0741466,1.96019,0.0453037,2.64014,0.105225,2.26245,0.139503,1.97246,0.0743334,2.62121,0.148612,1.89321,0.0505935,2.95899,0.126807,1.66927,0.0909683,2.14597
0.189533,1.77698,0.0804182,2.02194,0.0487481,2.71642,0.114261,2.34437,0.151746,2.04294,0.0805084,2.7007,0.161444,1.95096,0.0547036,3.05121,0.137891,1.72191,0.0995899,2.21806
0.206498,1.83347,0.0880848,2.09287,0.0528769,2.80365,0.124719,2.42593,0.165497,2.11327,0.0867793,2.78521,0.174792,2.00867,0.0588893,3.13829,0.150662,1.7746,0.108316,2.29104
0.223823,1.89654,0.0956827,2.15571,0.0569974,2.88166,0.135363,2.54248,0.179871,2.22066,0.094024,2.87116,0.190299,2.07842,0.0637115,3.23202,0.163725,1.83188,0.117193,2.35467
0.241268,1.95666,0.103441,2.21893,0.0611418,2.95785,0.145799,2.70419,0.194241,2.3161,0.101298,2.96529,0.205687,2.15306,0.0685886,3.33025,0.17679,1.88094,0.12608,2.41996
0.261835,2.03759,0.112444,2.2853,0.0659499,3.04518,0.157752,2.86919,0.21083,2.41683,0.10976,3.06217,0.221485,2.23864,0.073529,3.41979,0.191849,1.93574,0.136485,2.48985
0.282603,2.1234,0.121634,2.3552,0.0708046,3.12842,0.170339,3.0304,0.227501,2.54662,0.118336,3.16328,0.239943,2.32658,0.0792415,3.52324,0.20705,1.99141,0.146926,2.55947
0.303373,2.19602,0.130858,2.41741,0.07571,3.20183,0.182637,3.17299,0.244363,2.65921,0.127022,3.29834,0.258131,2.41372,0.0850046,3.62056,0.222335,2.04144,0.157578,2.63303
0.324604,2.26797,0.139944,2.47566,0.081323,3.29059,0.195386,3.29633,0.261647,2.7675,0.135626,3.45659,0.276719,2.49634,0.0907587,3.71407,0.237965,2.09438,0.169701,2.70715
0.345327,2.33357,0.150686,2.54881,0.0870302,3.37698,0.208232,3.41043,0.279101,2.87045,0.144395,3.612,0.295133,2.57115,0.0966078,3.81235,0.256093,2.14933,0.182079,2.78885
0.369976,2.40656,0.161237,2.61664,0.0928357,3.45463,0.223032,3.53575,0.299179,2.98832,0.15461,3.76204,0.313988,2.64562,0.103418,3.91485,0.274422,2.20804,0.1943,2.86284
0.392932,2.49442,0.17217,2.6833,0.098685,3.53411,0.237948,3.69057,0.319419,3.12855,0.164858,3.91843,0.335872,2.7324,0.110312,4.02445,0.292401,2.26232,0.206826,2.95508
0.412884,2.64147,0.183233,2.74949,0.104485,3.6128,0.251809,3.853,0.338136,3.27846,0.174689,4.05394,0.356141,2.85833,0.117093,4.12833,0.309147,2.33468,0.218817,3.04311
0.432887,2.75475,0.194239,2.81713,0.109755,3.75781,0.26374,4.0834,0.354237,3.47556,0.183225,4.27418,0.373406,3.0264,0.123341,4.30152,0.323898,2.43855,0.229218,3.20082
0.452982,2.88251,0.205517,2.94605,0.114536,3.88651,0.275845,4.2473,0.370579,3.61853,0.191623,4.43572,0.391101,3.1578,0.128944,4.51439,0.33885,2.51272,0.240921,3.3186
0.472613,3.01122,0.215895,3.06681,0.119404,4.00593,0.288102,4.43394,0.387118,3.77899,0.199966,4.60949,0.408691,3.29572,0.134589,4.67004,0.353886,2.58786,0.252615,3.44123
0.492444,3.13875,0.226076,3.18517,0.124216,4.12137,0.300142,4.61773,0.403317,3.93669,0.208282,4.78851,0.426399,3.44422,0.1402,4.83809,0.368918,2.66879,0.26424,3.5588
0.512397,3.27414,0.236408,3.29874,0.12909,4.23477,0.312228,4.79513,0.419538,4.09031,0.216767,4.9779,0.444097,3.58948,0.145915,5.00802,0.383916,2.74682,0.275788,3.6767
0.531774,3.40492,0.246738,3.41174,0.133963,4.34985,0.324373,4.9825,0.435886,4.25066,0.225156,5.17261,0.46201,3.73912,0.151631,5.17415,0.39884,2.82768,0.28738,3.79543
0.551763,3.53815,0.257063,3.52127,0.138851,4.47075,0.336279,5.15962,0.451895,4.40242,0.233617,5.37141,0.479912,3.88902,0.157333,5.3467,0.413703,2.90259,0.299225,3.93119
0.571262,3.66918,0.267433,3.63329,0.143732,4.57692,0.348368,5.33701,0.46828,4.557,0.241808,5.56902,0.497221,4.03907,0.163076,5.50046,0.428991,2.98417,0.310632,4.07281
0.59082,3.79878,0.277553,3.73993,0.148614,4.70025,0.36025,5.5119,0.484421,4.70832,0.250209,5.76792,0.514561,4.17681,0.16863,5.66842,0.443988,3.07043,0.322319,4.22334
0.610228,3.9278,0.287873,3.84805,0.15348,4.81521,0.372161,5.67947,0.500584,4.85542,0.258415,5.96702,0.532258,4.32782,0.174267,5.83753,0.459152,3.16775,0.333699,4.37786
0.629808,4.05758,0.298253,3.9582,0.158423,4.93083,0.384221,5.85121,0.516847,5.00564,0.266636,6.16214,0.549703,4.47208,0.179965,6.01892,0.473787,3.26649,0.344831,4.53503
0.649214,4.18506,0.308254,4.07009,0.16325,5.0467,0.396112,6.01804,0.533018,5.15237,0.274789,6.35797,0.56716,4.61415,0.185738,6.20676,0.488934,3.37601,0.356191,4.69238
0.668874,4.3165,0.318512,4.19485,0.168178,5.16251,0.408048,6.18776,0.549358,5.30213,0.283097,6.55293,0.584729,4.75797,0.191442,6.39961,0.503708,3.48438,0.367612,4.85593
0.688441,4.44748,0.329047,4.33099,0.173015,5.28062,0.420006,6.35255,0.5655,5.44863,0.291324,6.74583,0.602069,4.90053,0.197186,6.60271,0.518313,3.59439,0.379057,5.01857
0.708252,4.57964,0.339207,4.47433,0.177933,5.39398,0.431981,6.52,0.581731,5.60056,0.299645,6.94052,0.619473,5.04613,0.202854,6.80872,0.533185,3.70892,0.390195,5.18608
0.728101,4.71505,0.349178,4.61805,0.182857,5.51546,0.443923,6.69034,0.598073,5.75135,0.307919,7.1354,0.636992,5.19232,0.208474,7.01368,0.547842,3.82291,0.401574,5.34897
0.747727,4.85236,0.359216,4.76285,0.187697,5.64478,0.456071,6.86089,0.614433,5.90632,0.316121,7.32299,0.654505,5.34008,0.214148,7.21465,0.56261,3.9391,0.413048,5.51542
0.76759,4.98862,0.369362,4.91491,0.192624,5.7693,0.468268,7.03584,0.630766,6.06102,0.324423,7.51648,0.672247,5.49151,0.219912,7.42915,0.577585,4.05704,0.424557,5.6866
0.787588,5.1294,0.379575,5.06864,0.197608,5.89608,0.480322,7.20795,0.647051,6.21622,0.33271,7.71032,0.689887,5.64547,0.225555,7.63852,0.592336,4.17658,0.436012,5.85645
0.807581,5.27247,0.389632,5.22065,0.202505,6.02225,0.492464,7.38125,0.663557,6.37286,0.340894,7.90222,0.70729,5.79844,0.231192,7.84792,0.607328,4.29498,0.447524,6.02594
0.827519,5.41726,0.40002,5.37713,0.207445,6.14619,0.504686,7.5587,0.680145,6.53395,0.349238,8.09704,0.724889,5.95047,0.236737,8.05308,0.622379,4.41768,0.459045,6.19868
0.847693,5.56105,0.410258,5.53677,0.212426,6.27279,0.516715,7.73837,0.696506,6.69587,0.357604,8.29771,0.742669,6.10937,0.242453,8.26727,0.63737,4.54008,0.470601,6.3686
0.867965,5.71057,0.420388,5.69525,0.217367,6.39869,0.528962,7.91298,0.713042,6.85393,0.365878,8.49868,0.760547,6.27101,0.248131,8.47511,0.652337,4.66206,0.482132,6.54424
0.888064,5.86114,0.430518,5.85348,0.222256,6.52327,0.5414,8.09836,0.729907,7.02107,0.374295,8.69784,0.778083,6.43213,0.253963,8.69621,0.667476,4.78778,0.493664,6.72066
0.908042,6.01077,0.440543,6.00835,0.227231,6.65124,0.553735,8.28634,0.746702,7.19058,0.382751,8.89547,0.795762,6.59105,0.259535,8.90824,0.682436,4.91503,0.50522,6.89991
0.928033,6.16203,0.450952,6.17069,0.232222,6.77888,0.565894,8.47054,0.763261,7.35826,0.391222,9.10966,0.813621,6.75391,0.265333,9.11817,0.697209,5.04125,0.516705,7.0805
0.948183,6.31282,0.46123,6.33702,0.237157,6.90743,0.578101,8.654,0.779764,7.52517,0.399565,9.3154,0.831595,6.92049,0.271173,9.33821,0.712166,5.16828,0.528209,7.2625
0.968387,6.46625,0.471566,6.50098,0.242119,7.03494,0.590594,8.84183,0.796524,7.69203,0.408005,9.52098,0.849534,7.08782,0.276972,9.57108,0.727354,5.29984,0.539745,7.44667
0.988504,6.62092,0.481831,6.66775,0.247037,7.17048,0.603127,9.03419,0.813459,7.86505,0.416492,9.73114,0.867401,7.25583,0.282575,9.78624,0.742505,5.43374,0.551263,7.6311
1.00871,6.77665,0.492078,6.83309,0.252007,7.32144,0.615611,9.22898,0.830412,8.04158,0.424935,9.94306,0.88532,7.42403,0.288332,10.0121,0.757544,5.56819,0.562711,7.8175
1.02874,6.93473,0.502348,7.00078,0.256985,7.48109,0.628002,9.42199,0.847206,8.21632,0.433411,10.152,0.903198,7.59389,0.294049,10.2637,0.772474,5.7034,0.574262,8.00401
1.04897,7.09101,0.512545,7.17127,0.261867,7.63871,0.640371,9.61581,0.863851,8.39204,0.441731,10.388,0.921089,7.76206,0.299551,10.4519,0.787558,5.83889,0.585791,8.19598
1.06885,7.25178,0.522693,7.34084,0.266843,7.81539,0.652612,9.80915,0.880454,8.56547,0.449922,10.5689,0.938982,7.93319,0.305313,10.6717,0.8029,5.97849,0.597289,8.38938
1.08863,7.41031,0.532861,7.51442,0.271519,7.98653,0.664842,9.99995,0.896964,8.73927,0.45836,10.7751,0.95656,8.10571,0.311099,10.9021,0.818104,6.12129,0.608722,8.58175
1.10854,7.56835,0.542977,7.68915,0.27615,8.12689,0.677021,10.1963,0.91345,8.91711,0.466756,10.9911,0.97431,8.27858,0.316875,11.1376,0.833107,6.26503,0.619737,8.76852
1.12817,7.73132,0.55312,7.8634,0.281054,8.3126,0.689275,10.3932,0.930015,9.09446,0.475024,11.2069,0.991946,8.45335,0.322693,11.3815,0.847934,6.40596,0.629532,9.02954
1.14535,7.92732,0.56299,8.04139,0.285782,8.47144,0.701374,10.5915,0.946309,9.27344,0.483315,11.4165,1.00874,8.62865,0.328377,11.6083,0.862851,6.54751,0.637706,9.24228
1.16163,8.1154,0.571539,8.27429,0.290683,8.63795,0.713062,10.789,0.962075,9.4517,0.491537,11.6224,1.02333,8.84852,0.334107,11.8422,0.876727,6.70397,0.645689,9.43232
1.17566,8.2845,0.579475,8.4787,0.295377,8.828,0.723177,11.0442,0.975762,9.67786,0.498999,11.9143,1.03751,9.04487,0.339196,12.1719,0.889284,6.88842,0.652721,9.62338
1.18837,8.44585,0.586569,8.66431,0.299379,9.10064,0.732982,11.2706,0.989045,9.88194,0.505852,12.1756,1.05,9.23062,0.34387,12.4727,0.901295,7.05751,0.659664,9.79669
1.20005,8.58896,0.59292,8.84449,0.303223,9.31846,0.741467,11.4799,1.00063,10.0704,0.511735,12.4144,1.06203,9.40544,0.347887,12.7347,0.912054,7.21792,0.666771,9.9851
1.21172,8.73144,0.599014,8.99528,0.307072,9.54635,0.74997,11.6789,1.01208,10.2512,0.517546,12.6456,1.07412,9.58485,0.351799,12.973,0.921121,7.35727,0.673931,10.1856
1.22352,8.87465,0.605177,9.16449,0.310411,9.74896,0.758473,11.8993,1.0235,10.436,0.523274,12.862,1.08619,9.7796,0.355752,13.2289,0.930121,7.49707,0.680904,10.3823
1.23551,9.02528,0.611374,9.33415,0.313758,9.94306,0.766776,12.1151,1.03508,10.6308,0.52839,13.0682,1.09655,9.94124,0.359141,13.4567,0.938841,7.6305,0.687723,10.5734
1.24745,9.18258,0.617549,9.50849,0.317149,10.1576,0.775271,12.3258,1.04686,10.8419,0.533412,13.2732,1.10762,10.1028,0.362554,13.6663,0.948035,7.75787,0.694515,10.7574
1.25927,9.33142,0.623834,9.69784,0.320593,10.3662,0.782743,12.5257,1.05684,11.0175,0.538483,13.479,1.11835,10.2809,0.366077,13.8939,0.957553,7.91339,0.701508,10.9418
1.27129,9.4847,0.629969,9.86936,0.32363,10.5576,0.790169,12.7115,1.06683,11.1844,0.543531,13.6823,1.12898,10.4442,0.369529,14.1355,0.96656,8.06207,0.708638,11.1455
1.28292,9.63252,0.636255,10.0424,0.326609,10.7436,0.797459,12.8952,1.07664,11.3533,0.548629,13.8842,1.13976,10.6102,0.372995,14.362,0.975705,8.20479,0.715735,11.3355
1.2954,9.79767,0.642485,10.2281,0.329585,10.9302,0.804855,13.0903,1.08678,11.5287,0.553814,14.1142,1.15085,10.7792,0.376456,14.5999,0.984654,8.3412,0.722808,11.519
1.30761,9.95902,0.648863,10.4066,0.332613,11.1268,0.812253,13.2775,1.09676,11.6938,0.558808,14.326,1.16204,10.9634,0.379879,14.8455,0.993899,8.4864,0.730308,11.7031
1.31981,10.1081,0.655471,10.597,0.335535,11.3064,0.819628,13.4702,1.10718,11.8739,0.563951,14.5323,1.17281,11.133,0.383337,15.0622,1.00316,8.63412,0.737768,11.894
1.33265,10.2635,0.661765,10.7657,0.338533,11.4947,0.827292,13.6641,1.11779,12.0576,0.56905,14.7399,1.184,11.2923,0.386879,15.2868,1.01273,8.77954,0.745642,12.0915
1.34559,10.4212,0.668595,10.9425,0.341667,11.6801,0.834952,13.8554,1.12796,12.2345,0.574223,14.9346,1.19573,11.474,0.390451,15.5193,1.02231,8.92727,0.753372,12.2786
1.35859,10.5773,0.675492,11.1183,0.344748,11.8599,0.842597,14.041,1.13845,12.4066,0.579625,15.137,1.2072,11.6341,0.394159,15.747,1.03194,9.07156,0.761109,12.454
1.3721,10.7425,0.682433,11.2976,0.34784,12.0357,0.850392,14.2271,1.14924,12.5805,0.585063,15.3383,1.21923,11.8043,0.397866,15.9635,1.04186,9.22096,0.769109,12.6337
1.38566,10.903,0.689342,11.4663,0.351005,12.2117,0.85826,14.4124,1.15992,12.7546,0.59055,15.5383,1.23135,11.9777,0.401598,16.1815,1.05165,9.36615,0.777331,12.8149
1.39952,11.0556,0.696331,11.6228,0.354219,12.388,0.866418,14.5945,1.17075,12.9252,0.596165,15.7376,1.24361,12.1483,0.405403,16.3936,1.06155,9.50265,0.785555,12.9899
1.41368,11.2192,0.703607,11.7898,0.357532,12.553,0.874705,14.7851,1.18192,13.0983,0.601941,15.9323,1.25593,12.3172,0.409255,16.6073,1.07178,9.6394,0.793852,13.1623
1.42797,11.3828,0.711061,11.956,0.360883,12.7265,0.883062,14.9761,1.19352,13.2783,0.607865,16.1331,1.26824,12.4867,0.413219,16.8126,1.08221,9.77991,0.802419,13.3227
1.44249,11.5475,0.7185,12.1289,0.36428,12.8936,0.891453,15.1656,1.20509,13.4662,0.61384,16.331,1.28097,12.6518,0.417302,17.0219,1.09264,9.91891,0.811418,13.5048
1.45691,11.711,0.726122,12.2887,0.36769,13.0614,0.900248,15.3554,1.21686,13.6524,0.619799,16.5233,1.29406,12.8294,0.421387,17.2287,1.10325,10.0534,0.820307,13.6813
1.47196,11.8787,0.733916,12.4529,0.371304,13.2233,0.909191,15.5564,1.22895,13.8391,0.625997,16.7092,1.30699,13.01,0.425554,17.4287,1.11421,10.1893,0.829174,13.8493
1.48703,12.054,0.741785,12.6135,0.374938,13.3849,0.918134,15.7616,1.24128,14.0371,0.632323,16.9402,1.32038,13.1879,0.4298,17.6252,1.12536,10.3268,0.838288,14.018
1.50228,12.2294,0.749688,12.7702,0.37853,13.5458,0.927325,15.9639,1.25353,14.2336,0.638297,17.1096,1.33402,13.3757,0.434119,17.838,1.13652,10.4541,0.847369,14.1906
1.51765,12.4075,0.75776,12.9276,0.382248,13.7013,0.936547,16.1785,1.2662,14.4345,0.644563,17.2893,1.34768,13.5647,0.438361,18.0355,1.14826,10.5949,0.856592,14.3614
1.5334,12.5905,0.765818,13.084,0.38648,13.8764,0.945884,16.3878,1.28052,14.649,0.650939,17.4702,1.36138,13.756,0.442714,18.2137,1.1613,10.7401,0.866849,14.5452
1.55125,12.7834,0.773972,13.2391,0.390785,14.0572,0.956692,16.6161,1.29515,14.8917,0.658492,17.6826,1.37738,13.9567,0.44774,18.4181,1.17454,10.8958,0.876927,14.7522
1.56914,13.003,0.783102,13.4025,0.395163,14.2359,0.967541,16.8769,1.30984,15.1309,0.666006,17.9259,1.39344,14.1921,0.452913,18.6552,1.18793,11.0485,0.886896,14.9669
1.58696,13.2142,0.792113,13.5843,0.399523,14.4123,0.9786,17.1287,1.32449,15.3649,0.673416,18.1536,1.40914,14.4151,0.457963,18.8743,1.20119,11.2002,0.896772,15.1937
1.604,13.4184,0.800763,13.7636,0.403932,14.5928,0.989358,17.3829,1.33929,15.5965,0.680922,18.3833,1.42452,14.638,0.462992,19.0824,1.21457,11.3515,0.906623,15.4153
1.62114,13.6242,0.809514,13.9417,0.408839,14.7786,1.00008,17.6283,1.35554,15.8385,0.688193,18.615,1.43916,14.8489,0.467942,19.2802,1.22924,11.5103,0.91631,15.6428
1.63804,13.8444,0.818337,14.133,0.413495,14.98,1.01164,17.8904,1.3712,16.0994,0.695372,18.857,1.45448,15.0745,0.473474,19.5251,1.24382,11.7012,0.926056,15.8585
1.65485,14.0524,0.82714,14.3242,0.418137,15.1841,1.02322,18.1768,1.38723,16.3632,0.703187,19.1177,1.4692,15.2975,0.479044,19.7916,1.25838,11.8966,0.935867,16.1005
1.67156,14.2557,0.836033,14.5217,0.422775,15.3929,1.03482,18.4556,1.40266,16.6183,0.711029,19.4106,1.48418,15.512,0.484522,20.0596,1.27234,12.0906,0.945688,16.3397
