File = D:\Moldex3D\02. AI\Only CAE Surrogate\Report\XYPlot\G09_P01-10_SPRUE PRESSURE.csv,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Title,Packing-Sprue Pressure,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Time (sec),Run 9 : G09_P01 (MPa),Time (sec),Run 88 : G09_P02 (MPa),Time (sec),Run 89 : G09_P03 (MPa),Time (sec),Run 90 : G09_P04 (MPa),Time (sec),Run 91 : G09_P05 (MPa),Time (sec),Run 92 : G09_P06 (MPa),Time (sec),Run 93 : G09_P07 (MPa),Time (sec),Run 94 : G09_P08 (MPa),Time (sec),Run 95 : G09_P09 (MPa),Time (sec),Run 96 : G09_P10 (MPa)
1.92322,17.0179,0.966187,17.7089,0.492738,18.5781,1.20737,22.1098,1.63717,20.0345,0.829708,23.5169,1.70974,18.4789,0.565415,24.3588,1.48489,15.0793,1.09369,19.7414
1.94068,17.2015,0.975105,17.92,0.497453,18.7956,1.21921,22.3494,1.65263,20.2637,0.837647,23.7611,1.72451,18.6765,0.570726,24.6788,1.49922,15.2761,1.10313,19.9551
1.95672,17.3867,0.983768,18.1369,0.502131,19.0211,1.23091,22.5908,1.66863,20.4811,0.845694,24.0104,1.73937,18.8501,0.576015,24.9654,1.51345,15.4652,1.11287,20.147
1.97372,17.5481,0.992207,18.3346,0.506766,19.2769,1.2423,22.8257,1.68492,20.7233,0.853757,24.2597,1.75493,19.0459,0.581294,25.2443,1.52819,15.653,1.12299,20.358
1.99124,17.7346,1.00106,18.5332,0.511266,19.4621,1.25406,23.0555,1.70126,20.9664,0.861582,24.5065,1.76996,19.2454,0.586435,25.4828,1.54307,15.8511,1.13302,20.5767
2.00803,17.9211,1.0102,18.7428,0.516009,19.6794,1.26612,23.3068,1.71746,21.2118,0.869724,24.7387,1.78467,19.4307,0.591953,25.7481,1.55786,16.0455,1.14277,20.7859
2.02481,18.0956,1.0186,18.9556,0.520651,19.9115,1.27817,23.5637,1.73358,21.4578,0.877998,24.9976,1.80007,19.6204,0.597612,26.0413,1.57255,16.2373,1.15248,20.9867
2.04212,18.2784,1.02724,19.1377,0.525446,20.146,1.29028,23.8203,1.74968,21.7052,0.886343,25.2506,1.81547,19.822,0.60322,26.3315,1.587,16.4273,1.16231,21.1941
2.05907,18.4652,1.03615,19.3373,0.53023,20.3928,1.30203,24.0812,1.76569,21.9558,0.894505,25.5058,1.83027,20.016,0.608664,26.6123,1.6012,16.6118,1.1722,21.4008
2.07603,18.6439,1.04482,19.5409,0.534973,20.6341,1.31366,24.3308,1.78127,22.209,0.902572,25.7519,1.84563,20.2081,0.613937,26.8679,1.61542,16.7944,1.18184,21.612
2.09326,18.8303,1.05333,19.7264,0.539481,20.862,1.32505,24.588,1.797,22.4577,0.910466,25.9988,1.861,20.4094,0.619449,27.1248,1.62993,16.9798,1.1916,21.81
2.11002,19.017,1.06235,19.9223,0.544108,21.0903,1.33666,24.8482,1.81289,22.72,0.918456,26.238,1.87582,20.6075,0.625032,27.418,1.6443,17.1707,1.20153,22.0187
2.12702,19.1991,1.07117,20.1263,0.548829,21.3354,1.34832,25.1191,1.82853,22.9903,0.926542,26.4799,1.89093,20.8072,0.63044,27.6969,1.65856,17.3549,1.2112,22.2321
2.14413,19.386,1.07968,20.3206,0.553582,21.5877,1.35986,25.3988,1.84394,23.2608,0.934489,26.7293,1.90605,21.0097,0.635784,27.9577,1.67268,17.5413,1.22096,22.4292
2.16095,19.5736,1.08834,20.5047,0.558225,21.8458,1.37137,25.6793,1.8594,23.5342,0.94247,26.9718,1.92134,21.2119,0.640998,28.2226,1.68671,17.7221,1.23087,22.6402
2.17805,19.7604,1.09711,20.7012,0.562823,22.1093,1.38291,25.9616,1.8751,23.8188,0.950342,27.2145,1.93685,21.4188,0.646318,28.4626,1.70091,17.9077,1.24054,22.8518
2.19508,19.9511,1.10572,20.8947,0.567407,22.3441,1.39429,26.2544,1.89071,24.1098,0.958185,27.4511,1.95206,21.6266,0.651847,28.7392,1.71487,18.0938,1.25033,23.0539
2.21232,20.1414,1.11443,21.0848,0.572084,22.5962,1.40565,26.5431,1.90631,24.4011,0.966005,27.6919,1.96739,21.8355,0.657172,28.9968,1.72886,18.2755,1.26024,23.2656
2.2296,20.3359,1.12323,21.2823,0.576689,22.8523,1.41718,26.84,1.92209,24.7054,0.973685,27.9341,1.98254,22.0432,0.662503,29.2519,1.74312,18.4628,1.27,23.4762
2.24668,20.5289,1.13189,21.4759,0.581327,23.0979,1.42859,27.1455,1.93751,25.0177,0.981549,28.1673,1.99773,22.2464,0.667945,29.5091,1.75714,18.6515,1.2798,23.6839
2.26403,20.7255,1.14068,21.6702,0.586007,23.3505,1.43981,27.449,1.95302,25.3188,0.989502,28.4121,2.01264,22.4568,0.67343,29.8224,1.77104,18.8367,1.28966,23.8955
2.28102,20.9177,1.14936,21.8682,0.590647,23.6031,1.45126,27.754,1.96863,25.6345,0.997226,28.6563,2.02779,22.6583,0.678534,30.0889,1.78517,19.0211,1.29949,24.1072
2.29823,21.1119,1.15823,22.0639,0.595243,23.8921,1.46263,28.0729,1.98392,25.9532,1.00499,28.8944,2.0429,22.8688,0.683722,30.2846,1.7992,19.2112,1.30926,24.3185
2.31522,21.3097,1.16708,22.2643,0.599617,24.094,1.47401,28.3925,1.99932,26.2692,1.01286,29.1372,2.05811,23.0768,0.689223,30.552,1.813,19.3948,1.31894,24.5299
2.3323,21.5063,1.17588,22.4616,0.604224,24.3209,1.48553,28.714,2.01482,26.5917,1.02057,29.3817,2.07332,23.291,0.694602,30.8081,1.82689,19.5794,1.32667,24.7289
2.34943,21.7041,1.18458,22.6593,0.608848,24.5654,1.49689,29.0527,2.03025,26.9186,1.02831,29.6161,2.08867,23.4994,0.700158,31.0643,1.84074,19.7682,1.33678,29.7289
2.36642,21.9071,1.19331,22.8544,0.613485,24.808,1.50825,29.3854,2.04568,27.2457,1.03604,29.8573,2.1041,23.7149,0.705723,31.3344,1.85465,19.9535,1.34802,34.7289
2.38344,22.1092,1.20201,23.0515,0.618094,25.0501,1.51968,29.7263,2.06104,27.5766,1.04375,30.089,2.11942,23.9315,0.711182,31.6091,1.86843,20.1432,1.34802,34.7289
2.40063,22.3137,1.20616,23.2142,0.6227,25.3005,1.52654,30.0351,2.06344,27.8431,1.05118,30.325,2.13469,24.1485,0.712375,31.8874,1.87043,20.3299,1.35787,38.616
2.41772,22.5216,1.21636,25.6386,0.625177,25.4737,1.53926,33.8329,2.07357,32.8421,1.05235,30.5689,2.14979,24.3646,0.718555,35.0154,1.88191,25.3299,1.36802,42.2255
2.42986,22.7106,1.22724,27.9625,0.630359,26.8534,1.55375,37.6091,2.08484,37.8421,1.06102,31.517,2.16239,24.5705,0.725091,38.1192,1.89487,30.3299,1.37846,45.5661
2.44066,27.71,1.22724,27.9625,0.636233,28.3363,1.55375,37.6091,2.09566,42.0992,1.07046,32.4594,2.17031,29.5691,0.725091,38.1192,1.89487,30.3299,1.38923,48.6474
2.45277,32.71,1.23754,29.9233,0.636233,28.3363,1.56405,39.9051,2.09566,42.0992,1.07046,32.4594,2.17891,34.5691,0.731931,41.1549,1.90423,33.4724,1.40031,51.4797
2.46487,37.1016,1.24814,31.735,0.642152,29.7428,1.57466,42.0263,2.10596,45.7145,1.0796,33.2853,2.18832,39.5691,0.738977,44.0678,1.91388,36.4061,1.41173,54.0736
2.46487,37.1016,1.25907,33.403,0.648426,31.1455,1.58558,43.9794,2.11657,49.0548,1.08901,34.0583,2.19545,43.0028,0.746233,46.8567,1.92381,39.1365,1.42349,56.4402
2.47452,40.1795,1.27033,34.9334,0.654888,32.4997,1.59684,45.7713,2.12749,52.1303,1.0987,34.7795,2.19545,43.0028,0.753708,49.5208,1.93404,41.6695,1.4356,58.5913
2.48446,43.0439,1.28192,36.3322,0.661544,33.8043,1.60843,47.4092,2.13875,54.952,1.10868,35.4504,2.20307,46.4063,0.761406,52.0597,1.94457,44.0116,1.44807,60.5385
2.4947,45.7009,1.29386,37.606,0.6684,35.0586,1.62037,48.9007,2.15034,57.5311,1.11896,36.0724,2.21091,49.645,0.769336,54.4735,1.95542,46.1699,1.46092,62.2939
2.50524,48.1576,1.30616,38.7614,0.675461,36.262,1.63267,50.2535,2.16228,59.8797,1.12955,36.6472,2.21899,52.7192,0.777503,56.7626,1.9666,48.1516,1.47416,63.8697
2.5161,50.4211,1.31883,39.805,0.682735,37.414,1.64534,51.4755,2.17458,62.0099,1.14046,37.1766,2.22731,55.6299,0.785916,58.9277,1.97811,49.9647,1.48779,65.2779
2.52729,52.4993,1.33187,40.7438,0.690226,38.5142,1.65839,52.5747,2.18725,63.9341,1.1517,37.6623,2.23588,58.3784,0.794581,60.9702,1.98997,51.6171,1.50183,66.5306
2.53881,54.4005,1.34531,41.5846,0.697943,39.5625,1.67183,53.5591,2.2003,65.665,1.16327,38.1064,2.24471,60.9668,0.803505,62.8917,2.00219,53.1173,1.51629,67.6398
2.55068,56.133,1.35916,42.3342,0.705891,40.559,1.68567,54.4369,2.21374,67.2152,1.17519,38.5109,2.2538,63.3974,0.812698,64.6942,2.01477,54.4738,1.53119,68.617
2.5629,57.7058,1.37341,42.9994,0.714077,41.5038,1.69992,55.2158,2.22758,68.5973,1.18747,38.8779,2.26316,65.6734,0.822166,66.3801,2.02772,55.6952,1.54653,69.4736
2.57549,59.1277,1.3881,43.5869,0.722509,42.3972,1.71461,55.9037,2.24184,69.8239,1.20011,39.2095,2.27281,67.7981,0.833055,68.1354,2.04107,56.7902,1.56233,70.2205
2.58846,60.4079,1.40322,44.1032,0.731193,43.2399,1.72974,56.5081,2.25652,70.9071,1.21314,39.5078,2.28274,69.7754,0.845577,69.9341,2.05482,57.7676,1.57861,70.8683
2.60182,61.5556,1.41881,44.5545,0.740139,44.0324,1.74713,57.0981,2.27165,71.8589,1.22655,39.7751,2.29298,71.6097,0.859977,71.7436,2.06897,58.6359,1.59538,71.4269
2.61557,62.5797,1.43485,44.9469,0.749353,44.7758,1.76714,57.6586,2.28723,72.6911,1.24037,40.0134,2.30352,73.3057,0.876537,73.5249,2.08356,59.4036,1.61264,71.9057
2.62974,63.4895,1.45138,45.2863,0.758843,45.4708,1.79014,58.1742,2.30327,73.4146,1.2546,40.225,2.31438,74.8684,0.895581,75.2341,2.09858,60.079,1.6325,72.3613
2.64434,64.2937,1.46841,45.578,0.768618,46.1188,1.81659,58.6308,2.3198,74.0403,1.26926,40.4119,2.32556,76.3033,0.917482,76.8254,2.11405,60.6702,1.65534,72.7813
2.65937,65.0012,1.48594,45.8274,0.778686,46.721,1.84702,59.0169,2.33683,74.5782,1.28436,40.5762,2.33708,77.616,0.942668,78.2546,2.12999,61.1849,1.6816,73.1539
2.67486,65.6204,1.504,46.0392,0.789056,47.2788,1.882,59.3259,2.35436,75.0379,1.29992,40.7199,2.34894,78.8123,0.971632,79.4842,2.1464,61.6306,1.71181,73.4698
2.6908,66.1594,1.5226,46.2179,0.799737,47.7938,1.92224,59.5569,2.37242,75.4284,1.31594,40.8449,2.36116,79.8983,1.00494,80.4887,2.16331,62.0143,1.74654,73.7234
2.70723,66.626,1.54176,46.3678,0.810738,48.2675,1.96851,59.7156,2.39103,75.758,1.33243,40.953,2.37374,80.8802,1.04324,81.2591,2.18072,62.3426,1.78648,73.9138
2.72415,67.0277,1.5615,46.4925,0.82207,48.7018,2.02172,59.8137,2.41019,76.0343,1.34943,41.0459,2.38671,81.7643,1.0873,81.8057,2.19866,62.622,1.83242,74.0453
2.74158,67.3714,1.58183,46.5957,0.833742,49.0984,2.08025,59.8642,2.43222,76.2912,1.36693,41.1254,2.40006,82.5568,1.13795,82.1574,2.21713,62.8581,1.88524,74.127
2.75953,67.6638,1.60277,46.6803,0.845764,49.4593,2.14464,59.8873,2.45756,76.5215,1.38496,41.1929,2.41381,83.2642,1.19368,82.3483,2.23616,63.0563,1.94335,74.1694
2.77802,67.9108,1.62433,46.7493,0.858146,49.7863,2.21546,59.8963,2.4867,76.7192,1.40353,41.25,2.42798,83.8925,1.25497,82.4413,2.25576,63.2217,2.00727,74.189
2.79706,68.1182,1.64655,46.805,0.8709,50.0814,2.29337,59.8992,2.52022,76.8803,1.42266,41.2978,2.44257,84.4481,1.3224,82.4809,2.27595,63.3586,2.07758,74.1967
2.81668,68.2912,1.66943,46.8496,0.884036,50.3465,2.37907,59.8999,2.55875,77.0035,1.44236,41.3376,2.4576,84.9368,1.39657,82.4951,2.29674,63.4712,2.15492,74.1993
2.83688,68.4344,1.69299,46.885,0.897567,50.5838,2.47333,59.9,2.60308,77.0906,1.46265,41.3706,2.47308,85.3645,1.47815,82.4991,2.31816,63.563,2.23999,74.1999
2.85769,68.5521,1.71726,46.9129,0.911504,50.7951,2.57703,59.9,2.65405,77.1464,1.48356,41.3976,2.48902,85.7368,1.5679,82.4999,2.34022,63.6374,2.33358,74.2
2.87912,68.6481,1.74226,46.9347,0.925858,50.9824,2.69109,59.9,2.71011,77.1764,1.50508,41.4197,2.50544,86.0592,1.66661,82.5,2.36294,63.697,2.43652,74.2
2.9012,68.7258,1.76802,46.9515,0.940643,51.1477,2.81656,59.9,2.77178,77.191,1.52984,41.4396,2.52236,86.3368,1.77038,82.5,2.38634,63.7445,2.54975,74.2
2.92394,68.7881,1.79454,46.9644,0.955872,51.2927,2.95457,59.9,2.83962,77.1971,1.55831,41.4568,2.53978,86.5743,1.78421,72.5,2.41045,63.782,2.67431,74.2
2.95009,68.8435,1.82186,46.9741,0.971558,51.4193,3.10639,59.9,2.91424,77.1993,1.59105,41.4709,2.55772,86.7763,1.798,62.5,2.43528,63.8113,2.81133,74.2
2.98016,68.8906,1.85,46.9814,0.987714,51.5293,3.27339,59.9,2.99633,77.1999,1.62871,41.4819,2.5762,86.947,1.81386,52.5862,2.46085,63.834,2.96204,74.2
3.01474,68.9284,1.87898,46.9868,1.00435,51.6243,3.45709,59.9,3.08663,77.2,1.67201,41.4897,2.59524,87.0903,1.83211,42.9938,2.48719,63.8514,3.12783,74.2
3.05451,68.9569,1.91231,46.9912,1.02149,51.7058,3.47854,59.9,3.18595,77.2,1.7218,41.4948,2.61485,87.2099,1.85308,33.9747,2.51432,63.8646,3.31019,74.2
3.10025,68.9766,1.95064,46.9946,1.03915,51.7754,3.49524,49.9,3.29521,77.2,1.77907,41.4978,2.63505,87.3089,1.87721,25.7786,2.54552,63.8756,3.5108,74.2
3.15284,68.9889,1.99472,46.997,1.05733,51.8344,3.51444,40.3199,3.41539,77.2,1.84206,41.4992,2.65585,87.3902,1.90495,18.6269,2.5814,63.8844,3.7134,74.2
3.2107,68.9953,2.04541,46.9985,1.07606,51.8842,3.53651,31.4179,3.54759,77.2,1.91135,41.4997,2.67728,87.4566,1.93685,12.6841,2.62266,63.8908,3.91804,74.2
3.27434,68.9983,2.10117,46.9993,1.09536,51.9258,3.56191,23.4408,3.69301,77.2,1.98757,41.4999,2.69935,87.5103,1.97354,8.03031,2.67011,63.8952,4.04167,74.2
3.34435,68.9995,2.1625,46.9997,1.11522,51.9604,3.5911,16.5964,3.85297,77.2,2.07142,41.5,2.72208,87.5534,2.01574,4.64205,2.72468,63.8978,4.06,64.2
3.42136,68.9999,2.22997,46.9999,1.13569,51.989,3.62468,11.0235,4.02892,77.2,2.16364,41.5,2.74549,87.5878,2.06426,2.38961,2.7847,63.8991,4.07558,54.2
3.50606,69,2.30419,47,1.15677,52.0124,3.6633,6.76676,4.22248,77.2,2.26509,41.5,2.7696,87.6148,2.12006,1.05619,2.85073,63.8997,4.09349,44.4913
3.59924,69,2.38583,47,1.17848,52.0314,3.70771,3.7618,4.43539,77.2,2.37669,41.5,2.79445,87.636,2.18144,0.407891,2.92336,63.8999,4.11409,35.3262
3.70174,69,2.47563,47,1.20345,52.0485,3.75877,1.84069,4.65043,77.2,2.49944,41.5,2.82003,87.6524,2.24896,0.132487,3.00326,63.9,4.13778,26.9576
3.81448,69,2.57441,47,1.23217,52.0633,3.81495,0.80667,4.86762,77.2,2.63447,41.5,2.84638,87.6649,2.32323,0.0340878,3.09114,63.9,4.16503,19.6135
3.9385,69,2.68308,47,1.26519,52.0754,3.87674,0.308202,5.08698,77.2,2.783,41.5,2.87352,87.6744,2.40493,0.00623878,3.18781,63.9,4.19635,13.4687
4.07492,69,2.8026,47,1.30317,52.0848,3.94472,0.0987091,5.30853,77.2,2.94639,41.5,2.90148,87.6816,2.4948,0.000632129,3.29415,63.9,4.23238,8.61605
4.22498,69,2.93408,47,1.34684,52.0914,4.01949,0.0249044,5.46644,77.2,3.12611,41.5,2.93028,87.6869,2.59365,7.24E-06,3.41112,63.9,4.27382,5.04613
4.39005,69,3.07871,47,1.39706,52.0957,4.10173,0.00442132,5.48894,67.2,3.32381,41.5,2.96339,87.6912,2.70239,1.00E-06,3.53979,63.9,4.32147,2.64173
4.57163,69,3.2378,47,1.45231,52.0981,4.3038,1.00E-06,5.50382,57.2,3.54127,41.5,3.00147,87.6946,2.82201,1.00E-06,3.68133,63.9,4.37626,1.19418
4.77137,69,3.4128,47,1.51308,52.0992,4.50789,1.00E-06,5.52094,47.4113,3.76091,41.5,3.04527,87.6969,2.95358,1.00E-06,3.83702,63.9,4.43654,0.474386
4.99107,69,3.6053,47,1.57992,52.0998,4.71402,1.00E-06,5.54062,38.0807,3.98275,41.5,3.09563,87.6985,3.09832,1.00E-06,4.00828,63.9,4.50284,0.159856
5.21298,69,3.81705,47,1.65345,52.0999,4.92221,1.00E-06,5.56325,29.4623,4.2068,41.5,3.15103,87.6993,3.25752,1.00E-06,4.19667,63.9,4.57577,0.0432683
5.4371,69,4.03091,47,1.73434,52.1,5.13249,1.00E-06,5.58927,21.7942,4.4331,41.5,3.21197,87.6997,3.43265,1.00E-06,4.40389,63.9,4.656,0.00855578
5.66347,69,4.24692,47,1.82331,52.1,5.34486,1.00E-06,5.6192,15.271,4.66166,41.5,3.279,87.6999,3.62529,1.00E-06,4.61319,63.9,4.86268,1.00E-06
5.8921,69,4.46509,47,1.92118,52.1,5.55936,1.00E-06,5.65363,10.0146,4.8925,41.5,3.35274,87.7,3.83719,1.00E-06,4.82458,63.9,5.07143,1.00E-06
6.12301,69,4.68543,47,2.02884,52.1,5.77601,1.00E-06,5.69321,6.05047,5.12565,41.5,3.43385,87.7,4.05121,1.00E-06,5.03808,63.9,5.28226,1.00E-06
6.35624,69,4.90798,47,2.14726,52.1,5.99482,1.00E-06,5.73873,3.29623,5.36114,41.5,3.52307,87.7,4.26738,1.00E-06,5.25372,63.9,5.4952,1.00E-06
6.59179,69,5.13276,47,2.27752,52.1,6.21582,1.00E-06,5.79108,1.57067,5.41035,41.5,3.62122,87.7,4.4857,1.00E-06,5.47152,63.9,5.71028,1.00E-06
6.82971,69,5.35978,47,2.42082,52.1,6.43903,1.00E-06,5.84866,0.666212,5.43444,31.5,3.72918,87.7,4.70621,1.00E-06,5.69149,63.9,5.9275,1.00E-06
7.07,69,5.58908,47,2.57844,52.1,6.66447,1.00E-06,5.91201,0.244215,5.46215,22.7711,3.84793,87.7,4.92892,1.00E-06,5.91366,63.9,6.1469,1.00E-06
7.16086,69,5.82066,47,2.75182,52.1,6.89217,1.00E-06,5.98168,0.0740534,5.49402,15.5145,3.97856,87.7,5.15386,1.00E-06,6.13806,63.9,6.36849,1.00E-06
7.17536,59,6.05457,47,2.94254,52.1,7.12214,1.00E-06,6.05833,0.0172954,5.53067,9.82882,4.12225,87.7,5.38105,1.00E-06,6.36469,63.9,6.59229,1.00E-06
7.19202,49.1667,6.29081,47,3.15233,52.1,7.35441,1.00E-06,6.14264,0.0027138,5.57281,5.68649,4.28032,87.7,5.61051,1.00E-06,6.5936,63.9,6.81834,1.00E-06
7.21119,39.7431,6.52941,47,3.36422,52.1,7.58901,1.00E-06,6.36641,1.00E-06,5.62128,2.93045,4.45419,87.7,5.84227,1.00E-06,6.82479,63.9,7.04664,1.00E-06
7.23323,30.983,6.7704,47,3.57823,52.1,7.82595,1.00E-06,6.59241,1.00E-06,5.67702,1.29712,4.64544,87.7,6.07634,1.00E-06,7.0583,63.9,7.27723,1.00E-06
7.25858,23.1295,7.0138,47,3.79438,52.1,8.06526,1.00E-06,6.82068,1.00E-06,5.73833,0.501856,4.85582,87.7,6.31275,1.00E-06,7.29414,63.9,7.51012,1.00E-06
7.28773,16.3872,7.25964,47,4.01269,52.1,8.30697,1.00E-06,7.05123,1.00E-06,5.80577,0.163399,5.06831,87.7,6.55153,1.00E-06,7.53234,63.9,7.74534,1.00E-06
7.32125,10.8938,7.50793,47,4.23319,52.1,8.55109,1.00E-06,7.28409,1.00E-06,5.87995,0.0421812,5.28292,87.7,6.7927,1.00E-06,7.77292,63.9,7.98292,1.00E-06
7.3598,6.69412,7.75871,47,4.45589,52.1,8.79765,1.00E-06,7.51927,1.00E-06,5.96156,0.0077598,5.49967,87.7,7.03627,1.00E-06,8.01591,63.9,8.22287,1.00E-06
7.40414,3.72637,7.88717,47,4.68081,52.1,9.04668,1.00E-06,7.75681,1.00E-06,6.1994,1.00E-06,5.7186,87.7,7.28229,1.00E-06,8.05743,63.9,8.46522,1.00E-06
7.45512,1.82653,7.91723,37,4.90799,52.1,9.2982,1.00E-06,7.99672,1.00E-06,6.43961,1.00E-06,5.93971,87.7,7.53076,1.00E-06,8.07308,53.9,8.70999,1.00E-06
7.5112,0.802173,7.94426,27,5.13744,52.1,9.55223,1.00E-06,8.23903,1.00E-06,6.68223,1.00E-06,6.16303,87.7,7.78172,1.00E-06,8.09108,44.1997,8.95721,1.00E-06
7.57289,0.30731,7.97534,18.6081,5.36918,52.1,9.8088,1.00E-06,8.48376,1.00E-06,6.92728,1.00E-06,6.38859,87.7,8.03519,1.00E-06,8.11178,35.0519,9.2069,1.00E-06
7.64075,0.0987716,8.01108,11.957,5.60324,52.1,10.0679,1.00E-06,8.73094,1.00E-06,7.17478,1.00E-06,6.6164,87.7,8.29119,1.00E-06,8.13558,26.7093,9.45909,1.00E-06
7.7154,0.0250433,8.05219,7.04209,5.83964,52.1,10.3297,1.00E-06,8.98059,1.00E-06,7.42475,1.00E-06,6.84649,87.7,8.54975,1.00E-06,8.16295,19.3987,9.71381,1.00E-06
7.79751,0.0044803,8.09946,3.71326,6.00218,52.1,10.594,1.00E-06,9.23274,1.00E-06,7.67722,1.00E-06,7.07888,87.7,8.8109,1.00E-06,8.19443,13.2926,9.97106,1.00E-06
8.0402,1.00E-06,8.15382,1.6947,6.0365,42.1,10.861,1.00E-06,9.48742,1.00E-06,7.93221,1.00E-06,7.3136,87.7,9.07466,1.00E-06,8.23062,8.48095,10.2309,1.00E-06
8.28532,1.00E-06,8.21361,0.681317,6.06025,32.1,11.1307,1.00E-06,9.74463,1.00E-06,8.18976,1.00E-06,7.55066,87.7,9.34106,1.00E-06,8.27225,4.95051,10.4933,1.00E-06
8.5329,1.00E-06,8.27939,0.233168,6.08756,23.3316,11.403,1.00E-06,10.0044,1.00E-06,8.44988,1.00E-06,7.79009,87.7,9.61012,1.00E-06,8.32012,2.5806,10.7584,1.00E-06
8.78294,1.00E-06,8.35175,0.0644605,6.11898,16.0024,11.6781,1.00E-06,10.2668,1.00E-06,8.7126,1.00E-06,8.03192,87.7,9.88187,1.00E-06,8.37518,1.15991,11.0261,1.00E-06
9.03549,1.00E-06,8.43134,0.0131564,6.1551,10.2215,11.9559,1.00E-06,10.5318,1.00E-06,8.97795,1.00E-06,8.27617,87.7,10.1563,1.00E-06,8.43573,0.457489,11.2965,1.00E-06
9.29057,1.00E-06,8.51888,0.00163811,6.19665,5.97505,12.2366,1.00E-06,10.7995,1.00E-06,9.24595,1.00E-06,8.52285,87.7,10.4335,1.00E-06,8.50235,0.152738,11.5695,1.00E-06
9.54819,1.00E-06,8.77217,1.00E-06,6.24442,3.12043,12.52,1.00E-06,11.0698,1.00E-06,9.51664,1.00E-06,8.77201,87.7,10.7135,1.00E-06,8.57562,0.0408186,11.8454,1.00E-06
9.80839,1.00E-06,9.02798,1.00E-06,6.29936,1.406,12.8062,1.00E-06,11.3429,1.00E-06,9.79003,1.00E-06,9.02366,87.7,10.9963,1.00E-06,8.65623,0.00791765,12.1239,1.00E-06
10.0712,1.00E-06,9.28636,1.00E-06,6.3598,0.556266,13.0953,1.00E-06,11.6186,1.00E-06,10.0661,1.00E-06,9.27782,87.7,11.2819,1.00E-06,8.90164,1.00E-06,12.4053,1.00E-06
10.3366,1.00E-06,9.54732,1.00E-06,6.42628,0.186461,13.3874,1.00E-06,11.8972,1.00E-06,10.345,1.00E-06,9.53452,87.7,11.5704,1.00E-06,9.14952,1.00E-06,12.6895,1.00E-06
10.6047,1.00E-06,9.81088,1.00E-06,6.49941,0.050106,13.6823,1.00E-06,12.1785,1.00E-06,10.6267,1.00E-06,9.62339,87.7,11.8618,1.00E-06,9.39986,1.00E-06,12.9765,1.00E-06
10.8755,1.00E-06,10.0771,1.00E-06,6.57985,0.0098004,13.9801,1.00E-06,12.4626,1.00E-06,10.9112,1.00E-06,9.63479,77.7,12.156,1.00E-06,9.65272,1.00E-06,13.2664,1.00E-06
11.1489,1.00E-06,10.346,1.00E-06,6.81861,1.00E-06,14.281,1.00E-06,12.7496,1.00E-06,11.1985,1.00E-06,9.64766,67.7,12.4532,1.00E-06,9.9081,1.00E-06,13.5592,1.00E-06
11.4252,1.00E-06,10.6175,1.00E-06,7.05976,1.00E-06,14.5849,1.00E-06,13.0394,1.00E-06,11.4887,1.00E-06,9.66243,57.7,12.7534,1.00E-06,10.166,1.00E-06,13.8549,1.00E-06
11.7041,1.00E-06,10.8918,1.00E-06,7.30333,1.00E-06,14.8918,1.00E-06,13.3322,1.00E-06,11.7818,1.00E-06,9.67942,47.8987,13.0566,1.00E-06,10.4265,1.00E-06,14.1536,1.00E-06
11.9859,1.00E-06,11.1688,1.00E-06,7.54933,1.00E-06,15.2017,1.00E-06,13.6278,1.00E-06,12.0779,1.00E-06,9.69895,38.5418,13.3628,1.00E-06,10.6897,1.00E-06,14.4552,1.00E-06
12.2705,1.00E-06,11.4486,1.00E-06,7.79778,1.00E-06,15.5148,1.00E-06,13.9264,1.00E-06,12.3769,1.00E-06,9.72142,29.8834,13.6721,1.00E-06,10.9554,1.00E-06,14.7599,1.00E-06
12.5579,1.00E-06,11.7311,1.00E-06,8.04873,1.00E-06,15.831,1.00E-06,14.228,1.00E-06,12.6789,1.00E-06,9.74725,22.1631,13.9845,1.00E-06,11.2238,1.00E-06,15.0676,1.00E-06
12.8482,1.00E-06,12.0166,1.00E-06,8.30218,1.00E-06,16.1504,1.00E-06,14.5327,1.00E-06,12.9839,1.00E-06,9.77696,15.5785,14.3,1.00E-06,11.4949,1.00E-06,15.3784,1.00E-06
13.1414,1.00E-06,12.3048,1.00E-06,8.55817,1.00E-06,16.4729,1.00E-06,14.8403,1.00E-06,13.292,1.00E-06,9.81113,10.2559,14.6186,1.00E-06,11.7687,1.00E-06,15.6923,1.00E-06
13.4375,1.00E-06,12.596,1.00E-06,8.81671,1.00E-06,16.7987,1.00E-06,15.1511,1.00E-06,13.6031,1.00E-06,9.85042,6.22623,14.9405,1.00E-06,12.0453,1.00E-06,16.0093,1.00E-06
13.7366,1.00E-06,12.89,1.00E-06,9.07785,1.00E-06,17.1277,1.00E-06,15.4649,1.00E-06,13.9174,1.00E-06,9.89561,3.41291,15.2655,1.00E-06,12.3246,1.00E-06,16.3295,1.00E-06
14.0387,1.00E-06,13.187,1.00E-06,9.34159,1.00E-06,17.4601,1.00E-06,15.7819,1.00E-06,14.2348,1.00E-06,9.94757,1.63947,15.5938,1.00E-06,12.6067,1.00E-06,16.653,1.00E-06
