File = source:G09_P01-10_SPRUE_PRESSURE.csv

Title,Packing-Sprue Pressure

Time (sec),Run 89 : G09_P03 (MPa)
0.000866259,0.000113572
0.00216965,1.06E-06
0.00357086,0.00448083
0.00508171,0.00566159
0.00656952,0.0229865
0.00849268,0.0385751
0.0102643,0.639088
0.0122228,1.05679
0.0137371,1.70246
0.0145177,1.48847
0.015277,1.44945
0.0160944,1.50231
0.0171116,1.5538
0.0181179,1.62264
0.0192915,1.69961
0.0206665,1.77992
0.0222382,1.86385
0.0240532,1.93271
0.0258447,2.04157
0.0279783,2.10292
0.0303518,2.19535
0.0327879,2.29986
0.0356351,2.38254
0.038489,2.46748
0.0419041,2.55755
0.0453037,2.64014
0.0487481,2.71642
0.0528769,2.80365
0.0569974,2.88166
0.0611418,2.95785
0.0659499,3.04518
0.0708046,3.12842
0.07571,3.20183
0.081323,3.29059
0.0870302,3.37698
0.0928357,3.45463
0.098685,3.53411
0.104485,3.6128
0.109755,3.75781
0.114536,3.88651
0.119404,4.00593
0.124216,4.12137
0.12909,4.23477
0.133963,4.34985
0.138851,4.47075
0.143732,4.57692
0.148614,4.70025
0.15348,4.81521
0.158423,4.93083
0.16325,5.0467
0.168178,5.16251
0.173015,5.28062
0.177933,5.39398
0.182857,5.51546
0.187697,5.64478
0.192624,5.7693
0.197608,5.89608
0.202505,6.02225
0.207445,6.14619
0.212426,6.27279
0.217367,6.39869
0.222256,6.52327
0.227231,6.65124
0.232222,6.77888
0.237157,6.90743
0.242119,7.03494
0.247037,7.17048
0.252007,7.32144
0.256985,7.48109
0.261867,7.63871
0.266843,7.81539
0.271519,7.98653
0.27615,8.12689
0.281054,8.3126
0.285782,8.47144
0.290683,8.63795
0.295377,8.828
0.299379,9.10064
0.303223,9.31846
0.307072,9.54635
0.310411,9.74896
0.313758,9.94306
0.317149,10.1576
0.320593,10.3662
0.32363,10.5576
0.326609,10.7436
0.329585,10.9302
0.332613,11.1268
0.335535,11.3064
0.338533,11.4947
0.341667,11.6801
0.344748,11.8599
0.34784,12.0357
0.351005,12.2117
0.354219,12.388
0.357532,12.553
0.360883,12.7265
0.36428,12.8936
0.36769,13.0614
0.371304,13.2233
0.374938,13.3849
0.37853,13.5458
0.382248,13.7013
0.38648,13.8764
0.390785,14.0572
0.395163,14.2359
0.399523,14.4123
0.403932,14.5928
0.408839,14.7786
0.413495,14.98
0.418137,15.1841
0.422775,15.3929
0.427437,15.5994
0.43211,15.8096
0.436722,16.0193
0.441409,16.2342
0.44607,16.4429
0.450778,16.6563
0.45548,16.8711
0.460169,17.0813
0.464857,17.2948
0.469457,17.5046
0.474131,17.7166
0.478708,17.932
0.483367,18.1429
0.488102,18.3609
0.492738,18.5781
0.497453,18.7956
0.502131,19.0211
0.506766,19.2769
0.511266,19.4621
0.516009,19.6794
0.520651,19.9115
0.525446,20.146
0.53023,20.3928
0.534973,20.6341
0.539481,20.862
0.544108,21.0903
0.548829,21.3354
0.553582,21.5877
0.558225,21.8458
0.562823,22.1093
0.567407,22.3441
0.572084,22.5962
0.576689,22.8523
0.581327,23.0979
0.586007,23.3505
0.590647,23.6031
0.595243,23.8921
0.599617,24.094
0.604224,24.3209
0.608848,24.5654
0.613485,24.808
0.618094,25.0501
0.6227,25.3005
0.625177,25.4737
0.630359,26.8534
0.636233,28.3363
0.636233,28.3363
0.642152,29.7428
0.648426,31.1455
0.654888,32.4997
0.661544,33.8043
0.6684,35.0586
0.675461,36.262
0.682735,37.414
0.690226,38.5142
0.697943,39.5625
0.705891,40.559
0.714077,41.5038
0.722509,42.3972
0.731193,43.2399
0.740139,44.0324
0.749353,44.7758
0.758843,45.4708
0.768618,46.1188
0.778686,46.721
0.789056,47.2788
0.799737,47.7938
0.810738,48.2675
0.82207,48.7018
0.833742,49.0984
0.845764,49.4593
0.858146,49.7863
0.8709,50.0814
0.884036,50.3465
0.897567,50.5838
0.911504,50.7951
0.925858,50.9824
0.940643,51.1477
0.955872,51.2927
0.971558,51.4193
0.987714,51.5293
1.00435,51.6243
1.02149,51.7058
1.03915,51.7754
1.05733,51.8344
1.07606,51.8842
1.09536,51.9258
1.11522,51.9604
1.13569,51.989
1.15677,52.0124
1.17848,52.0314
1.20345,52.0485
1.23217,52.0633
1.26519,52.0754
1.30317,52.0848
1.34684,52.0914
1.39706,52.0957
1.45231,52.0981
1.51308,52.0992
1.57992,52.0998
1.65345,52.0999
1.73434,52.1
1.82331,52.1
1.92118,52.1
2.02884,52.1
2.14726,52.1
2.27752,52.1
2.42082,52.1
2.57844,52.1
2.75182,52.1
2.94254,52.1
3.15233,52.1
3.36422,52.1
3.57823,52.1
3.79438,52.1
4.01269,52.1
4.23319,52.1
4.45589,52.1
4.68081,52.1
4.90799,52.1
5.13744,52.1
5.36918,52.1
5.60324,52.1
5.83964,52.1
6.00218,52.1
6.0365,42.1
6.06025,32.1
6.08756,23.3316
6.11898,16.0024
6.1551,10.2215
6.19665,5.97505
6.24442,3.12043
6.29936,1.406
6.3598,0.556266
6.42628,0.186461
6.49941,0.050106
6.57985,0.0098004
6.81861,1.00E-06
7.05976,1.00E-06
7.30333,1.00E-06
7.54933,1.00E-06
7.79778,1.00E-06
8.04873,1.00E-06
8.30218,1.00E-06
8.55817,1.00E-06
8.81671,1.00E-06
9.07785,1.00E-06
9.34159,1.00E-06
9.60797,1.00E-06
9.87702,1.00E-06
10.1488,1.00E-06
10.4232,1.00E-06
10.7004,1.00E-06
10.9804,1.00E-06
11.2631,1.00E-06
11.5487,1.00E-06
11.8372,1.00E-06
12.1285,1.00E-06
12.4228,1.00E-06
12.72,1.00E-06
13.0201,1.00E-06
13.3233,1.00E-06
