File= Filling_Pressure.csv
Min = 0.000e+00
Max = 1.903e+01
Avg = 6.775e+00
SD = 5.021e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,1.903e+00,9.514e-01,121882,2.537e+01
2,1.903e+00,3.806e+00,2.854e+00,62700,1.369e+01
3,3.806e+00,5.708e+00,4.757e+00,39295,8.241e+00
4,5.708e+00,7.611e+00,6.660e+00,33905,7.110e+00
5,7.611e+00,9.514e+00,8.563e+00,41664,8.805e+00
6,9.514e+00,1.142e+01,1.047e+01,57317,1.242e+01
7,1.142e+01,1.332e+01,1.237e+01,65897,1.389e+01
8,1.332e+01,1.522e+01,1.427e+01,35782,7.345e+00
9,1.522e+01,1.713e+01,1.617e+01,40610,2.437e+00
10,1.713e+01,1.903e+01,1.808e+01,4032,6.941e-01
