File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.079e+01
Avg = 1.141e+01
SD = 8.074e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.079e+00,1.540e+00,211232,2.253e+01
2,3.079e+00,6.158e+00,4.619e+00,127503,1.436e+01
3,6.158e+00,9.237e+00,7.698e+00,83961,9.137e+00
4,9.237e+00,1.232e+01,1.078e+01,68046,7.295e+00
5,1.232e+01,1.540e+01,1.386e+01,77348,8.341e+00
6,1.540e+01,1.847e+01,1.694e+01,106495,1.182e+01
7,1.847e+01,2.155e+01,2.001e+01,132505,1.450e+01
8,2.155e+01,2.463e+01,2.309e+01,78992,8.642e+00
9,2.463e+01,2.771e+01,2.617e+01,51576,2.980e+00
10,2.771e+01,3.079e+01,2.925e+01,12486,4.011e-01
