File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.359e+01
Avg = 1.253e+01
SD = 9.530e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.359e+00,1.680e+00,169025,2.486e+01
2,3.359e+00,6.719e+00,5.039e+00,96487,1.458e+01
3,6.719e+00,1.008e+01,8.398e+00,51866,7.680e+00
4,1.008e+01,1.344e+01,1.176e+01,42390,6.235e+00
5,1.344e+01,1.680e+01,1.512e+01,51687,7.654e+00
6,1.680e+01,2.016e+01,1.848e+01,72088,1.086e+01
7,2.016e+01,2.352e+01,2.184e+01,73741,1.108e+01
8,2.352e+01,2.687e+01,2.519e+01,70326,1.041e+01
9,2.687e+01,3.023e+01,2.855e+01,37872,5.200e+00
10,3.023e+01,3.359e+01,3.191e+01,32102,1.447e+00
