File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.750e+01
Avg = 1.149e+01
SD = 7.401e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.750e+00,1.375e+00,65442,1.195e+01
2,2.750e+00,5.501e+00,4.125e+00,106092,2.230e+01
3,5.501e+00,8.251e+00,6.876e+00,50804,1.010e+01
4,8.251e+00,1.100e+01,9.626e+00,28647,5.494e+00
5,1.100e+01,1.375e+01,1.238e+01,29426,5.635e+00
6,1.375e+01,1.650e+01,1.513e+01,46169,9.183e+00
7,1.650e+01,1.925e+01,1.788e+01,68157,1.405e+01
8,1.925e+01,2.200e+01,2.063e+01,76982,1.524e+01
9,2.200e+01,2.475e+01,2.338e+01,55079,5.407e+00
10,2.475e+01,2.750e+01,2.613e+01,5986,6.411e-01
