File = D:\Moldex3D\02. AI\Surrogate model - 2 Report\v02FAM_G01\P02\Packing-Sprue Pressure.csv

Title,Packing-Sprue Pressure
,,
Time (sec),Run 2 : V02FAM_G01_P02 (MPa),
0.00187605,0.000399114,
0.00449652,1e-06,
0.00722005,0.00031409,
0.0097587,0.00302235,
0.012609,0.032912,
0.0155599,0.435702,
0.0180038,0.932117,
0.0204398,1.32797,
0.0215195,1.26009,
0.0226446,1.28645,
0.0238221,1.33926,
0.0249874,1.41134,
0.0261749,1.46557,
0.0273834,1.52677,
0.0286176,1.58498,
0.0300694,1.64458,
0.0315241,1.70306,
0.0332302,1.76679,
0.0349421,1.82654,
0.0369334,1.8944,
0.038951,1.94816,
0.0409317,2.00755,
0.0429386,2.06353,
0.0452694,2.12275,
0.0476274,2.18253,
0.0499658,2.23574,
0.0523668,2.29122,
0.0551293,2.3474,
0.0579121,2.40516,
0.0607116,2.45867,
0.0635236,2.50981,
0.0667915,2.56888,
0.0700917,2.62682,
0.0733945,2.68135,
0.0767292,2.73434,
0.080099,2.78643,
0.0834498,2.83658,
0.0873997,2.89464,
0.0913229,2.95268,
0.0952526,3.00704,
0.0992581,3.06204,
0.103252,3.11414,
0.107273,3.16677,
0.111322,3.21857,
0.116017,3.27738,
0.12072,3.33986,
0.125425,3.39932,
0.130164,3.45957,
0.134917,3.51795,
0.13972,3.57234,
0.145363,3.64061,
0.15091,3.71087,
0.156492,3.77701,
0.162098,3.84219,
0.167693,3.90587,
0.173336,3.97024,
0.179009,4.03477,
0.184694,4.10359,
0.190419,4.17807,
0.197007,4.25697,
0.203572,4.34183,
0.210192,4.43937,
0.216797,4.54951,
0.223288,4.663,
0.229309,4.80039,
0.235341,4.98456,
0.241383,5.10869,
0.247356,5.25589,
0.253304,5.40228,
0.259321,5.54894,
0.265308,5.70043,
0.271275,5.85309,
0.27724,6.00734,
0.283133,6.15607,
0.288978,6.30624,
0.294807,6.45494,
0.30068,6.6038,
0.306507,6.74897,
0.312344,6.89553,
0.318192,7.04193,
0.324058,7.18723,
0.329937,7.33252,
0.335785,7.47748,
0.341648,7.62254,
0.347526,7.76666,
0.353386,7.91044,
0.359263,8.05409,
0.365159,8.19723,
0.371047,8.3402,
0.376965,8.4828,
0.382884,8.6261,
0.388789,8.76963,
0.394737,8.91268,
0.400656,9.05663,
0.406602,9.2001,
0.412545,9.3444,
0.418472,9.48923,
0.424406,9.63472,
0.430345,9.78315,
0.436174,9.92572,
0.442098,10.072,
0.447929,10.2149,
0.453853,10.3581,
0.459775,10.5047,
0.465683,10.6515,
0.471605,10.7987,
0.477571,10.9643,
0.483263,11.0993,
0.489205,11.2581,
0.494859,11.3911,
0.500758,11.5311,
0.5067,11.6992,
0.512397,11.8531,
0.518089,11.9794,
0.524026,12.1417,
0.529674,12.2972,
0.535347,12.4409,
0.541042,12.5885,
0.546696,12.7361,
0.552392,12.8829,
0.558034,13.0316,
0.56365,13.1772,
0.569329,13.3245,
0.575069,13.475,
0.58074,13.6264,
0.586352,13.7739,
0.592028,13.9219,
0.597768,14.0539,
0.603738,14.2242,
0.609442,14.3641,
0.615386,14.534,
0.621137,14.6969,
0.626826,14.8532,
0.632465,15.0084,
0.638136,15.1612,
0.643809,15.3161,
0.649472,15.4693,
0.655074,15.6234,
0.660673,15.7757,
0.666084,15.9184,
0.671278,16.1217,
0.676324,16.3095,
0.680626,16.4794,
0.684895,16.6309,
0.689165,16.7898,
0.693373,16.9524,
0.697582,17.1164,
0.701799,17.2806,
0.706022,17.4456,
0.709674,17.6,
0.713299,17.7359,
0.716938,17.8927,
0.720415,18.0283,
0.724101,18.1686,
0.727804,18.3183,
0.731531,18.4661,
0.735228,18.6178,
0.738874,18.7693,
0.742509,18.9278,
0.746037,19.0659,
0.749786,19.2115,
0.753464,19.364,
0.75715,19.5126,
0.76082,19.662,
0.764617,19.8112,
0.768415,19.9647,
0.772232,20.1168,
0.77606,20.2712,
0.779852,20.424,
0.783736,20.5728,
0.787629,20.7273,
0.791555,20.88,
0.795494,21.0341,
0.799489,21.1906,
0.803429,21.3443,
0.807469,21.4959,
0.811533,21.6514,
0.815626,21.8272,
0.819558,21.9872,
0.823458,22.1376,
0.827383,22.2861,
0.831368,22.4356,
0.835392,22.5865,
0.839445,22.737,
0.843522,22.8884,
0.847627,23.0405,
0.851775,23.192,
0.855952,23.3454,
0.860139,23.4996,
0.864372,23.6535,
0.868637,23.8083,
0.872934,23.9655,
0.877276,24.1232,
0.882249,24.2874,
0.887211,24.48,
0.892208,24.6595,
0.897239,24.8384,
0.902264,25.0183,
0.907273,25.1956,
0.912205,25.3419,
0.917153,25.5166,
0.922168,25.7118,
0.927134,25.8952,
0.932087,26.0704,
0.937112,26.2511,
0.942133,26.4477,
0.947099,26.6198,
0.952221,26.8144,
0.957177,27.0331,
0.96202,27.1898,
0.966917,27.3553,
0.971942,27.5654,
0.976772,27.7502,
0.981578,27.9242,
0.986368,28.0727,
0.99126,28.2665,
0.996076,28.4423,
1.00085,28.6104,
1.00563,28.7783,
1.01041,28.9457,
1.01517,29.1121,
1.01998,29.2771,
1.02475,29.4427,
1.02951,29.6053,
1.03431,29.7693,
1.03909,29.9328,
1.04384,30.0945,
1.04863,30.2553,
1.05344,30.4192,
1.0582,30.58,
1.06296,30.7385,
1.06774,30.8996,
1.07253,31.0599,
1.0773,31.2198,
1.08207,31.3802,
1.08682,31.5411,
1.09155,31.6987,
1.09631,31.8576,
1.10109,32.0197,
1.10584,32.1799,
1.11059,32.3393,
1.11538,32.5013,
1.12019,32.6633,
1.12501,32.8265,
1.1298,32.9901,
1.13456,33.1538,
1.13934,33.316,
1.14413,33.4795,
1.14894,33.6423,
1.15373,33.8081,
1.15854,33.9727,
1.16332,34.1371,
1.16813,34.3012,
1.17296,34.4685,
1.1778,34.6367,
1.18264,34.805,
1.18748,34.9725,
1.19233,35.1421,
1.19719,35.3115,
1.20204,35.481,
1.20688,35.6511,
1.21172,35.8204,
1.21654,35.9911,
1.2214,36.16,
1.22625,36.3314,
1.23108,36.5028,
1.23588,36.6729,
1.24072,36.8419,
1.24552,36.9836,
1.25052,37.1778,
1.25533,37.3624,
1.26017,37.5318,
1.265,37.7066,
1.2698,37.8811,
1.27458,38.0541,
1.27937,38.2261,
1.28417,38.3977,
1.28896,38.5696,
1.29378,38.7411,
1.29857,38.9163,
1.30332,39.0906,
1.30809,39.2642,
1.3129,39.4375,
1.31774,39.6128,
1.32256,39.7906,
1.32734,39.9681,
1.33212,40.1433,
1.33691,40.3182,
1.34172,40.4929,
1.34654,40.6709,
1.35133,40.8489,
1.35607,41.0271,
1.36087,41.2031,
1.36574,41.3819,
1.37058,41.563,
1.37537,41.746,
1.38015,41.8933,
1.38516,42.0987,
1.39006,42.2905,
1.39491,42.4727,
1.39969,42.6586,
1.40445,42.8399,
1.40931,43.02,
1.41418,43.2052,
1.419,43.3934,
1.42075,43.5152,
1.42647,45.3405,
1.43297,47.2939,
1.43961,49.1611,
1.44564,50.7426,
1.44564,50.7426,
1.4511,52.0875,
1.45688,53.4353,
1.46301,54.7814,
1.46932,56.083,
1.47582,57.3389,
1.48252,58.5484,
1.48941,59.7108,
1.49652,60.8254,
1.50384,61.8919,
1.51137,62.9101,
1.51914,63.8797,
1.52713,64.8009,
1.53537,65.6739,
1.54385,66.499,
1.55259,67.2767,
1.56159,68.0078,
1.57086,68.693,
1.58041,69.3334,
1.59024,69.93,
1.60037,70.4841,
1.61081,70.997,
1.62155,71.4702,
1.63262,71.9051,
1.64402,72.3036,
1.65576,72.6672,
1.66786,72.9977,
1.68032,73.297,
