File= Filling_Pressure.csv
Min = 0.000e+00
Max = 1.114e+01
Avg = 3.540e+00
SD = 2.275e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,1.114e+00,5.570e-01,831486,1.922e+01
2,1.114e+00,2.228e+00,1.671e+00,684633,1.751e+01
3,2.228e+00,3.342e+00,2.785e+00,490747,1.199e+01
4,3.342e+00,4.456e+00,3.899e+00,447226,1.082e+01
5,4.456e+00,5.570e+00,5.013e+00,622725,1.560e+01
6,5.570e+00,6.685e+00,6.128e+00,724577,1.763e+01
7,6.685e+00,7.799e+00,7.242e+00,232954,5.662e+00
8,7.799e+00,8.913e+00,8.356e+00,80754,1.213e+00
9,8.913e+00,1.003e+01,9.470e+00,2798,1.634e-01
10,1.003e+01,1.114e+01,1.058e+01,2880,1.786e-01
