Test_ID,Theta1,Theta2,Pt
Test_145,29.0,32.0,8217.944877826529
Test_146,-41.0,-28.0,8352.300343441795
Test_147,47.0,23.0,7997.19028647722
Test_148,46.0,-62.0,9753.191144833758
Test_149,24.0,-59.0,8161.082343836658
Test_150,15.0,-47.0,7450.379497600241
Test_151,-66.0,-82.0,5353.531975981881
Test_152,-23.0,-66.0,7795.910182133222
Test_153,50.0,-62.0,10068.454441796988
Test_154,-65.0,-65.0,7083.937441816275
Test_155,11.0,-32.0,6458.449818304124
Test_156,70.0,-86.0,4612.560869506229
Test_157,78.0,-26.0,7607.65070451984
Test_158,17.0,-43.0,7458.889677252563
Test_159,-9.0,-4.0,4267.4227905239495
Test_160,47.0,-13.0,7192.0652450744265
Test_161,-43.0,-45.0,10438.019316713633
Test_162,-71.0,-11.0,6776.0381295866655
Test_163,-84.0,28.0,7568.7320612622925
Test_164,-16.0,-5.0,5038.840964001595
Test_165,-5.0,10.0,4615.417633628161
Test_166,-61.0,-3.0,6830.373341292009
Test_167,-4.0,-6.0,4483.969980956597
Test_168,-5.0,-1.0,11588.63193082034
Test_169,58.0,-70.0,7720.602925318218
Test_170,-35.0,-50.0,9256.937724435724
Test_171,-6.0,-18.0,5080.205675128413
Test_172,-68.0,5.0,6758.995375179671
Test_173,82.0,-55.0,7446.145385103274
Test_174,-76.0,51.0,9016.56679739327
Test_175,-73.0,85.0,4298.546627302681
Test_176,-36.0,30.0,8549.282438202226
Test_177,25.0,-81.0,7430.202124638852
Test_178,27.0,63.0,8272.789180832258
Test_179,73.0,-44.0,8910.85584955233
Test_180,-14.0,88.0,6545.690092157038
Test_181,88.0,45.0,8402.686332020308
Test_182,-14.0,42.0,7189.420068139018
Test_183,37.0,63.0,9003.180314314966
Test_184,83.0,43.0,8414.410153673603
Test_185,-18.0,49.0,7668.279566665702
Test_186,-54.0,1.0,6946.8752878813075
Test_187,-47.0,-37.0,9525.904863820493
Test_188,-40.0,56.0,9672.880328985164
Test_189,34.0,0.0,6264.147664952297
Test_190,-80.0,40.0,8422.986907255154
Test_191,-75.0,6.0,6431.526123776949
Test_192,89.0,-86.0,3263.124877292651
Test_193,48.0,41.0,10045.609013157307
Test_194,-11.0,-16.0,5234.989173717237
Test_195,12.0,71.0,6949.897117760036
Test_196,-32.0,84.0,7819.318444286175
Test_197,-80.0,-38.0,8321.619700250285
Test_198,-82.0,-53.0,7986.8313675062445
Test_199,-45.0,82.0,8572.063221970291
Test_200,88.0,-42.0,8319.12630855813
Test_201,-73.0,-27.0,7836.179024198517
Test_202,-24.0,-76.0,7458.751996437072
Test_203,33.0,58.0,8856.850457360058
Test_204,27.0,-22.0,7046.353877859408
Test_205,-58.0,-50.0,10407.867915898876
Test_206,4.0,90.0,6075.07227135913
Test_207,19.0,-83.0,6873.175854888429
Test_208,-87.0,47.0,8483.835915307347
Test_209,58.0,-69.0,7788.629157755992
Test_210,-10.0,23.0,5817.790291600348
Test_211,55.0,-59.0,8976.960867943873
Test_212,-63.0,54.0,9083.72940359844
Test_213,67.0,-42.0,9160.870649150625
Test_214,63.0,-14.0,7289.189214645425
Test_215,9.0,13.0,4846.3193754628155
Test_216,-10.0,59.0,7240.504647620444
Test_217,21.0,56.0,7852.599044131925
Test_218,5.0,-15.0,4866.431889905723
Test_219,-7.0,65.0,6932.209052608763
Test_220,14.0,-23.0,5966.654995960726
Test_221,74.0,-56.0,8067.279895111892
Test_222,7.0,-80.0,6389.013921313859
Test_223,-78.0,-48.0,8805.191022285495
Test_224,-4.0,-43.0,6759.849947953747
Test_225,2.0,-73.0,6399.36084008656
Test_226,-42.0,80.0,8507.313256683265
Test_227,-42.0,-6.0,6695.064652612253
Test_228,60.0,-31.0,8667.699960630836
Test_229,42.0,86.0,8333.647586458595
Test_230,-44.0,-30.0,8632.72009166208
Test_231,-69.0,24.0,7849.97411526306
Test_232,-8.0,-27.0,5847.175897144417
Test_233,61.0,-20.0,7758.526056016842
Test_234,-49.0,-40.0,9902.179436097
Test_235,-62.0,7.0,6934.52857999645
Test_236,16.0,-57.0,7502.29953331159
Test_237,-32.0,66.0,8548.21901016473
Test_238,64.0,-22.0,7784.286215060927
Test_239,30.0,17.0,6746.491261343217
Test_240,53.0,26.0,8280.67513533609
Test_241,13.0,6.0,4707.946590397872
Test_242,-31.0,60.0,8665.694702331131
Test_243,-63.0,-63.0,7524.314508676943
Test_244,85.0,-58.0,6585.400227377033
Test_245,-34.0,-14.0,6643.369394053985
Test_246,60.0,61.0,8069.070996124566
