File= Filling_Pressure.csv
Min = 0.000e+00
Max = 5.336e+01
Avg = 2.303e+01
SD = 1.406e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,5.336e+00,2.668e+00,186579,1.197e+01
2,5.336e+00,1.067e+01,8.004e+00,222511,1.505e+01
3,1.067e+01,1.601e+01,1.334e+01,183222,1.242e+01
4,1.601e+01,2.134e+01,1.868e+01,135623,9.112e+00
5,2.134e+01,2.668e+01,2.401e+01,119853,7.991e+00
6,2.668e+01,3.201e+01,2.935e+01,155591,1.048e+01
7,3.201e+01,3.735e+01,3.468e+01,170823,1.152e+01
8,3.735e+01,4.269e+01,4.002e+01,196696,1.310e+01
9,4.269e+01,4.802e+01,4.535e+01,100762,6.699e+00
10,4.802e+01,5.336e+01,5.069e+01,49672,1.661e+00
