File= Filling_Pressure.csv
Min = 0.000e+00
Max = 4.377e+01
Avg = 1.689e+01
SD = 1.200e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,4.377e+00,2.188e+00,333494,2.195e+01
2,4.377e+00,8.754e+00,6.565e+00,185529,1.254e+01
3,8.754e+00,1.313e+01,1.094e+01,151865,1.026e+01
4,1.313e+01,1.751e+01,1.532e+01,112990,7.548e+00
5,1.751e+01,2.188e+01,1.970e+01,123049,8.215e+00
6,2.188e+01,2.626e+01,2.407e+01,159125,1.079e+01
7,2.626e+01,3.064e+01,2.845e+01,166733,1.120e+01
8,3.064e+01,3.502e+01,3.283e+01,177289,1.176e+01
9,3.502e+01,3.939e+01,3.720e+01,69098,4.561e+00
10,3.939e+01,4.377e+01,4.158e+01,42160,1.180e+00
