File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.658e+01
Avg = 1.408e+01
SD = 1.005e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.658e+00,1.829e+00,338338,2.228e+01
2,3.658e+00,7.315e+00,5.486e+00,187855,1.270e+01
3,7.315e+00,1.097e+01,9.144e+00,148912,1.006e+01
4,1.097e+01,1.463e+01,1.280e+01,110406,7.371e+00
5,1.463e+01,1.829e+01,1.646e+01,122776,8.198e+00
6,1.829e+01,2.194e+01,2.012e+01,158112,1.072e+01
7,2.194e+01,2.560e+01,2.377e+01,164158,1.104e+01
8,2.560e+01,2.926e+01,2.743e+01,179249,1.188e+01
9,2.926e+01,3.292e+01,3.109e+01,69626,4.594e+00
10,3.292e+01,3.658e+01,3.475e+01,41900,1.163e+00
