File= Filling_Pressure.csv
Min = 0.000e+00
Max = 4.677e+01
Avg = 1.940e+01
SD = 1.301e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,4.677e+00,2.338e+00,280928,1.843e+01
2,4.677e+00,9.354e+00,7.015e+00,174224,1.173e+01
3,9.354e+00,1.403e+01,1.169e+01,166962,1.129e+01
4,1.403e+01,1.871e+01,1.637e+01,120483,8.080e+00
5,1.871e+01,2.338e+01,2.105e+01,114680,7.650e+00
6,2.338e+01,2.806e+01,2.572e+01,152435,1.029e+01
7,2.806e+01,3.274e+01,3.040e+01,167440,1.127e+01
8,3.274e+01,3.741e+01,3.508e+01,194114,1.293e+01
9,3.741e+01,4.209e+01,3.975e+01,100564,6.686e+00
10,4.209e+01,4.677e+01,4.443e+01,49502,1.650e+00
