File= Filling_Pressure.csv
Min = 0.000e+00
Max = 4.063e+01
Avg = 1.754e+01
SD = 1.069e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,4.063e+00,2.031e+00,132484,8.428e+00
2,4.063e+00,8.126e+00,6.094e+00,290258,1.953e+01
3,8.126e+00,1.219e+01,1.016e+01,182191,1.235e+01
4,1.219e+01,1.625e+01,1.422e+01,127417,8.549e+00
5,1.625e+01,2.031e+01,1.828e+01,115592,7.712e+00
6,2.031e+01,2.438e+01,2.235e+01,153232,1.033e+01
7,2.438e+01,2.844e+01,2.641e+01,167490,1.131e+01
8,2.844e+01,3.250e+01,3.047e+01,204590,1.358e+01
9,3.250e+01,3.657e+01,3.453e+01,98954,6.576e+00
10,3.657e+01,4.063e+01,3.860e+01,49124,1.628e+00
