File = D:\Moldex3D\02. AI\Surrogate model - 2 Report\v02FAM_G01\Packing-Sprue Pressure.csv

Title,Packing-Sprue Pressure
,,
Time (sec),Run 1 : V02FAM_G01_P01 (MPa),
1.1081,36.0093,
1.1122,36.167,
1.11627,36.3252,
1.12032,36.4818,
1.12435,36.6362,
1.1284,36.7926,
1.13248,36.9486,
1.13657,37.1046,
1.14064,37.2618,
1.14473,37.4188,
1.14883,37.5766,
1.15291,37.7353,
1.15696,37.8925,
1.16099,38.0502,
1.16501,38.2071,
1.16902,38.3646,
1.17309,38.5211,
1.17719,38.6799,
1.1813,38.8402,
1.18541,39.0018,
1.18948,39.1639,
1.19353,39.3219,
1.19756,39.481,
1.20162,39.6405,
1.20573,39.7998,
1.20985,39.9601,
1.21395,40.1224,
1.21804,40.283,
1.2221,40.444,
1.22613,40.6062,
1.23015,40.7659,
1.2342,40.9262,
1.23834,41.0871,
1.24248,41.2515,
1.24439,41.3664,
1.24923,43.7609,
1.25499,46.4691,
1.26091,49.0923,
1.26609,51.255,
1.26609,51.255,
1.27068,53.0668,
1.27553,54.8994,
1.28068,56.7475,
1.28614,58.6057,
1.29192,60.4679,
1.29805,62.3276,
1.30437,64.1257,
1.31087,65.8608,
1.31757,67.5316,
1.32447,69.1373,
1.33158,70.6771,
1.3389,72.1503,
1.34644,73.5566,
1.35421,74.8959,
1.36221,76.1682,
1.37045,77.3738,
1.37894,78.5133,
1.38768,79.5874,
1.39668,80.597,
1.40596,81.5432,
1.41551,82.4274,
1.42535,83.2512,
1.43548,84.0162,
1.44592,84.7243,
1.45667,85.3775,
1.46774,85.978,
1.47915,86.528,
1.4909,87.0299,
1.503,87.4861,
1.51546,87.8991,
1.5283,88.2715,
1.54152,88.6058,
1.55514,88.9047,
1.56917,89.1705,
1.58362,89.406,
1.5985,89.6134,
1.61383,89.7953,
1.62962,89.9539,
1.64588,90.0915,
1.66263,90.2102,
1.67988,90.312,
1.69765,90.3987,
1.71596,90.4721,
1.73481,90.5339,
1.75423,90.5856,
1.77423,90.6285,
1.79483,90.6638,
1.81852,90.6961,
1.84576,90.7244,
1.87709,90.7481,
1.91312,90.7668,
1.95456,90.7805,
2.00221,90.7898,
2.057,90.7954,
2.11728,90.7982,
2.18359,90.7994,
2.25652,90.7998,
2.33675,90.8,
2.425,90.8,
2.52208,90.8,
2.62886,90.8,
2.74633,90.8,
2.87554,90.8,
3.01767,90.8,
3.17401,90.8,
3.34599,90.8,
3.53516,90.8,
3.74326,90.8,
3.95343,90.8,
4.16571,90.8,
4.38011,90.8,
4.59665,90.8,
4.81536,90.8,
5.03625,90.8,
5.25936,90.8,
5.48469,90.8,
5.71228,90.8,
5.94214,90.8,
6.17431,90.8,
6.40879,90.8,
6.64562,90.8,
6.68439,90.8,
6.6954,80.8,
6.70778,70.8,
6.7219,60.8,
6.73815,50.9243,
6.75683,41.412,
6.77831,32.5161,
6.80301,24.4835,
6.83142,17.528,
6.86409,11.8015,
6.90166,7.36759,
6.94487,4.18431,
6.99456,2.10523,
7.0517,0.902288,
7.11455,0.335158,
7.18369,0.103429,
7.25975,0.0247669,
7.3434,0.00404701,
7.5826,1e-06,
7.82419,1e-06,
8.0682,1e-06,
8.31464,1e-06,
8.56355,1e-06,
8.81495,1e-06,
9.06887,1e-06,
9.32532,1e-06,
9.58434,1e-06,
9.84594,1e-06,
10.1102,1e-06,
10.377,1e-06,
10.6466,1e-06,
10.9188,1e-06,
11.1938,1e-06,
11.4714,1e-06,
11.7519,1e-06,
12.0352,1e-06,
12.3213,1e-06,
12.6103,1e-06,
12.9022,1e-06,
13.1969,1e-06,
13.4947,1e-06,
13.7954,1e-06,
14.0991,1e-06,
14.4059,1e-06,
14.7157,1e-06,
15.0286,1e-06,
15.3447,1e-06,
15.6639,1e-06,
15.9863,1e-06,
16.3119,1e-06,
16.6408,1e-06,
16.973,1e-06,
17.3085,1e-06,
17.6473,1e-06,
17.9895,1e-06,
18.3352,1e-06,
18.5844,1e-06,
18.8361,1e-06,
