File= Filling_Pressure.csv
Min = 0.000e+00
Max = 1.990e+01
Avg = 6.450e+00
SD = 4.764e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,1.990e+00,9.951e-01,189847,2.755e+01
2,1.990e+00,3.980e+00,2.985e+00,92095,1.373e+01
3,3.980e+00,5.971e+00,4.976e+00,57230,8.345e+00
4,5.971e+00,7.961e+00,6.966e+00,54987,8.022e+00
5,7.961e+00,9.951e+00,8.956e+00,71479,1.055e+01
6,9.951e+00,1.194e+01,1.095e+01,114860,1.698e+01
7,1.194e+01,1.393e+01,1.294e+01,69474,1.018e+01
8,1.393e+01,1.592e+01,1.493e+01,38313,3.813e+00
9,1.592e+01,1.791e+01,1.692e+01,22043,5.997e-01
10,1.791e+01,1.990e+01,1.891e+01,2880,2.403e-01
