Test_ID,theta1,theta2,Pt,type,panel_a_in,panel_b_in,source_dataset,source_test_id,csv_path
6x4_001,65.0,19.0,19701.10650899933,2,6.0,4.0,6x4_curated_v1,Test_001,data/datasets/DD_cases_2_3_4_curated_v1/Case4/csv_load/force_disp_Test_001.csv
6x4_002,40.0,-51.0,15564.192522589261,1,6.0,4.0,6x4_curated_v1,Test_002,data/datasets/DD_cases_2_3_4_curated_v1/Case4/csv_load/force_disp_Test_002.csv
6x4_003,-44.0,65.0,15263.321046334091,1,6.0,4.0,6x4_curated_v1,Test_003,data/datasets/DD_cases_2_3_4_curated_v1/Case4/csv_load/force_disp_Test_003.csv
6x4_004,49.0,48.0,14605.531869322482,1,6.0,4.0,6x4_curated_v1,Test_004,data/datasets/DD_cases_2_3_4_curated_v1/Case4/csv_load/force_disp_Test_004.csv
6x4_005,-52.0,20.0,19521.12811538156,2,6.0,4.0,6x4_curated_v1,Test_005,data/datasets/DD_cases_2_3_4_curated_v1/Case4/csv_load/force_disp_Test_005.csv
6x4_006,-15.0,-74.0,21416.816488874498,2,6.0,4.0,6x4_curated_v1,Test_006,data/datasets/DD_cases_2_3_4_curated_v1/Case4/csv_load/force_disp_Test_006.csv
6x4_007,51.0,-83.0,11044.194985803253,1,6.0,4.0,6x4_curated_v1,Test_007,data/datasets/DD_cases_2_3_4_curated_v1/Case4/csv_load/force_disp_Test_007.csv
6x4_008,86.0,9.0,21499.399687200803,2,6.0,4.0,6x4_curated_v1,Test_008,data/datasets/DD_cases_2_3_4_curated_v1/Case4/csv_load/force_disp_Test_008.csv
6x4_009,-63.0,21.0,19848.72024440584,2,6.0,4.0,6x4_curated_v1,Test_009,data/datasets/DD_cases_2_3_4_curated_v1/Case4/csv_load/force_disp_Test_009.csv
6x4_010,-74.0,83.0,6417.199673460506,1,6.0,4.0,6x4_curated_v1,Test_010,data/datasets/DD_cases_2_3_4_curated_v1/Case4/csv_load/force_disp_Test_010.csv
6x4_011,-39.0,-9.0,21782.93383721275,2,6.0,4.0,6x4_curated_v1,Test_011,data/datasets/DD_cases_2_3_4_curated_v1/Case4/csv_load/force_disp_Test_011.csv
6x4_012,-56.0,9.0,21623.457561322022,2,6.0,4.0,6x4_curated_v1,Test_012,data/datasets/DD_cases_2_3_4_curated_v1/Case4/csv_load/force_disp_Test_012.csv
6x4_013,61.0,33.0,16488.202908673717,1,6.0,4.0,6x4_curated_v1,Test_013,data/datasets/DD_cases_2_3_4_curated_v1/Case4/csv_load/force_disp_Test_013.csv
6x4_014,19.0,79.0,20609.78711097851,2,6.0,4.0,6x4_curated_v1,Test_014,data/datasets/DD_cases_2_3_4_curated_v1/Case4/csv_load/force_disp_Test_014.csv
6x4_015,35.0,60.0,16099.168102698402,2,6.0,4.0,6x4_curated_v1,Test_015,data/datasets/DD_cases_2_3_4_curated_v1/Case4/csv_load/force_disp_Test_015.csv
6x4_016,75.0,-61.0,9606.218223163476,1,6.0,4.0,6x4_curated_v1,Test_016,data/datasets/DD_cases_2_3_4_curated_v1/Case4/csv_load/force_disp_Test_016.csv
6x4_017,-30.0,66.0,17744.618846286707,2,6.0,4.0,6x4_curated_v1,Test_017,data/datasets/DD_cases_2_3_4_curated_v1/Case4/csv_load/force_disp_Test_017.csv
6x4_018,-53.0,31.0,16509.679046427784,2,6.0,4.0,6x4_curated_v1,Test_018,data/datasets/DD_cases_2_3_4_curated_v1/Case4/csv_load/force_disp_Test_018.csv
6x4_019,-79.0,29.0,18071.218289483906,2,6.0,4.0,6x4_curated_v1,Test_019,data/datasets/DD_cases_2_3_4_curated_v1/Case4/csv_load/force_disp_Test_019.csv
6x4_020,-2.0,48.0,22328.79345310121,2,6.0,4.0,6x4_curated_v1,Test_020,data/datasets/DD_cases_2_3_4_curated_v1/Case4/csv_load/force_disp_Test_020.csv
6x4_021,-49.0,-67.0,13167.318747343248,1,6.0,4.0,6x4_curated_v1,Test_021,data/datasets/DD_cases_2_3_4_curated_v1/Case4/csv_load/force_disp_Test_021.csv
6x4_022,43.0,-33.0,15643.776629233736,2,6.0,4.0,6x4_curated_v1,Test_022,data/datasets/DD_cases_2_3_4_curated_v1/Case4/csv_load/force_disp_Test_022.csv
6x4_023,62.0,-67.0,10919.917889467906,1,6.0,4.0,6x4_curated_v1,Test_023,data/datasets/DD_cases_2_3_4_curated_v1/Case4/csv_load/force_disp_Test_023.csv
6x4_024,30.0,75.0,17431.666497748745,2,6.0,4.0,6x4_curated_v1,Test_024,data/datasets/DD_cases_2_3_4_curated_v1/Case4/csv_load/force_disp_Test_024.csv
6x4_025,80.0,-80.0,5974.146129044565,1,6.0,4.0,6x4_curated_v1,Test_025,data/datasets/DD_cases_2_3_4_curated_v1/Case4/csv_load/force_disp_Test_025.csv
6x4_026,-81.0,73.0,6741.47187366278,1,6.0,4.0,6x4_curated_v1,Test_026,data/datasets/DD_cases_2_3_4_curated_v1/Case4/csv_load/force_disp_Test_026.csv
6x4_027,54.0,-38.0,15434.554916393454,1,6.0,4.0,6x4_curated_v1,Test_027,data/datasets/DD_cases_2_3_4_curated_v1/Case4/csv_load/force_disp_Test_027.csv
