File= Filling_Pressure.csv
Min = 0.000e+00
Max = 5.624e+01
Avg = 2.378e+01
SD = 1.473e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,5.624e+00,2.812e+00,157780,9.952e+00
2,5.624e+00,1.125e+01,8.436e+00,270167,1.798e+01
3,1.125e+01,1.687e+01,1.406e+01,203334,1.363e+01
4,1.687e+01,2.250e+01,1.968e+01,133875,8.808e+00
5,2.250e+01,2.812e+01,2.531e+01,120693,7.949e+00
6,2.812e+01,3.374e+01,3.093e+01,147600,9.832e+00
7,3.374e+01,3.937e+01,3.656e+01,187096,1.223e+01
8,3.937e+01,4.499e+01,4.218e+01,167567,1.126e+01
9,4.499e+01,5.062e+01,4.780e+01,97884,6.478e+00
10,5.062e+01,5.624e+01,5.343e+01,54304,1.880e+00
