File= Filling_Pressure.csv
Min = 0.000e+00
Max = 1.242e+01
Avg = 4.757e+00
SD = 2.269e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,1.242e+00,6.212e-01,163768,3.649e+00
2,1.242e+00,2.485e+00,1.864e+00,619490,1.547e+01
3,2.485e+00,3.727e+00,3.106e+00,845400,2.071e+01
4,3.727e+00,4.970e+00,4.348e+00,520940,1.285e+01
5,4.970e+00,6.212e+00,5.591e+00,565767,1.397e+01
6,6.212e+00,7.454e+00,6.833e+00,877711,2.140e+01
7,7.454e+00,8.697e+00,8.076e+00,359838,9.024e+00
8,8.697e+00,9.939e+00,9.318e+00,124321,2.506e+00
9,9.939e+00,1.118e+01,1.056e+01,12016,2.307e-01
10,1.118e+01,1.242e+01,1.180e+01,2880,1.875e-01
