File = D:\Moldex3D\02. AI\Surrogate model - 2 Report\v02FAM_G02\P03\Packing-Sprue Pressure.csv

Title,Packing-Sprue Pressure
,,
Time (sec),Run 8 : V02FAM_G02_P03 (MPa),
1.32031,33.0868,
1.3253,33.2284,
1.33026,33.3704,
1.33529,33.5106,
1.34033,33.6527,
1.34532,33.7975,
1.35031,33.938,
1.35535,34.0794,
1.36036,34.2232,
1.36535,34.3667,
1.37037,34.5094,
1.37543,34.6522,
1.38045,34.7987,
1.38548,34.9427,
1.39054,35.0868,
1.39561,35.2316,
1.40066,35.3782,
1.40567,35.5239,
1.41077,35.6679,
1.41589,35.816,
1.42095,35.9655,
1.42597,36.1116,
1.4311,36.2563,
1.43621,36.4041,
1.44125,36.5525,
1.44625,36.7006,
1.45141,36.8446,
1.45654,36.9954,
1.46161,37.1475,
1.46663,37.2946,
1.47176,37.4398,
1.47689,37.5897,
1.48198,37.7381,
1.48701,37.8893,
1.49206,38.0381,
1.49724,38.1867,
1.50239,38.3131,
1.50768,38.4869,
1.51276,38.6198,
1.51814,38.7892,
1.52329,38.9541,
1.52828,39.1106,
1.53344,39.258,
1.53838,39.4141,
1.54347,42.2226,
1.54956,45.4045,
1.55594,48.5385,
1.56205,51.3472,
1.56619,53.1334,
1.56619,53.1334,
1.57092,55.0889,
1.57593,57.0636,
1.58124,59.052,
1.58687,61.0477,
1.59284,63.0441,
1.59917,65.034,
1.60568,66.9539,
1.61239,68.8025,
1.61931,70.5789,
1.62643,72.282,
1.63376,73.9114,
1.64131,75.4665,
1.64909,76.9473,
1.65711,78.3539,
1.66536,79.6866,
1.67386,80.9459,
1.68262,82.1328,
1.69164,83.2482,
1.70093,84.2935,
1.7105,85.2701,
1.72035,86.1798,
1.7305,87.0244,
1.74096,87.806,
1.75173,88.5269,
1.76282,89.1895,
1.77425,89.7962,
1.78601,90.3498,
1.79814,90.8528,
1.81062,91.3082,
1.82348,91.7186,
1.83672,92.087,
1.85037,92.4162,
1.86442,92.709,
1.87889,92.9682,
1.8938,93.1966,
1.90915,93.3967,
1.92497,93.5712,
1.94126,93.7225,
1.95804,93.8529,
1.97532,93.9648,
1.99312,94.06,
2.01145,94.1407,
2.03034,94.2086,
2.04979,94.2652,
2.07216,94.3178,
2.09788,94.3646,
2.12746,94.4047,
2.16148,94.4371,
2.2006,94.4617,
2.24559,94.4789,
2.29733,94.4898,
2.35425,94.4956,
2.41685,94.4984,
2.48572,94.4995,
2.56147,94.4999,
2.6448,94.5,
2.73645,94.5,
2.83728,94.5,
2.94819,94.5,
3.07019,94.5,
3.20439,94.5,
3.35201,94.5,
3.51438,94.5,
3.693,94.5,
3.88948,94.5,
4.10561,94.5,
4.3239,94.5,
4.54437,94.5,
4.76705,94.5,
4.99196,94.5,
5.21911,94.5,
5.44853,94.5,
5.68025,94.5,
5.91429,94.5,
6.15066,94.5,
6.3894,94.5,
6.59838,94.5,
6.80943,94.5,
6.83199,84.5,
6.84383,74.5,
6.85725,64.5,
6.87269,54.5436,
6.89044,44.8612,
6.91085,35.7031,
6.93433,27.3212,
6.96133,19.945,
6.99237,13.7525,
7.02808,8.84218,
7.06914,5.21152,
7.11636,2.75065,
7.17066,1.25697,
7.2304,0.506143,
7.2961,0.173575,
7.36838,0.0481202,
7.44789,0.00986236,
7.68901,1e-06,
7.93255,1e-06,
8.17852,1e-06,
8.42696,1e-06,
8.67788,1e-06,
8.9313,1e-06,
9.18727,1e-06,
9.44579,1e-06,
9.70689,1e-06,
9.97061,1e-06,
10.237,1e-06,
10.506,1e-06,
10.7777,1e-06,
11.0521,1e-06,
11.3293,1e-06,
11.6092,1e-06,
11.892,1e-06,
12.1775,1e-06,
12.466,1e-06,
12.7573,1e-06,
13.0515,1e-06,
13.3487,1e-06,
13.6488,1e-06,
13.9519,1e-06,
14.2581,1e-06,
14.5673,1e-06,
14.8797,1e-06,
15.1951,1e-06,
15.5137,1e-06,
15.8355,1e-06,
16.1605,1e-06,
16.4887,1e-06,
16.8203,1e-06,
17.1551,1e-06,
17.4933,1e-06,
17.8349,1e-06,
18.1799,1e-06,
18.4984,1e-06,
18.82,1e-06,
