File= Filling_Pressure.csv
Min = 0.000e+00
Max = 4.944e+01
Avg = 1.885e+01
SD = 1.342e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,4.944e+00,2.472e+00,335958,2.211e+01
2,4.944e+00,9.887e+00,7.415e+00,194089,1.312e+01
3,9.887e+00,1.483e+01,1.236e+01,150013,1.014e+01
4,1.483e+01,1.977e+01,1.730e+01,112171,7.483e+00
5,1.977e+01,2.472e+01,2.225e+01,126965,8.480e+00
6,2.472e+01,2.966e+01,2.719e+01,159265,1.080e+01
7,2.966e+01,3.461e+01,3.213e+01,166502,1.117e+01
8,3.461e+01,3.955e+01,3.708e+01,171349,1.137e+01
9,3.955e+01,4.449e+01,4.202e+01,63834,4.206e+00
10,4.449e+01,4.944e+01,4.696e+01,41186,1.119e+00
