File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.805e+01
Avg = 1.499e+01
SD = 1.111e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.805e+00,1.902e+00,216926,2.278e+01
2,3.805e+00,7.609e+00,5.707e+00,148680,1.626e+01
3,7.609e+00,1.141e+01,9.512e+00,69303,7.418e+00
4,1.141e+01,1.522e+01,1.332e+01,51023,5.383e+00
5,1.522e+01,1.902e+01,1.712e+01,56534,6.055e+00
6,1.902e+01,2.283e+01,2.093e+01,91043,9.855e+00
7,2.283e+01,2.663e+01,2.473e+01,100287,1.093e+01
8,2.663e+01,3.044e+01,2.853e+01,120966,1.287e+01
9,3.044e+01,3.424e+01,3.234e+01,63524,6.678e+00
10,3.424e+01,3.805e+01,3.614e+01,41454,1.779e+00
