File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.834e+01
Avg = 1.115e+01
SD = 8.151e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.834e+00,1.417e+00,118488,2.038e+01
2,2.834e+00,5.667e+00,4.250e+00,96021,1.698e+01
3,5.667e+00,8.501e+00,7.084e+00,56148,9.702e+00
4,8.501e+00,1.133e+01,9.918e+00,31055,5.175e+00
5,1.133e+01,1.417e+01,1.275e+01,46195,7.894e+00
6,1.417e+01,1.700e+01,1.558e+01,56041,9.906e+00
7,1.700e+01,1.984e+01,1.842e+01,53506,9.402e+00
8,1.984e+01,2.267e+01,2.125e+01,55198,9.707e+00
9,2.267e+01,2.550e+01,2.409e+01,53999,8.915e+00
10,2.550e+01,2.834e+01,2.692e+01,33949,1.938e+00
