File= Filling_Pressure.csv
Min = 0.000e+00
Max = 4.300e+01
Avg = 1.873e+01
SD = 1.293e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,4.300e+00,2.150e+00,111334,1.912e+01
2,4.300e+00,8.601e+00,6.450e+00,66358,1.169e+01
3,8.601e+00,1.290e+01,1.075e+01,64258,1.134e+01
4,1.290e+01,1.720e+01,1.505e+01,37560,6.399e+00
5,1.720e+01,2.150e+01,1.935e+01,31154,5.187e+00
6,2.150e+01,2.580e+01,2.365e+01,54858,9.501e+00
7,2.580e+01,3.010e+01,2.795e+01,60022,1.059e+01
8,3.010e+01,3.440e+01,3.225e+01,61230,1.078e+01
9,3.440e+01,3.870e+01,3.655e+01,69169,1.189e+01
10,3.870e+01,4.300e+01,4.085e+01,44657,3.503e+00
