File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.812e+01
Avg = 1.536e+01
SD = 1.113e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.812e+00,1.906e+00,128048,2.206e+01
2,3.812e+00,7.624e+00,5.718e+00,76970,1.358e+01
3,7.624e+00,1.144e+01,9.530e+00,57674,1.005e+01
4,1.144e+01,1.525e+01,1.334e+01,30840,5.182e+00
5,1.525e+01,1.906e+01,1.715e+01,39107,6.601e+00
6,1.906e+01,2.287e+01,2.097e+01,60635,1.068e+01
7,2.287e+01,2.668e+01,2.478e+01,57108,1.004e+01
8,2.668e+01,3.050e+01,2.859e+01,58088,1.022e+01
9,3.050e+01,3.431e+01,3.240e+01,57924,9.607e+00
10,3.431e+01,3.812e+01,3.621e+01,34206,1.971e+00
