File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.246e+01
Avg = 1.335e+01
SD = 9.543e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.246e+00,1.623e+00,124258,2.140e+01
2,3.246e+00,6.492e+00,4.869e+00,69676,1.226e+01
3,6.492e+00,9.738e+00,8.115e+00,62143,1.089e+01
4,9.738e+00,1.298e+01,1.136e+01,32843,5.554e+00
5,1.298e+01,1.623e+01,1.461e+01,35924,6.026e+00
6,1.623e+01,1.948e+01,1.785e+01,61200,1.074e+01
7,1.948e+01,2.272e+01,2.110e+01,59016,1.038e+01
8,2.272e+01,2.597e+01,2.434e+01,59492,1.048e+01
9,2.597e+01,2.921e+01,2.759e+01,60823,1.019e+01
10,2.921e+01,3.246e+01,3.084e+01,35225,2.069e+00
