File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.026e+01
Avg = 1.119e+01
SD = 8.284e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.026e+00,1.513e+00,229528,2.492e+01
2,3.026e+00,6.053e+00,4.539e+00,121315,1.367e+01
3,6.053e+00,9.079e+00,7.566e+00,72558,8.013e+00
4,9.079e+00,1.211e+01,1.059e+01,61710,6.797e+00
5,1.211e+01,1.513e+01,1.362e+01,69225,7.641e+00
6,1.513e+01,1.816e+01,1.664e+01,100243,1.118e+01
7,1.816e+01,2.118e+01,1.967e+01,124835,1.392e+01
8,2.118e+01,2.421e+01,2.270e+01,85502,9.355e+00
9,2.421e+01,2.724e+01,2.572e+01,38984,3.592e+00
10,2.724e+01,3.026e+01,2.875e+01,28084,9.163e-01
