File= Filling_Pressure.csv
Min = 0.000e+00
Max = 4.056e+01
Avg = 1.614e+01
SD = 1.195e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,4.056e+00,2.028e+00,155883,2.281e+01
2,4.056e+00,8.112e+00,6.084e+00,95862,1.456e+01
3,8.112e+00,1.217e+01,1.014e+01,54703,8.113e+00
4,1.217e+01,1.622e+01,1.420e+01,40128,5.920e+00
5,1.622e+01,2.028e+01,1.825e+01,42906,6.331e+00
6,2.028e+01,2.434e+01,2.231e+01,57653,8.577e+00
7,2.434e+01,2.839e+01,2.637e+01,78056,1.177e+01
8,2.839e+01,3.245e+01,3.042e+01,85587,1.276e+01
9,3.245e+01,3.651e+01,3.448e+01,48930,7.197e+00
10,3.651e+01,4.056e+01,3.853e+01,37876,1.960e+00
