File= Filling_Pressure.csv
Min = 0.000e+00
Max = 1.716e+01
Avg = 5.828e+00
SD = 3.855e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,1.716e+00,8.578e-01,174810,1.829e+01
2,1.716e+00,3.431e+00,2.574e+00,154693,1.734e+01
3,3.431e+00,5.147e+00,4.289e+00,114682,1.235e+01
4,5.147e+00,6.863e+00,6.005e+00,91921,9.738e+00
5,6.863e+00,8.578e+00,7.721e+00,123565,1.360e+01
6,8.578e+00,1.029e+01,9.436e+00,111737,1.228e+01
7,1.029e+01,1.201e+01,1.115e+01,106624,1.134e+01
8,1.201e+01,1.373e+01,1.287e+01,41725,3.980e+00
9,1.373e+01,1.544e+01,1.458e+01,39799,8.110e-01
10,1.544e+01,1.716e+01,1.630e+01,4032,2.628e-01
