File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.477e+01
Avg = 8.683e+00
SD = 6.360e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.477e+00,1.238e+00,234894,2.496e+01
2,2.477e+00,4.954e+00,3.715e+00,127734,1.428e+01
3,4.954e+00,7.431e+00,6.192e+00,80626,8.637e+00
4,7.431e+00,9.908e+00,8.669e+00,68830,7.255e+00
5,9.908e+00,1.239e+01,1.115e+01,91503,9.892e+00
6,1.239e+01,1.486e+01,1.362e+01,105593,1.176e+01
7,1.486e+01,1.734e+01,1.610e+01,129752,1.392e+01
8,1.734e+01,1.982e+01,1.858e+01,66064,7.107e+00
9,1.982e+01,2.229e+01,2.105e+01,54368,1.912e+00
10,2.229e+01,2.477e+01,2.353e+01,4224,2.727e-01
