File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.125e+01
Avg = 7.579e+00
SD = 5.305e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.125e+00,1.063e+00,199568,2.103e+01
2,2.125e+00,4.250e+00,3.188e+00,159662,1.786e+01
3,4.250e+00,6.376e+00,5.313e+00,84706,9.072e+00
4,6.376e+00,8.501e+00,7.438e+00,69465,7.333e+00
5,8.501e+00,1.063e+01,9.563e+00,91595,9.900e+00
6,1.063e+01,1.275e+01,1.169e+01,104636,1.166e+01
7,1.275e+01,1.488e+01,1.381e+01,128254,1.375e+01
8,1.488e+01,1.700e+01,1.594e+01,66398,7.171e+00
9,1.700e+01,1.913e+01,1.806e+01,54480,1.919e+00
10,1.913e+01,2.125e+01,2.019e+01,4824,3.037e-01
