Test_ID,Theta1,Theta2,Pt
Test_146,-41.0,-28.0,12359.874921740131
Test_147,47.0,23.0,11949.38696229578
Test_148,46.0,-62.0,15175.630711713295
Test_149,24.0,-59.0,12816.978864953653
Test_150,15.0,-47.0,11292.080287373494
Test_151,-66.0,-82.0,7706.589887121859
Test_152,-23.0,-66.0,12598.050047508927
Test_153,50.0,-62.0,15214.70801539285
Test_154,-65.0,-65.0,10697.995079502516
Test_155,11.0,-32.0,9323.44460078567
Test_156,70.0,-86.0,6708.65630387844
Test_157,78.0,-26.0,12363.77198174142
Test_158,17.0,-43.0,11196.008129665612
Test_159,-9.0,-4.0,5882.328592074854
Test_160,47.0,-13.0,10922.515742555797
Test_161,-43.0,-45.0,15498.898784849802
Test_162,-71.0,-11.0,11109.544700296245
Test_163,-84.0,28.0,12442.43588905906
Test_164,-16.0,-5.0,6527.064124066011
Test_165,-5.0,10.0,6052.481462476321
Test_166,-61.0,-3.0,10877.467027372508
Test_167,-4.0,-6.0,5499.916000467854
Test_261,-14.0,-28.0,9209.45380517178
Test_262,-57.0,76.0,10285.025043611258
Test_263,-24.0,2.0,7621.222232095475
Test_264,87.0,-65.0,7509.668375845864
Test_265,-25.0,-84.0,12375.749282984203
Test_168,-5.0,-1.0,5551.572514042957
Test_169,58.0,-70.0,11104.332017616498
Test_170,-35.0,-50.0,14125.011988828699
Test_171,-6.0,-18.0,6915.61240090163
Test_172,-68.0,5.0,10883.793588758484
Test_173,82.0,-55.0,9939.116959324463
Test_174,-76.0,51.0,11698.781861522542
Test_175,-73.0,85.0,6295.77439227485
Test_176,-36.0,30.0,12445.138084474607
Test_177,25.0,-81.0,12398.728147735897
Test_178,27.0,63.0,13107.8316218223
Test_179,73.0,-44.0,14153.865292413127
Test_180,-14.0,88.0,11140.297110827798
Test_181,88.0,45.0,12104.38980141827
Test_182,-14.0,42.0,10725.301793082464
Test_183,37.0,63.0,14174.542268848867
Test_184,83.0,43.0,12982.670212083722
Test_185,-18.0,49.0,11782.946106893676
Test_186,-54.0,1.0,10639.797531534346
Test_187,-47.0,-37.0,14341.663912542854
Test_188,-40.0,56.0,14818.175424016239
Test_189,34.0,0.0,8780.48197103438
Test_190,-80.0,40.0,13456.253072991813
Test_191,-75.0,6.0,10697.439807691388
Test_192,89.0,-86.0,4727.743694905127
Test_193,48.0,41.0,15160.686793267196
Test_194,-11.0,-16.0,7003.651970355959
Test_195,12.0,71.0,11476.58307531005
Test_196,-32.0,84.0,13089.116360124082
Test_197,-80.0,-38.0,13364.856927780509
Test_198,-82.0,-53.0,10395.600174330157
Test_199,-45.0,82.0,12611.811681669693
Test_200,88.0,-42.0,12882.17831988354
Test_201,-73.0,-27.0,12578.011847338123
Test_202,-24.0,-76.0,12436.494611125545
Test_203,33.0,58.0,13811.741907660282
Test_204,27.0,-22.0,9970.13992255889
Test_205,-58.0,-50.0,15129.508897001875
Test_206,4.0,90.0,10497.410214895639
Test_207,19.0,-83.0,11785.082277181218
Test_208,-87.0,47.0,11607.52090705243
Test_209,58.0,-69.0,11285.530856763877
Test_210,-10.0,23.0,8177.407255777268
Test_211,55.0,-59.0,13101.31596527629
Test_212,-63.0,54.0,13170.766704133617
Test_213,67.0,-42.0,14347.858668809577
Test_214,63.0,-14.0,11491.677863279763
Test_215,9.0,13.0,6606.04520814993
Test_216,-10.0,59.0,11345.98880396761
Test_217,21.0,56.0,12380.251993321348
Test_218,5.0,-15.0,6396.395243960713
Test_219,-7.0,65.0,11264.60943232066
Test_220,14.0,-23.0,8601.56341662308
Test_221,74.0,-56.0,10775.33137253682
Test_222,7.0,-80.0,10805.427242762877
Test_223,-78.0,-48.0,12224.412767081474
Test_224,-4.0,-43.0,10121.40397636184
Test_225,2.0,-73.0,10949.033123462237
Test_226,-42.0,80.0,13535.536085869151
Test_227,-42.0,-6.0,9860.631417089413
Test_228,60.0,-31.0,13371.903321560665
Test_229,42.0,86.0,13038.496587803758
Test_230,-44.0,-30.0,12893.63222170941
Test_231,-69.0,24.0,12392.618490666538
Test_232,-8.0,-27.0,8547.936204953354
Test_233,61.0,-20.0,12060.049801368288
Test_234,-49.0,-40.0,14910.901807210481
Test_235,-62.0,7.0,10954.80628591211
Test_236,16.0,-57.0,11896.870711712474
Test_237,-32.0,66.0,13609.263302106641
Test_238,64.0,-22.0,12299.070853957375
Test_239,30.0,17.0,9546.663164822936
Test_240,53.0,26.0,12637.94801060345
Test_241,13.0,6.0,6295.286023706152
Test_242,-31.0,60.0,13595.513341678048
Test_243,-63.0,-63.0,11568.076174598586
Test_244,85.0,-58.0,9048.45099764704
Test_245,-34.0,-14.0,9607.780928028795
Test_246,60.0,61.0,12146.370362564394
Test_247,-83.0,78.0,5671.552969042636
Test_248,6.0,27.0,8396.486738969015
Test_249,6.0,16.0,6711.8476708578055
Test_250,-47.0,64.0,15092.610741960643
Test_251,-69.0,0.0,10791.002475914993
Test_252,-82.0,-45.0,12580.778729395892
Test_253,56.0,-34.0,13800.356471593564
Test_254,-75.0,-17.0,11478.065773458715
Test_255,32.0,-60.0,13692.014068899796
Test_256,-25.0,-11.0,8157.0070142205395
Test_257,65.0,80.0,8088.114956558098
Test_258,54.0,-18.0,11725.431581671997
Test_259,-6.0,38.0,9758.12454293207
Test_260,-50.0,68.0,13140.480724713456
Test_266,-26.0,-39.0,12053.617237856188
Test_267,-33.0,-46.0,13737.75984376297
Test_268,-59.0,29.0,13126.49190564225
Test_269,-60.0,60.0,12345.171281891351
Test_270,10.0,76.0,11096.785579113532
Test_271,-30.0,50.0,13414.706151071465
Test_272,72.0,69.0,8489.865226954049
Test_273,81.0,62.0,8513.957340150972
Test_274,30.0,-25.0,10884.088289720803
Test_275,80.0,-20.0,11617.664904738956
Test_276,-88.0,70.0,6570.099489120659
Test_277,57.0,88.0,9175.774808212855
Test_278,18.0,78.0,11767.447621117475
Test_279,-88.0,-89.0,4668.701863039623
Test_280,-31.0,-12.0,9141.09608428271
Test_281,-72.0,-17.0,11628.96552885156
Test_282,25.0,-74.0,12652.038940240274
Test_283,34.0,-21.0,10589.506851468366
Test_284,16.0,16.0,7586.30562840952
Test_285,-21.0,55.0,12330.966465348833
Test_286,40.0,-87.0,12924.280595589262
Test_287,-77.0,22.0,11920.354231728423
Test_288,37.0,70.0,13874.058863747432
Test_289,-9.0,44.0,10514.195725673108
Test_290,20.0,-82.0,11914.149952331361
Test_291,26.0,5.0,7909.317711698739
Test_292,71.0,-88.0,6473.119068320967
Test_293,-28.0,11.0,8557.590037517488
Test_294,-71.0,-57.0,11012.94327656164
Test_295,-84.0,-9.0,10578.07894756951
Test_296,-48.0,82.0,11760.795291374545
Test_297,-13.0,-4.0,6127.741252425495
Test_298,-19.0,-23.0,9154.152342361334
Test_299,5.0,-32.0,8922.170558377054
Test_300,51.0,46.0,15728.49156421413
