Test_ID,Theta1,Theta2,Pt
Test_001,65.0,19.0,20279.923491437014
Test_002,40.0,-51.0,15556.61473956806
Test_003,-44.0,65.0,15269.17077320444
Test_004,49.0,48.0,14761.544948240946
Test_005,-52.0,20.0,19591.464258347456
Test_006,-15.0,-74.0,20879.436434672043
Test_007,51.0,-83.0,11082.310852104845
Test_008,86.0,9.0,21509.70463796609
Test_009,-63.0,21.0,19251.815448846046
Test_010,-74.0,83.0,6481.632761335873
Test_011,-39.0,-9.0,20502.16122153169
Test_012,-56.0,9.0,21551.135354916772
Test_013,61.0,33.0,16557.71990006798
Test_014,19.0,79.0,20720.16069294209
Test_015,35.0,60.0,16265.619753031
Test_016,75.0,-61.0,9627.785438115676
Test_017,-30.0,66.0,17728.921577513524
Test_018,-53.0,31.0,16497.2567466334
Test_019,-79.0,29.0,18070.251752433138
Test_020,-2.0,48.0,22366.159931756138
Test_021,-49.0,-67.0,13319.084810233135
Test_022,43.0,-33.0,15889.038536401165
Test_023,62.0,-67.0,10932.381073716295
Test_024,30.0,75.0,17977.90860553779
Test_025,80.0,-80.0,5974.146129044565
Test_026,-81.0,73.0,6744.9138728114285
Test_027,54.0,-38.0,15446.130281350363
Test_028,36.0,-31.0,16682.210319863058
Test_029,52.0,-41.0,15313.712162579053
Test_030,15.0,-12.0,17744.380938128746
Test_031,-55.0,-62.0,12596.629945386905
Test_032,-19.0,-7.0,18265.84956987515
Test_033,-61.0,86.0,8682.978801978961
Test_034,-43.0,-15.0,20219.92060986161
Test_035,70.0,81.0,7269.449927975162
Test_036,8.0,25.0,19590.312251762076
Test_037,-85.0,67.0,7437.374438342424
Test_038,-56.0,52.0,13793.36665248805
Test_039,64.0,42.0,15236.895707091195
Test_040,-27.0,-54.0,17847.394344086144
Test_041,-2.0,-68.0,22366.10987565245
Test_042,84.0,51.0,11029.187226315635
Test_043,79.0,-71.0,7265.906238969385
Test_044,59.0,-56.0,13023.83583202239
Test_045,-18.0,-35.0,20742.239262719024
Test_046,-76.0,-77.0,6801.598728565306
Test_047,42.0,27.0,16670.4063688223
Test_048,1.0,71.0,22351.737191512922
Test_049,-37.0,22.0,18986.188840685034
Test_050,-16.0,44.0,20112.13068030207
Test_051,28.0,57.0,17702.527798828363
Test_052,-79.0,34.0,16829.45536165559
Test_053,3.0,87.0,22220.532735999415
Test_054,-17.0,-44.0,20540.564821381304
Test_055,44.0,-49.0,15997.367575066146
Test_056,67.0,-19.0,20247.081969890616
Test_057,2.0,74.0,22307.3810493151
Test_058,82.0,19.0,19825.92013785666
Test_059,14.0,3.0,17907.041420745703
Test_060,44.0,-84.0,11896.605474082471
Test_061,0.0,-52.0,22402.342271727717
Test_062,33.0,26.0,17685.15756520484
Test_063,-75.0,38.0,16012.548531386854
Test_064,-20.0,55.0,19359.54785727134
Test_065,72.0,31.0,17499.697679404366
Test_066,75.0,72.0,7625.839698244229
Test_067,-83.0,68.0,7387.256006503648
Test_068,-26.0,-1.0,19306.640859573567
Test_069,-36.0,57.0,15982.069252168067
Test_070,-89.0,-51.0,10878.994333085067
Test_071,-45.0,-29.0,16257.495189212224
Test_072,-29.0,13.0,20882.91104651696
Test_073,-22.0,46.0,18371.96950636458
Test_074,-1.0,-8.0,16633.331228700798
Test_075,-22.0,82.0,19756.321916457244
Test_076,50.0,5.0,21956.812747095355
Test_077,-64.0,20.0,19525.691414505887
Test_078,29.0,-79.0,18247.13242932
Test_079,-67.0,39.0,15675.124287693527
Test_080,-53.0,-64.0,13188.68719536989
Test_081,-38.0,-72.0,16101.966755035071
Test_082,85.0,48.0,11681.724205184206
Test_083,-12.0,85.0,21318.504605026796
Test_084,77.0,-48.0,12369.496645623376
Test_085,45.0,75.0,12709.042168351167
Test_086,-41.0,-54.0,15448.245617651613
Test_087,-38.0,89.0,16215.94096466197
Test_088,23.0,33.0,18694.66851299173
Test_089,18.0,-35.0,20031.033295417208
Test_090,-65.0,24.0,18567.623358161043
Test_091,11.0,36.0,20529.061392558167
Test_092,-38.0,-40.0,16184.331037269763
Test_093,-70.0,-78.0,7602.417950602328
Test_094,73.0,-55.0,11154.074047091275
Test_095,68.0,-30.0,17598.910685998562
Test_096,84.0,-52.0,10698.233320148027
Test_097,-46.0,-23.0,18350.670366569502
Test_098,-1.0,36.0,21662.009884847586
Test_099,90.0,40.0,12441.102931116799
Test_100,69.0,62.0,10387.087862504186
Test_101,48.0,15.0,20891.245745716828
Test_102,76.0,-24.0,19346.702310993776
Test_103,66.0,14.0,21532.906827779134
Test_104,83.0,3.0,22607.115395730732
Test_105,89.0,-77.0,5746.904316018119
Test_106,-12.0,43.0,21143.621819788485
Test_107,69.0,8.0,21723.817042202932
Test_108,46.0,-72.0,13024.505182488352
Test_109,-69.0,17.0,20908.730421593857
Test_110,-51.0,1.0,22195.57094591244
Test_111,7.0,87.0,22731.6621763032
Test_112,21.0,-8.0,18946.00444524986
Test_113,35.0,-2.0,21540.828092740405
Test_114,-35.0,-78.0,16457.21199092562
Test_115,22.0,74.0,19993.581323305487
Test_116,12.0,-85.0,21298.765641703387
Test_117,-87.0,33.0,16676.73551302453
Test_118,54.0,-88.0,10226.84260858503
Test_119,31.0,-10.0,21158.14945828343
Test_120,-58.0,-26.0,18123.611622573513
Test_121,-50.0,14.0,20659.04923228132
Test_122,20.0,-73.0,20533.187549933256
Test_123,76.0,4.0,22005.424993925648
Test_124,42.0,-66.0,15480.572352599325
Test_125,-3.0,72.0,22291.73227272642
Test_126,-8.0,18.0,17936.599686716796
Test_127,-66.0,77.0,8438.8519584146
Test_128,59.0,-70.0,10901.946422125704
Test_129,24.0,11.0,19215.557040940086
Test_130,-59.0,12.0,21115.77460837521
Test_131,41.0,53.0,15463.574186148373
Test_132,38.0,35.0,15853.528947769119
Test_133,-21.0,37.0,18858.637339791876
Test_134,-56.0,37.0,15613.98066548602
Test_135,39.0,-76.0,15970.020756198352
Test_136,8.0,-68.0,21942.21733271239
Test_137,68.0,53.0,12350.068907289819
Test_138,-28.0,-75.0,17983.163256646327
Test_139,-52.0,-36.0,15579.427626523031
Test_140,1.0,-3.0,16479.08891848038
Test_141,79.0,49.0,11867.74493785736
Test_142,56.0,10.0,21373.8847428938
Test_143,39.0,-35.0,15800.848549025524
Test_144,-86.0,-39.0,15821.081223506479
Test_145,29.0,32.0,17417.389883857024
Test_146,-41.0,-28.0,16838.211827879044
Test_147,47.0,23.0,18292.090571211687
Test_148,46.0,-62.0,15172.3322432431
Test_149,24.0,-59.0,18997.599674229477
Test_150,15.0,-47.0,20405.900384903987
Test_151,-66.0,-82.0,7884.62066735183
Test_152,-23.0,-66.0,19588.66220643706
Test_153,50.0,-62.0,14290.840122513191
Test_154,-65.0,-65.0,10694.434718737653
Test_155,11.0,-32.0,21032.456055075923
Test_156,70.0,-86.0,6923.025836043321
Test_157,78.0,-26.0,18668.95348620785
Test_158,17.0,-43.0,19849.177278895735
Test_159,-9.0,-4.0,32036.752553927407
Test_160,47.0,-13.0,20684.774715667143
Test_161,-43.0,-45.0,15156.201961397343
Test_162,-71.0,-11.0,22022.413863544887
Test_163,-84.0,28.0,18266.868850108156
Test_164,-16.0,-5.0,18183.706992387233
Test_165,-5.0,10.0,16950.112781421787
Test_166,-61.0,-3.0,22146.754272526483
Test_167,-4.0,-6.0,16754.90672422311
Test_261,-14.0,-28.0,21027.60738804005
Test_262,-57.0,76.0,10344.068553316582
Test_263,-24.0,2.0,19639.621734054886
Test_264,87.0,-65.0,7725.825405550275
Test_265,-25.0,-84.0,19275.03920096971
Test_168,-5.0,-1.0,17139.61928521297
Test_169,58.0,-70.0,11099.265634864609
Test_170,-35.0,-50.0,15614.023224339771
Test_171,-6.0,-18.0,17540.320712343866
Test_172,-68.0,5.0,22011.918442106205
Test_173,82.0,-55.0,10106.262755440353
Test_174,-76.0,51.0,11688.244810745935
Test_175,-73.0,85.0,6493.408798879067
Test_176,-36.0,30.0,16861.418796414117
Test_177,25.0,-81.0,19231.55483406084
Test_178,27.0,63.0,18268.280616398955
Test_179,73.0,-44.0,15100.34955432096
Test_180,-14.0,88.0,20981.1283021967
Test_181,88.0,45.0,12618.453308520386
Test_182,-14.0,42.0,20685.679771739804
Test_183,37.0,63.0,16022.617298437033
Test_184,83.0,43.0,12057.478693098097
Test_185,-18.0,49.0,20106.6583107552
Test_186,-54.0,1.0,22192.93997980658
