File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.648e+01
Avg = 1.389e+01
SD = 9.900e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.648e+00,1.824e+00,247100,1.932e+01
2,3.648e+00,7.297e+00,5.473e+00,200246,1.605e+01
3,7.297e+00,1.095e+01,9.121e+00,143538,1.149e+01
4,1.095e+01,1.459e+01,1.277e+01,98856,7.835e+00
5,1.459e+01,1.824e+01,1.642e+01,116569,9.410e+00
6,1.824e+01,2.189e+01,2.007e+01,113147,9.076e+00
7,2.189e+01,2.554e+01,2.371e+01,113032,9.033e+00
8,2.554e+01,2.919e+01,2.736e+01,139974,1.101e+01
9,2.919e+01,3.284e+01,3.101e+01,70515,5.502e+00
10,3.284e+01,3.648e+01,3.466e+01,39559,1.261e+00
