File= Filling_Pressure.csv
Min = 0.000e+00
Max = 1.476e+01
Avg = 5.750e+00
SD = 2.921e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,1.476e+00,7.379e-01,310978,5.121e+00
2,1.476e+00,2.952e+00,2.214e+00,833677,1.762e+01
3,2.952e+00,4.428e+00,3.690e+00,791780,1.727e+01
4,4.428e+00,5.904e+00,5.166e+00,568456,1.159e+01
5,5.904e+00,7.379e+00,6.642e+00,613575,1.254e+01
6,7.379e+00,8.855e+00,8.117e+00,764111,1.650e+01
7,8.855e+00,1.033e+01,9.593e+00,766253,1.561e+01
8,1.033e+01,1.181e+01,1.107e+01,189026,3.387e+00
9,1.181e+01,1.328e+01,1.255e+01,15480,2.081e-01
10,1.328e+01,1.476e+01,1.402e+01,2880,1.492e-01
