File = D:\Moldex3D\02. AI\Surrogate model - 2\Report\XYPlot\Packing-Sprue Pressure.csv

Title,Packing-Sprue Pressure
,,
Time (sec),Run 25 : V03FAM_G01_P05 (MPa),
0.000610625,0.000586696,
0.00185655,0.00801356,
0.00315772,0.0115521,
0.00434705,0.142769,
0.00560611,0.735781,
0.00672783,1.2799,
0.00760148,2.20122,
0.00805165,1.84024,
0.00851801,1.77975,
0.0090287,1.78597,
0.00954508,1.80459,
0.0100657,1.80485,
0.0106759,1.82547,
0.011344,1.81246,
0.0120491,1.94829,
0.0128797,1.9968,
0.0137468,2.04107,
0.0146435,2.07852,
0.0155555,2.1318,
0.0164748,2.16463,
0.0175565,2.19221,
0.0186485,2.24292,
0.0197427,2.21485,
0.0210048,2.26032,
0.0222543,2.36863,
0.0235367,2.33957,
0.0247988,2.37314,
0.0262735,2.40936,
0.0277481,2.44524,
0.0292292,2.47788,
0.0307113,2.50568,
0.0321991,2.53174,
0.0339481,2.55972,
0.0356937,2.58768,
0.0374561,2.61419,
0.0392256,2.63813,
0.0409979,2.66068,
0.0430842,2.68536,
0.0451591,2.71005,
0.0472465,2.73247,
0.0493369,2.75399,
0.051434,2.7745,
0.0535468,2.79385,
0.0560295,2.81613,
0.0585069,2.83852,
0.0609941,2.86042,
0.0634902,2.88022,
0.0660013,2.8988,
0.0685246,2.91696,
0.0710415,2.93589,
0.0740106,2.95664,
0.0769517,2.9776,
0.0799145,2.99839,
0.0828893,3.01783,
0.0858771,3.03655,
0.0888637,3.054,
0.0918697,3.0713,
0.0948924,3.08853,
0.0984233,3.10869,
0.10195,3.12815,
0.10548,3.1477,
0.109008,3.16651,
0.112547,3.18439,
0.116113,3.20275,
0.119635,3.22269,
0.123227,3.23876,
0.126759,3.25688,
0.130957,3.2743,
0.135055,3.29585,
0.139247,3.31299,
0.143451,3.33036,
0.147663,3.34775,
0.151903,3.36486,
0.156153,3.38219,
0.160416,3.39865,
0.164677,3.41532,
0.168935,3.43177,
0.173194,3.44753,
0.178151,3.4664,
0.183085,3.48542,
0.188043,3.50384,
0.192934,3.52435,
0.197922,3.54095,
0.20278,3.55795,
0.207495,3.58762,
0.211758,3.67283,
0.216137,3.78097,
0.220599,3.78372,
0.225088,3.80225,
0.229563,3.82635,
0.233993,3.85533,
0.23844,3.88085,
0.242862,3.9083,
0.247293,3.93369,
0.251688,3.96249,
0.256103,3.99068,
0.260518,4.01841,
0.26491,4.04621,
0.269319,4.07345,
0.273708,4.10206,
0.278003,4.13363,
0.282139,4.17894,
0.286256,4.21741,
0.290356,4.25527,
0.29446,4.29163,
0.298569,4.3276,
0.302106,4.35505,
0.3056,4.37947,
0.309131,4.40925,
0.312659,4.43966,
0.316185,4.47087,
0.319719,4.50247,
0.323263,4.53537,
0.326814,4.56814,
0.33035,4.60069,
0.333882,4.63464,
0.337415,4.669,
0.340948,4.68936,
0.344368,4.74322,
0.347905,4.76117,
0.351317,4.79764,
0.354733,4.83489,
0.358166,4.87183,
0.361587,4.90697,
0.365029,4.94077,
0.368462,4.97515,
0.371905,5.00834,
0.375363,5.0523,
0.378951,5.06707,
0.382426,5.11129,
0.386031,5.13842,
0.389661,5.15534,
0.393159,5.20183,
0.396796,5.22912,
0.400447,5.24735,
0.403995,5.29229,
0.407675,5.30902,
0.411262,5.35135,
0.414976,5.36828,
0.418605,5.39902,
0.422215,5.42998,
0.425862,5.45972,
0.42949,5.48759,
0.433171,5.51521,
0.436872,5.54244,
0.440568,5.56959,
0.44431,5.59508,
0.448044,5.61981,
0.451809,5.64483,
0.455597,5.66997,
0.459376,5.69373,
0.463199,5.71727,
0.467008,5.74117,
0.470849,5.76447,
0.474651,5.78811,
0.47846,5.81095,
0.482232,5.8366,
0.485968,5.86922,
0.489704,5.90961,
0.493506,5.92216,
0.497273,5.95866,
0.501132,5.97682,
0.504893,6.01304,
0.508781,6.03135,
0.512563,6.0677,
0.51642,6.09248,
0.520305,6.11905,
0.524192,6.14731,
0.52808,6.16931,
0.531865,6.20174,
0.535631,6.24216,
0.539503,6.2661,
0.543396,6.28751,
0.547182,6.31939,
0.550931,6.35173,
0.554691,6.38151,
0.558447,6.4123,
0.562202,6.44182,
0.565949,6.47198,
0.56972,6.50166,
0.573479,6.53012,
0.577241,6.55982,
0.581013,6.5887,
0.584773,6.61726,
0.588527,6.64676,
0.592285,6.67608,
0.596047,6.70455,
0.599797,6.73394,
0.603542,6.76235,
0.607287,6.79208,
0.611035,6.82144,
0.614801,6.85119,
0.618582,6.88137,
0.622374,6.91067,
0.626141,6.94019,
0.629907,6.96901,
0.633659,6.99876,
0.637416,7.02812,
0.641163,7.05821,
0.644926,7.08798,
0.648677,7.119,
0.652422,7.14856,
0.656113,7.17905,
0.659802,7.20893,
0.66344,7.23987,
0.667094,7.26705,
0.670701,7.29425,
0.674352,7.32123,
0.676185,7.33516,
0.680412,10.0262,
0.685333,13.0269,
0.688321,14.7592,
0.688321,14.7592,
0.692185,16.932,
0.69628,19.1463,
0.700621,21.3972,
0.705223,23.6797,
0.7101,25.9878,
0.71527,28.315,
0.720751,30.6543,
0.72656,32.9981,
0.732718,35.3382,
0.73906,37.6,
0.745593,39.782,
0.752322,41.8826,
0.759253,43.9006,
0.766391,45.8351,
0.773744,47.6854,
0.781317,49.4511,
0.789118,51.132,
0.797152,52.7283,
0.805428,54.2404,
0.813952,55.669,
0.822731,57.015,
0.831774,58.2796,
0.841088,59.4644,
0.850682,60.5711,
0.860564,61.6016,
0.870741,62.5582,
0.881225,63.4432,
0.892022,64.2591,
0.903144,65.0088,
0.914599,65.6951,
0.926398,66.3211,
0.938551,66.8897,
0.951069,67.4042,
0.963962,67.8678,
0.977242,68.2838,
0.99092,68.6553,
1.00501,68.9856,
1.02121,69.312,
1.03984,69.6265,
1.06127,69.9208,
1.08591,70.1867,
1.11425,70.4172,
1.14684,70.6071,
1.18431,70.7544,
1.22741,70.8602,
1.27697,70.9295,
1.33397,70.9697,
1.39666,70.9887,
1.46563,70.9965,
1.54149,70.9992,
1.62494,70.9999,
1.71673,71,
1.8177,71,
1.92877,71,
2.05095,71,
2.18534,71,
2.33318,71,
2.49579,71,
2.67467,71,
2.87144,71,
3.08788,71,
3.30649,71,
3.52728,71,
3.75028,71,
3.91618,71,
3.94189,61,
3.95828,51,
3.97713,41.3852,
3.99881,32.4128,
4.02375,24.3315,
4.05242,17.3551,
4.08539,11.6326,
4.12331,7.22163,
4.16692,4.0725,
4.21707,2.03023,
4.27223,0.9103,
4.33291,0.357939,
4.39965,0.119026,
4.47308,0.0316352,
4.55384,0.00608544,
4.64268,0.00067913,
4.7404,1.54563e-05,
4.8479,1e-06,
4.96615,1e-06,
5.09622,1e-06,
5.2393,1e-06,
5.46453,1e-06,
5.69201,1e-06,
5.92177,1e-06,
6.15382,1e-06,
6.3882,1e-06,
6.62492,1e-06,
6.86401,1e-06,
7.10549,1e-06,
7.34938,1e-06,
7.59572,1e-06,
7.84451,1e-06,
8.09579,1e-06,
8.34959,1e-06,
8.60592,1e-06,
8.86482,1e-06,
9.12631,1e-06,
9.39041,1e-06,
9.65715,1e-06,
9.92656,1e-06,
10.1987,1e-06,
10.4735,1e-06,
10.7511,1e-06,
11.0314,1e-06,
11.3146,1e-06,
11.6005,1e-06,
11.8894,1e-06,
12.1811,1e-06,
12.4758,1e-06,
12.7734,1e-06,
13.0739,1e-06,
13.3775,1e-06,
13.6841,1e-06,
13.9938,1e-06,
14.3066,1e-06,
14.6225,1e-06,
14.9416,1e-06,
15.2638,1e-06,
15.5893,1e-06,
15.918,1e-06,
16.25,1e-06,
16.5854,1e-06,
16.9241,1e-06,
17.2662,1e-06,
17.6117,1e-06,
17.9606,1e-06,
18.313,1e-06,
18.669,1e-06,
19.0285,1e-06,
19.3917,1e-06,
19.7584,1e-06,
20.1289,1e-06,
20.503,1e-06,
20.8808,1e-06,
21.2625,1e-06,
21.648,1e-06,
22.0373,1e-06,
22.4305,1e-06,
22.8276,1e-06,
23.1162,1e-06,
23.4076,1e-06,
