File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.591e+01
Avg = 1.485e+01
SD = 9.211e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.591e+00,1.796e+00,97706,1.043e+01
2,3.591e+00,7.182e+00,5.387e+00,190528,2.091e+01
3,7.182e+00,1.077e+01,8.978e+00,96155,1.056e+01
4,1.077e+01,1.436e+01,1.257e+01,72401,7.893e+00
5,1.436e+01,1.795e+01,1.616e+01,71455,7.802e+00
6,1.795e+01,2.155e+01,1.975e+01,91060,9.960e+00
7,2.155e+01,2.514e+01,2.334e+01,149978,1.645e+01
8,2.514e+01,2.873e+01,2.693e+01,96735,1.058e+01
9,2.873e+01,3.232e+01,3.052e+01,43288,4.370e+00
10,3.232e+01,3.591e+01,3.411e+01,30826,1.045e+00
