File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.998e+01
Avg = 1.659e+01
SD = 1.202e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.998e+00,1.999e+00,247074,2.236e+01
2,3.998e+00,7.996e+00,5.997e+00,135485,1.274e+01
3,7.996e+00,1.199e+01,9.995e+00,98087,9.053e+00
4,1.199e+01,1.599e+01,1.399e+01,62638,5.673e+00
5,1.599e+01,1.999e+01,1.799e+01,61522,5.585e+00
6,1.999e+01,2.399e+01,2.199e+01,90630,8.359e+00
7,2.399e+01,2.799e+01,2.599e+01,123261,1.157e+01
8,2.799e+01,3.198e+01,2.999e+01,137081,1.258e+01
9,3.198e+01,3.598e+01,3.398e+01,107122,9.756e+00
10,3.598e+01,3.998e+01,3.798e+01,50644,2.328e+00
