File = D:\Moldex3D\02. AI\Only CAE Surrogate\Report\XYPlot\G10_P01-10_SPRUE PRESSURE.csv

Title,Packing-Sprue Pressure
,,,,,,,,,,,,,,,,,,,,
Time (sec),Run 1 : G10_P01 (MPa),Time (sec),Run 2 : G10_P02 (MPa),Time (sec),Run 3 : G10_P03 (MPa),Time (sec),Run 4 : G10_P04 (MPa),Time (sec),Run 5 : G10_P05 (MPa),Time (sec),Run 6 : G10_P06 (MPa),Time (sec),Run 7 : G10_P07 (MPa),Time (sec),Run 8 : G10_P08 (MPa),Time (sec),Run 9 : G10_P09 (MPa),Time (sec),Run 10 : G10_P10 (MPa),
0.00262304,0.000379995,0.00129666,0.00117904,0.000666912,0.0016167,0.00164392,0.0011554,0.00222587,0.000139066,0.00112993,0.00162143,0.00233313,7.65426e-05,0.000761427,0.00180579,0.00201666,0.000739239,0.00142728,0.00120358,
0.00669346,0.000294668,0.00337694,4.73328e-06,0.00180173,3.78322e-05,0.00421298,0.00630725,0.00578035,0.000458835,0.00297257,3.7073e-05,0.00602977,0.000410709,0.00204615,4.36412e-05,0.0050722,0.00513462,0.00369467,1e-06,
0.0102945,0.00351874,0.00559782,0.00637065,0.00308622,0.000190155,0.0068881,0.00756798,0.00899285,0.0213597,0.00496442,0.00799585,0.00935044,0.0204376,0.0034846,2.8624e-05,0.00818906,0.0159345,0.00609135,0.0076161,
0.0138261,0.194807,0.00762835,0.0773889,0.00427948,0.0387663,0.00884474,0.0782509,0.0122132,0.288793,0.00682805,0.10534,0.0126522,0.277839,0.00479592,0.00768817,0.011244,0.16588,0.00816999,0.0803382,
0.0168178,0.614655,0.00970723,0.494705,0.00584432,0.0533947,0.0110184,0.499545,0.0150075,0.73483,0.00875072,0.60373,0.0155048,0.699592,0.00626792,0.017698,0.0139629,0.590942,0.0103547,0.493469,
0.0197649,1.24914,0.0114088,0.844903,0.00731533,1.18692,0.0129193,0.875303,0.0177399,1.41305,0.010458,1.08978,0.018295,1.38097,0.00772256,0.814615,0.0162378,1.10053,0.0122098,0.975391,
0.0210061,1.17599,0.0129396,1.60955,0.00867253,2.00334,0.0149151,1.74842,0.0189828,1.3797,0.0120469,2.12145,0.0196294,1.32337,0.0089568,2.02454,0.0181231,1.22661,0.0138524,1.69357,
0.0222676,1.12277,0.0135505,1.41823,0.00931559,1.82214,0.0156787,1.54513,0.0200292,1.32465,0.0125809,1.77031,0.0207663,1.26058,0.00997595,2.18459,0.0192889,1.17041,0.0145476,1.50517,
0.0235089,1.15178,0.0141614,1.36242,0.0098473,1.77054,0.0164501,1.49364,0.0210646,1.33577,0.0131004,1.70843,0.0218777,1.28852,0.0105981,2.03382,0.0204921,1.1781,0.0152213,1.43519,
0.0248243,1.17397,0.0147749,1.38189,0.0103902,1.81556,0.0172273,1.51161,0.0221347,1.3747,0.0136255,1.72755,0.0230547,1.31531,0.0112305,2.05674,0.0217066,1.21486,0.0158851,1.47018,
0.0263964,1.2078,0.0155058,1.42934,0.0109512,1.87588,0.018032,1.54676,0.023435,1.40626,0.0142452,1.77512,0.024477,1.34233,0.011878,2.11525,0.0229368,1.25256,0.0167071,1.50525,
0.0282121,1.25901,0.0162612,1.46972,0.0115207,1.9339,0.0189796,1.59586,0.0250002,1.4592,0.0149864,1.83551,0.026073,1.40296,0.0125284,2.19867,0.0244456,1.29181,0.0176817,1.5661,
0.0304009,1.30568,0.0171663,1.50938,0.012193,2.03278,0.0201015,1.65893,0.0268461,1.5174,0.0157567,1.89026,0.0280346,1.4663,0.0133173,2.2239,0.0261835,1.34912,0.01883,1.63297,
0.0325784,1.35941,0.0182549,1.58635,0.0129897,2.12956,0.0214449,1.69541,0.0289498,1.58271,0.016686,1.97888,0.0303373,1.52803,0.0142039,2.4184,0.0282234,1.4091,0.0199832,1.6845,
0.0351221,1.41365,0.0195213,1.65767,0.0139125,2.23373,0.0229737,1.81019,0.0315079,1.66108,0.0177584,2.06401,0.0329692,1.60192,0.0151174,2.509,0.0306472,1.46144,0.0213203,1.7505,
0.0381053,1.46904,0.0209815,1.72777,0.0150045,2.36724,0.024807,1.89313,0.0344319,1.73982,0.0190019,2.16671,0.0360668,1.67982,0.0162154,2.63303,0.0333497,1.53779,0.022961,1.8471,
0.041605,1.53932,0.0227523,1.79226,0.0160933,2.46517,0.0269421,1.97215,0.037814,1.82369,0.0205057,2.2785,0.0396677,1.75239,0.0174949,2.76787,0.0365725,1.60773,0.0248694,1.90338,
0.0457137,1.60241,0.0247018,1.88694,0.0173517,2.58245,0.0294388,2.07492,0.0411769,1.88895,0.0221986,2.33659,0.0432861,1.81995,0.018972,2.83356,0.0398203,1.66635,0.0270226,2.01536,
0.0497976,1.66026,0.0266533,1.99009,0.018619,2.62223,0.0319359,2.15261,0.0451448,1.96408,0.0241036,2.45895,0.0475148,1.89182,0.0204026,2.95876,0.0436214,1.73029,0.0291606,2.09247,
0.0546944,1.72163,0.0289408,2.06425,0.0200359,2.7381,0.0348227,2.23514,0.049074,2.03417,0.0260148,2.59068,0.0518047,1.96115,0.0220425,3.09351,0.0474015,1.79331,0.031674,2.17509,
