File = D:\Moldex3D\02. AI\Only CAE Surrogate\Report\XYPlot\G24_P01-10_SPRUE PRESSURE.csv

Title,Packing-Sprue Pressure
,,,,,,,,,,,,,,,,,,,,
Time (sec),Run 1 : G24_P01 (MPa),Time (sec),Run 2 : G24_P02 (MPa),Time (sec),Run 3 : G24_P03 (MPa),Time (sec),Run 4 : G24_P04 (MPa),Time (sec),Run 5 : G24_P05 (MPa),Time (sec),Run 6 : G24_P06 (MPa),Time (sec),Run 7 : G24_P07 (MPa),Time (sec),Run 8 : G24_P08 (MPa),Time (sec),Run 9 : G24_P09 (MPa),Time (sec),Run 10 : G24_P10 (MPa),
0.00293717,0.000103185,0.00145194,0.000151278,0.000746778,1.66406e-05,0.00184078,2.76178e-06,0.00249243,0.000252904,0.00126524,2.45614e-05,0.00261253,0.000208949,0.000852611,0.000703614,0.00225817,0.000278519,0.0015982,9.99233e-05,
0.00712912,0.00304854,0.00374717,0.00372714,0.001996,0.00443118,0.00466963,0.0038826,0.00615388,0.00344669,0.00329669,0.00436942,0.00642003,0.00334304,0.00226811,0.00479345,0.00562468,0.00321224,0.00409781,0.00384512,
0.0111975,0.00580591,0.00608539,0.00523659,0.00333543,0.00602747,0.00750222,0.00523016,0.00974474,0.00410866,0.00538677,0.00567018,0.0101427,0.00389956,0.00376805,0.00664175,0.00894871,0.00388648,0.00662616,0.0053415,
0.0150204,0.0842469,0.00828077,0.00155087,0.00472361,0.00859184,0.0100632,0.0707453,0.012415,0.0517179,0.00743732,0.00147559,0.0128878,0.0547239,0.00530508,0.0157098,0.0114652,0.0479054,0.00896483,0.0388124,
0.0191081,0.499142,0.0104866,0.245404,0.00596662,0.107494,0.0127124,0.404975,0.0153326,0.336727,0.00948998,0.0748599,0.0168863,0.393927,0.00664917,0.140969,0.0142366,0.291764,0.0113559,0.256746,
0.0227074,0.925391,0.0128089,0.736796,0.00737739,0.581222,0.0151388,0.766975,0.0180451,0.633524,0.0115704,0.921357,0.0198434,0.958685,0.00840447,0.697829,0.0168999,0.557633,0.0137357,0.761385,
0.0256532,1.10088,0.0150431,1.41628,0.00876092,1.04041,0.0175766,1.58022,0.0210442,1.31813,0.0136234,1.69018,0.0229218,1.29126,0.0098078,1.15701,0.0197579,1.12332,0.0160335,1.50341,
0.0282381,1.07291,0.015988,1.32757,0.0101693,1.88417,0.0185885,1.42632,0.0226933,1.24549,0.0150849,1.701,0.0245002,1.19339,0.011082,2.1789,0.021257,1.06565,0.0170736,1.39339,
0.030751,1.05232,0.0170383,1.26069,0.0107519,1.67474,0.0196708,1.36173,0.0245447,1.20047,0.0163737,1.68301,0.0260978,1.14982,0.0116548,1.86812,0.0229501,1.02654,0.0182312,1.32925,
0.0331716,1.06951,0.018099,1.27509,0.0114006,1.60753,0.0207828,1.37256,0.0263977,1.21193,0.0176119,1.64872,0.0276793,1.1603,0.0122653,1.79418,0.0246307,1.03809,0.0194019,1.33208,
0.0356601,1.08133,0.0191418,1.27699,0.0120453,1.61438,0.0220733,1.38234,0.0282066,1.22146,0.0188111,1.65879,0.0294832,1.17517,0.0128782,1.79349,0.0262377,1.04707,0.0205102,1.34414,
0.0386071,1.10487,0.0203017,1.30066,0.0126768,1.61941,0.0235212,1.41225,0.0302603,1.2506,0.0200654,1.69071,0.0315571,1.19743,0.0135738,1.81826,0.0278117,1.06262,0.0217829,1.36499,
0.0421736,1.12982,0.0216638,1.33412,0.013391,1.65661,0.0251995,1.43796,0.0327165,1.27538,0.0215516,1.74328,0.034038,1.22118,0.0143643,1.84504,0.0297479,1.08157,0.0233271,1.39732,
0.0463817,1.16119,0.0232935,1.37267,0.0142369,1.70266,0.0271756,1.4776,0.0356189,1.30506,0.0230772,1.77411,0.0370305,1.24752,0.0152793,1.90252,0.0320082,1.10734,0.0251371,1.43712,
0.0514137,1.20307,0.0249517,1.3843,0.0152665,1.75621,0.0292229,1.49671,0.038531,1.33709,0.0248673,1.804,0.0405057,1.27987,0.0163864,1.96858,0.0346798,1.13362,0.0269646,1.4679,
0.0575744,1.24833,0.0268474,1.43665,0.0163149,1.75571,0.0315518,1.54574,0.0419098,1.37426,0.026925,1.86951,0.0446101,1.32139,0.0175443,1.96328,0.0378506,1.16861,0.0291236,1.50593,
0.0644241,1.28086,0.0291157,1.48777,0.0175016,1.87042,0.0343404,1.59606,0.0459931,1.41633,0.0293362,1.95389,0.0494705,1.3665,0.018837,2.02661,0.0414986,1.21001,0.0316422,1.5549,
0.0725986,1.32398,0.0318474,1.54258,0.0189258,1.94576,0.0376756,1.64797,0.0508434,1.46714,0.0322375,2.02623,0.0552625,1.4249,0.0203415,2.149,0.0459201,1.25219,0.0346435,1.60107,
0.0808017,1.36332,0.0351259,1.57737,0.0206231,2.02175,0.0414926,1.70663,0.0563775,1.50236,0.0356703,2.06842,0.0608534,1.45281,0.0222415,2.25233,0.0509211,1.28576,0.0380995,1.66163,
0.0903673,1.40094,0.0388058,1.63653,0.0226215,2.09807,0.0458728,1.75423,0.0630332,1.55014,0.0390172,2.13635,0.0676505,1.4925,0.0244592,2.3357,0.0569637,1.32643,0.0420627,1.71255,
0.101534,1.44595,0.0425482,1.68025,0.0246091,2.15502,0.050424,1.79971,0.06975,1.59318,0.0428595,2.19866,0.0756258,1.53645,0.0266678,2.38332,0.0630781,1.36258,0.0461898,1.76111,
0.113049,1.48607,0.046805,1.72737,0.026943,2.2251,0.0558346,1.84875,0.0776094,1.63726,0.0474158,2.26161,0.0849032,1.58376,0.0293031,2.47109,0.0702177,1.399,0.050902,1.80371,
0.126553,1.5319,0.0520159,1.77422,0.0296796,2.29908,0.0624248,1.91528,0.0868116,1.68835,0.052067,2.32444,0.0941563,1.63197,0.0323657,2.5534,0.0784964,1.43952,0.0565298,1.85409,
0.140061,1.57584,0.0572256,1.81996,0.0324024,2.35832,0.0686299,1.95959,0.0960451,1.73768,0.0574425,2.39026,0.104887,1.67976,0.0353767,2.61863,0.086794,1.48067,0.0622394,1.90271,
0.155597,1.61846,0.0635389,1.87046,0.0355995,2.43065,0.0762874,2.01651,0.106898,1.79209,0.0628815,2.45828,0.115939,1.72532,0.0389197,2.69886,0.0970274,1.52268,0.0691635,1.95493,
0.171233,1.65713,0.0696995,1.92153,0.0387964,2.49592,0.0849121,2.08288,0.11769,1.84083,0.0692607,2.52565,0.128744,1.77461,0.0424269,2.76628,0.10689,1.56368,0.0759684,2.00983,
0.189408,1.70181,0.076792,1.97297,0.0425346,2.56447,0.0936969,2.14601,0.13028,1.89198,0.0757994,2.58984,0.141546,1.82,0.0464653,2.84772,0.118376,1.6044,0.0837704,2.06429,
0.207736,1.74113,0.083862,2.02188,0.0462417,2.62571,0.102637,2.20271,0.143014,1.94211,0.0823747,2.6505,0.156827,1.86767,0.0505117,2.92005,0.129924,1.64385,0.0915958,2.11525,
0.22615,1.78203,0.0923543,2.07261,0.050616,2.6917,0.113169,2.26492,0.158081,1.9951,0.0901109,2.72053,0.172067,1.91354,0.0553472,2.9939,0.143558,1.68305,0.101014,2.17277,
0.244579,1.81957,0.100845,2.12149,0.0549976,2.75533,0.123609,2.32713,0.17304,2.05096,0.0977128,2.78991,0.187567,1.95671,0.0601798,3.06447,0.157077,1.72266,0.110062,2.2219,
0.266499,1.86435,0.109339,2.16766,0.0593361,2.81325,0.135626,2.3959,0.188108,2.12952,0.106734,2.86123,0.205402,2.00616,0.0657336,3.14548,0.17068,1.7584,0.119333,2.26863,
0.287606,1.90577,0.119413,2.21677,0.0643573,2.88047,0.147887,2.50111,0.205557,2.21011,0.115799,2.93507,0.223465,2.05963,0.0712752,3.22314,0.186472,1.80018,0.130159,2.3198,
0.309053,1.95481,0.129492,2.26674,0.0694864,2.94262,0.160261,2.60916,0.222586,2.27953,0.1248,3.00245,0.241094,2.11763,0.0768825,3.29591,0.201966,1.83516,0.141202,2.37156,
0.32974,2.00317,0.139505,2.31253,0.0746901,3.0007,0.172792,2.73551,0.240572,2.34338,0.133803,3.085,0.259359,2.1728,0.0826043,3.36315,0.218008,1.86959,0.152218,2.42049,
0.347531,2.09428,0.149795,2.35593,0.0799246,3.05832,0.187371,2.84913,0.257966,2.39765,0.14278,3.17417,0.280089,2.23193,0.0893313,3.44096,0.23395,1.90118,0.163331,2.46712,
0.365432,2.15062,0.161248,2.40367,0.0858263,3.12063,0.201344,2.95958,0.27525,2.45201,0.150898,3.28404,0.299026,2.30154,0.0959216,3.51872,0.249713,1.9353,0.175863,2.51758,
0.383379,2.20962,0.171544,2.47242,0.0914232,3.18733,0.21416,3.06541,0.290749,2.52746,0.158097,3.46011,0.315601,2.41081,0.102169,3.5872,0.26379,1.98644,0.187301,2.58776,
0.401582,2.26926,0.180814,2.585,0.096118,3.34904,0.225461,3.21547,0.305177,2.6261,0.16557,3.55928,0.332666,2.47088,0.107564,3.76681,0.27683,2.06309,0.197534,2.70897,
0.419876,2.32693,0.190354,2.64808,0.101018,3.43417,0.237147,3.29676,0.322077,2.693,0.173196,3.67753,0.349745,2.54075,0.112993,3.8676,0.292181,2.1147,0.208043,2.7726,
0.438084,2.38611,0.199927,2.71748,0.105999,3.52449,0.248936,3.3906,0.338748,2.77064,0.180826,3.78993,0.366942,2.61162,0.118455,3.97464,0.307245,2.17286,0.218579,2.85034,
0.456456,2.44376,0.209424,2.7891,0.11095,3.61798,0.26078,3.48333,0.355585,2.84757,0.188474,3.89705,0.384254,2.68228,0.123939,4.07802,0.322398,2.23097,0.22908,2.92606,
