File = D:\Moldex3D\02. AI\Only CAE Surrogate\Report\XYPlot\G02_P01-10_SPRUE PRESSURE.csv

Title,Packing-Sprue Pressure
,,,,,,,,,,,,,,,,,,,,
Time (sec),Run 2 : G02_P01 (MPa),Time (sec),Run 20 : G02_P02 (MPa),Time (sec),Run 21 : G02_P03 (MPa),Time (sec),Run 22 : G02_P04 (MPa),Time (sec),Run 23 : G02_P05 (MPa),Time (sec),Run 24 : G02_P06 (MPa),Time (sec),Run 25 : G02_P07 (MPa),Time (sec),Run 26 : G02_P08 (MPa),Time (sec),Run 27 : G02_P09 (MPa),Time (sec),Run 28 : G02_P10 (MPa),
0.0547023,2.29145,0.0315909,2.85667,0.0177728,3.41253,0.0371439,3.04419,0.045197,2.59972,0.0296452,3.64861,0.0471608,2.49471,0.0199318,3.83161,0.0434307,2.28848,0.0346478,3.00216,
0.059631,2.37389,0.0337947,2.94363,0.0190157,3.56067,0.0402881,3.15963,0.0488692,2.69297,0.0319135,3.76663,0.0509919,2.58077,0.0212686,4.03153,0.0469174,2.36946,0.0371291,3.09452,
0.0647312,2.45909,0.0364196,3.04331,0.0202516,3.68428,0.0434657,3.26151,0.0531588,2.79542,0.0341257,3.89103,0.0555059,2.67798,0.0226762,4.151,0.0509734,2.44903,0.0400125,3.196,
0.0699561,2.52984,0.0390324,3.13502,0.0214899,3.80918,0.0466932,3.35906,0.0574948,2.8856,0.0364124,4.0075,0.0600615,2.76663,0.0242626,4.33824,0.0550664,2.53186,0.0429069,3.29328,
0.0759346,2.61224,0.0416883,3.2232,0.0229416,3.96282,0.0499921,3.45538,0.0619547,2.96874,0.0391334,4.13453,0.0647056,2.84528,0.0258942,4.4609,0.0592336,2.60505,0.0458491,3.38623,
0.0820482,2.69607,0.0447457,3.32314,0.0244335,4.08535,0.0537808,3.55728,0.0670769,3.06123,0.0418657,4.25025,0.0700832,2.93667,0.0274932,4.62152,0.0639967,2.6853,0.0493165,3.49024,
0.0881568,2.76757,0.0478597,3.41338,0.0259331,4.20293,0.0576106,3.6587,0.0721737,3.15446,0.0445526,4.36202,0.0754199,3.02022,0.0291842,4.74882,0.0688424,2.76381,0.0527462,3.58189,
0.0943123,2.83702,0.050999,3.4979,0.0274426,4.31524,0.0614378,3.75082,0.0773684,3.2407,0.0472781,4.46762,0.0808446,3.10367,0.0311687,4.87505,0.0737429,2.83291,0.056191,3.67071,
0.101537,2.91581,0.0541767,3.58001,0.0291769,4.44666,0.0658983,3.85913,0.0826059,3.322,0.0504664,4.5895,0.0863566,3.18004,0.0330734,5.03325,0.0786978,2.90227,0.0601945,3.7755,
0.108729,2.99322,0.0578464,3.67741,0.0309313,4.55167,0.0703876,3.96073,0.0887617,3.41449,0.0536813,4.70044,0.0927728,3.26511,0.0350732,5.159,0.0844319,2.98241,0.0643035,3.87161,
0.116004,3.06625,0.0615586,3.7664,0.0326363,4.67292,0.0749019,4.05673,0.0949795,3.50503,0.0569208,4.80581,0.0992578,3.35213,0.0371035,5.27561,0.0901875,3.0563,0.0684091,3.95826,
0.123391,3.13783,0.0652926,3.8456,0.0343575,4.78227,0.0794617,4.15221,0.101195,3.58873,0.0601776,4.91036,0.105742,3.43086,0.0391036,5.39452,0.0959845,3.12335,0.0725255,4.04803,
0.131983,3.21567,0.0690197,3.92717,0.0361371,4.89268,0.0848231,4.26086,0.107435,3.6732,0.0635088,5.01612,0.112317,3.5086,0.0414531,5.52347,0.101787,3.1915,0.0767184,4.13213,
0.140558,3.29305,0.0734051,4.02194,0.0382148,5.00458,0.0901778,4.37172,0.114698,3.7673,0.0673542,5.13258,0.119926,3.59695,0.043749,5.65122,0.108612,3.2698,0.081525,4.22554,
0.149197,3.36796,0.0777794,4.1088,0.0402739,5.10935,0.0955755,4.47554,0.121874,3.85776,0.071205,5.24394,0.127445,3.67867,0.0461127,5.77146,0.11543,3.34276,0.0863754,4.32191,
0.157917,3.4385,0.082212,4.19534,0.0423392,5.21899,0.100921,4.57382,0.129238,3.94957,0.0750631,5.35459,0.135169,3.76123,0.0485363,5.89031,0.122326,3.41446,0.091296,4.40952,
0.166657,3.50974,0.0867027,4.27572,0.0443635,5.32082,0.106377,4.67257,0.136688,4.03695,0.0789849,5.46092,0.143005,3.84035,0.0509743,6.00063,0.129292,3.48251,0.0962071,4.49363,
0.176774,3.58929,0.0911376,4.35477,0.0464501,5.41911,0.112758,4.78369,0.144095,4.12374,0.0829115,5.56636,0.150793,3.91727,0.0537595,6.13125,0.136195,3.5489,0.101225,4.57931,
0.18698,3.66728,0.0957246,4.43598,0.048907,5.5266,0.119186,4.89849,0.152765,4.2229,0.0874453,5.68773,0.15988,4.0077,0.0565233,6.25517,0.143322,3.61656,0.106956,4.67341,
0.197328,3.74439,0.100965,4.52286,0.0513485,5.6362,0.125599,5.00451,0.161374,4.32119,0.0919988,5.80583,0.1689,4.09651,0.0592752,6.36995,0.151485,3.68934,0.112687,4.76714,
0.207709,3.82071,0.10619,4.61055,0.0538072,5.73974,0.132023,5.11179,0.170073,4.41572,0.0965799,5.91639,0.177997,4.18065,0.0620844,6.48848,0.159635,3.76327,0.118516,4.85624,
0.21801,3.89557,0.111487,4.69476,0.0562657,5.8351,0.13857,5.21878,0.178872,4.51123,0.10124,6.032,0.187223,4.26623,0.064936,6.59787,0.16787,3.83378,0.124315,4.94306,
0.228599,3.97096,0.116774,4.77427,0.0587341,5.93204,0.145103,5.32133,0.187689,4.60357,0.105909,6.14142,0.196444,4.34838,0.0677781,6.70629,0.176094,3.90118,0.130213,5.02971,
0.240664,4.05389,0.122157,4.85782,0.0612142,6.02515,0.152711,5.44644,0.196602,4.70571,0.110585,6.24988,0.205775,4.43279,0.0706486,6.81206,0.184495,3.97118,0.136163,5.11424,
0.252746,4.13864,0.12842,4.94885,0.0641071,6.13194,0.160323,5.58152,0.206959,4.81807,0.116003,6.37497,0.21664,4.5247,0.0739457,6.93369,0.194263,4.04741,0.142977,5.21098,
0.265084,4.22212,0.134583,5.03947,0.066974,6.23479,0.167951,5.70812,0.217247,4.9334,0.121356,6.49589,0.227402,4.61901,0.0772506,7.05494,0.203855,4.12374,0.149797,5.30649,
0.2773,4.30159,0.140815,5.12651,0.0699179,6.33242,0.175625,5.83208,0.227611,5.04358,0.126811,6.61423,0.23824,4.70834,0.0805599,7.17019,0.213544,4.19615,0.156709,5.40028,
0.289628,4.38147,0.146938,5.2138,0.07285,6.43219,0.183345,5.96616,0.238061,5.17076,0.132316,6.73074,0.249237,4.798,0.0839168,7.28416,0.223298,4.26916,0.163668,5.49175,
0.302104,4.4624,0.153141,5.29639,0.075804,6.52963,0.191165,6.13442,0.248525,5.32608,0.137835,6.84606,0.260234,4.8858,0.0873659,7.39645,0.233222,4.34071,0.170612,5.58158,
0.314554,4.53994,0.159403,5.37628,0.0787779,6.62406,0.199021,6.3284,0.258856,5.49468,0.143425,6.96007,0.27126,4.97409,0.0907648,7.50916,0.242993,4.40876,0.177711,5.67167,
0.329091,4.64228,0.165823,5.4593,0.0817777,6.71587,0.207942,6.54126,0.269331,5.66916,0.14982,7.08764,0.282538,5.0772,0.0941982,7.61927,0.252993,4.47905,0.185789,5.77028,
0.343178,4.78159,0.173178,5.55151,0.0851826,6.82005,0.216743,6.78362,0.281297,5.8561,0.156255,7.21618,0.295432,5.21788,0.0980731,7.73859,0.264455,4.55538,0.193877,5.87308,
0.357491,4.93002,0.180507,5.6463,0.0886422,6.92368,0.225554,7.02307,0.293245,6.07261,0.162666,7.34118,0.308014,5.38732,0.102036,7.86368,0.275931,4.63386,0.202037,5.97118,
0.371775,5.08583,0.187973,5.73853,0.0921025,7.02304,0.234475,7.26606,0.305351,6.28189,0.169195,7.47518,0.320704,5.55602,0.106082,7.97924,0.287507,4.70997,0.210247,6.06778,
0.386064,5.24698,0.195425,5.82885,0.0955918,7.12125,0.243448,7.50802,0.317405,6.49036,0.175727,7.66928,0.333393,5.73072,0.110153,8.09957,0.299102,4.78574,0.218489,6.16668,
0.400561,5.40918,0.202944,5.91844,0.0991741,7.2164,0.25249,7.74964,0.329574,6.69733,0.182296,7.89205,0.346094,5.9085,0.114278,8.2179,0.310851,4.85963,0.226847,6.25996,
0.415012,5.57448,0.210472,6.0093,0.102769,7.31246,0.261608,7.98985,0.341849,6.90182,0.188771,8.11994,0.359019,6.08787,0.118403,8.33343,0.322572,4.93483,0.235188,6.35433,
0.429617,5.73674,0.218103,6.09762,0.106393,7.40889,0.270776,8.22527,0.354098,7.10402,0.195266,8.3534,0.372023,6.27043,0.123183,8.46571,0.33441,5.00879,0.24359,6.45033,
0.446295,5.90815,0.225718,6.18492,0.110587,7.51797,0.281318,8.47005,0.366528,7.2999,0.201798,8.59187,0.384983,6.45099,0.127938,8.60224,0.346335,5.08197,0.251972,6.5428,
0.463108,6.09988,0.233409,6.27443,0.11479,7.63001,0.291912,8.74234,0.380677,7.50454,0.208336,8.83414,0.399913,6.63901,0.132716,8.73004,0.360041,5.163,0.260451,6.63695,
0.479909,6.28272,0.242326,6.37289,0.119026,7.73587,0.302467,8.99504,0.394904,7.73101,0.215896,9.09139,0.414804,6.85055,0.137541,8.8576,0.373788,5.24833,0.270208,6.75531,
0.496952,6.46126,0.251142,6.47476,0.123233,7.84081,0.313069,9.23628,0.409276,7.94284,0.223404,9.38191,0.429826,7.04754,0.142379,8.98232,0.387582,5.33143,0.279938,6.93333,
0.513906,6.63695,0.259965,6.57126,0.12748,7.9436,0.323736,9.47285,0.423748,8.15097,0.230949,9.65717,0.444943,7.24475,0.147249,9.10824,0.401488,5.41478,0.289524,7.12148,
0.531026,6.80921,0.268859,6.66787,0.131779,8.04869,0.334482,9.70408,0.438067,8.35234,0.238564,9.93402,0.460104,7.43671,0.152183,9.23396,0.41537,5.5156,0.299159,7.31669,
0.548242,6.97881,0.277791,6.76502,0.136065,8.14933,0.345263,9.9294,0.45264,8.5469,0.24632,10.2075,0.475326,7.62417,0.157099,9.35854,0.429273,5.65418,0.308921,7.51577,
0.565513,7.1455,0.286772,6.86937,0.140392,8.2511,0.356193,10.1498,0.467277,8.74026,0.253943,10.4773,0.490655,7.80894,0.162054,9.48721,0.443054,5.8008,0.31854,7.71755,
0.583027,7.31127,0.295798,7.02642,0.144644,8.34969,0.367018,10.3651,0.481873,8.92856,0.26169,10.7392,0.506015,7.98971,0.167035,9.65613,0.456796,5.94833,0.328356,7.92077,
0.600456,7.4736,0.304712,7.20458,0.148958,8.44795,0.377922,10.572,0.496707,9.11344,0.269444,10.9984,0.521483,8.16942,0.171994,9.85621,0.47067,6.09884,0.338158,8.12495,
0.617902,7.6313,0.313627,7.38823,0.153351,8.54591,0.388842,10.7759,0.511471,9.29438,0.277207,11.2525,0.537018,8.3446,0.177779,10.0898,0.484664,6.25206,0.347934,8.32862,
0.635494,7.78652,0.322515,7.57378,0.158396,8.65856,0.399814,10.9727,0.526277,9.47058,0.2851,11.5023,0.552569,8.51717,0.18351,10.3725,0.49853,6.40519,0.357926,8.53255,
0.655558,7.94671,0.331479,7.76392,0.163323,8.77085,0.410952,11.1668,0.541232,9.64392,0.292781,11.7501,0.568348,8.68666,0.189171,10.6469,0.512386,6.55899,0.367626,8.73588,
0.674786,8.14372,0.339947,7.98512,0.168334,8.87923,0.423192,11.3695,0.558214,9.82163,0.299935,12.0645,0.586082,8.86104,0.194764,10.9189,0.525203,6.74293,0.376641,9.01529,
0.692078,8.383,0.347748,8.25376,0.173317,8.98684,0.434296,11.7052,0.574426,10.0487,0.306629,12.3899,0.60303,9.07993,0.200341,11.1952,0.537273,6.94781,0.385656,9.24963,
0.710089,8.55541,0.355823,8.45885,0.178207,9.09838,0.445351,11.929,0.588988,10.3195,0.313411,12.6019,0.618371,9.34356,0.205525,11.6023,0.549936,7.10952,0.39432,9.47537,
0.727537,8.75299,0.363639,8.67539,0.182641,9.35905,0.456055,12.1638,0.603978,10.5129,0.320181,12.8689,0.634046,9.53638,0.21043,11.94,0.561931,7.28936,0.402829,9.69124,
0.744829,8.94497,0.37132,8.8922,0.187068,9.49816,0.466663,12.3843,0.618443,10.7298,0.326988,13.1381,0.64918,9.73779,0.215309,12.2214,0.573933,7.45668,0.411138,9.89319,
0.761516,9.12199,0.378945,9.09356,0.191455,9.65563,0.477429,12.6208,0.632682,10.9271,0.333637,13.3846,0.664446,9.9365,0.220322,12.53,0.58577,7.62314,0.419704,10.1027,
0.778495,9.30756,0.386742,9.31262,0.195768,9.80659,0.487857,12.8486,0.6468,11.1188,0.340382,13.6329,0.679654,10.1407,0.22529,12.8785,0.597581,7.7913,0.428196,10.3194,
0.795481,9.49153,0.39429,9.52174,0.200061,9.96337,0.498155,13.0543,0.661281,11.3236,0.347095,13.9009,0.694737,10.3434,0.23006,13.1725,0.609317,7.95504,0.436701,10.5443,
0.812326,9.68033,0.401884,9.72684,0.204361,10.1253,0.508772,13.2815,0.675769,11.5341,0.353595,14.1528,0.709723,10.5452,0.234928,13.4894,0.62104,8.11882,0.445002,10.7484,
0.828792,9.85989,0.409392,9.93094,0.20866,10.2767,0.519093,13.4914,0.689729,11.7273,0.360141,14.3919,0.724821,10.7498,0.239735,13.7963,0.632691,8.28144,0.453474,10.9655,
0.84497,10.0326,0.416916,10.1331,0.2129,10.4345,0.529647,13.7179,0.704016,11.9298,0.366655,14.6197,0.739512,10.9457,0.244463,14.0791,0.644336,8.44342,0.461727,11.1723,
0.861251,10.2032,0.424495,10.3359,0.217158,10.5906,0.539869,13.9321,0.717784,12.1237,0.373248,14.8591,0.754066,11.1353,0.249279,14.3928,0.656054,8.60082,0.469938,11.3653,
0.877915,10.383,0.431975,10.5288,0.221399,10.7432,0.550082,14.1424,0.731685,12.3177,0.379968,15.1044,0.768608,11.3257,0.253985,14.6777,0.667969,8.76984,0.478382,11.571,
0.894327,10.5602,0.439587,10.7329,0.225653,10.9011,0.560337,14.348,0.745445,12.5119,0.386674,15.3557,0.783095,11.5091,0.258833,14.9723,0.679633,8.93513,0.486886,11.787,
0.910723,10.7359,0.447097,10.9356,0.229891,11.0574,0.570858,14.5693,0.759323,12.7046,0.393229,15.5845,0.797971,11.7038,0.263646,15.2783,0.691162,9.09489,0.495241,11.9874,
0.926979,10.91,0.454593,11.1352,0.234123,11.2176,0.581128,14.7834,0.773144,12.9002,0.399793,15.8141,0.812523,11.8984,0.268506,15.5874,0.702806,9.2511,0.503718,12.1961,
0.9434,11.0873,0.462125,11.3246,0.238256,11.4044,0.591706,15.0052,0.786899,13.0966,0.40641,16.0534,0.827044,12.0816,0.273219,15.8741,0.714713,9.41315,0.511945,12.3956,
0.959711,11.2623,0.469739,11.5225,0.242452,11.6122,0.602224,15.2339,0.80083,13.2938,0.413033,16.2817,0.841897,12.279,0.278043,16.1622,0.726689,9.58136,0.520399,12.5909,
0.975972,11.4391,0.477397,11.7214,0.246576,11.8252,0.612399,15.4556,0.81478,13.4935,0.419689,16.5122,0.856309,12.4709,0.282782,16.4511,0.738474,9.74378,0.528891,12.7936,
0.992281,11.6151,0.485114,11.9243,0.250731,12.0446,0.622637,15.6724,0.828642,13.6964,0.426383,16.7407,0.870767,12.6609,0.28762,16.7334,0.75006,9.90339,0.537412,12.9952,
1.00842,11.7954,0.492614,12.1151,0.254954,12.2748,0.632788,15.8953,0.842477,13.8977,0.433045,16.9696,0.885277,12.8513,0.292392,17.0294,0.761649,10.0561,0.545828,13.1975,
1.02397,11.987,0.500261,12.3073,0.25915,12.5094,0.642652,16.1315,0.856162,14.1006,0.439617,17.1988,0.899533,13.0466,0.297138,17.3124,0.773534,10.2184,0.554163,13.398,
1.03903,12.1742,0.507642,12.52,0.263294,12.7557,0.652215,16.3719,0.869415,14.3194,0.445971,17.4541,0.913387,13.2549,0.301743,17.6252,0.784781,10.3812,0.562146,13.6233,
1.05408,12.3608,0.51465,12.7269,0.267237,13.0279,0.661633,16.607,0.882247,14.5338,0.452004,17.6976,0.926764,13.4608,0.306094,17.9324,0.795867,10.556,0.569752,13.8284,
1.06903,12.5507,0.521492,12.9223,0.271118,13.2859,0.671,16.8419,0.894959,14.7468,0.458014,17.9336,0.940115,13.6604,0.310382,18.199,0.806551,10.7221,0.577348,14.0223,
1.08395,12.7413,0.528381,13.1197,0.274965,13.5602,0.680365,17.0802,0.907684,14.9627,0.463991,18.1707,0.951858,13.8525,0.314733,18.5039,0.817228,10.8845,0.585083,14.2353,
1.09707,12.9231,0.5352,13.3099,0.278729,13.814,0.688619,17.3086,0.920263,15.1819,0.469932,18.3981,0.963476,14.0266,0.318978,18.7807,0.827925,11.0504,0.592547,14.4352,
1.11011,13.0872,0.542262,13.5078,0.282582,14.0827,0.69676,17.5145,0.931413,15.3866,0.475999,18.6542,0.975163,14.2093,0.323333,19.0707,0.838544,11.2154,0.600252,14.6408,
1.1232,13.2625,0.549254,13.7141,0.286306,14.3435,0.70499,17.7277,0.942516,15.5745,0.481963,18.8943,0.986888,14.3955,0.327166,19.3454,0.849057,11.3771,0.607934,14.8549,
1.13637,13.4361,0.556279,13.9258,0.289684,14.5848,0.713128,17.9512,0.953608,15.7731,0.488056,19.1378,0.998501,14.5842,0.330945,19.5899,0.859949,11.5532,0.615573,15.0713,
1.1495,13.6158,0.563036,14.1248,0.293013,14.8152,0.72131,18.1631,0.964805,15.9735,0.494015,19.3933,1.01019,14.7726,0.334719,19.8523,0.870521,11.7276,0.623271,15.29,
1.1625,13.7966,0.570009,14.3251,0.29638,15.052,0.729707,18.398,0.975813,16.1785,0.500014,19.6489,1.02165,14.9656,0.338527,20.1106,0.881121,11.8943,0.630737,15.501,
1.17546,13.9707,0.57696,14.5354,0.299703,15.2943,0.737892,18.6304,0.986838,16.3796,0.506092,19.9047,1.03326,15.1504,0.342321,20.376,0.891963,12.0696,0.638351,15.7192,
1.18902,14.1604,0.58394,14.7467,0.303,15.5379,0.745993,18.8555,0.997827,16.5858,0.512177,20.1652,1.04522,15.3527,0.346105,20.6428,0.902769,12.2518,0.645987,15.9397,
1.20213,14.3519,0.590851,14.9588,0.306348,15.7792,0.754139,19.0853,1.00884,16.7947,0.518227,20.43,1.05679,15.5466,0.349924,20.9082,0.913523,12.434,0.653569,16.1604,
1.21517,14.5348,0.597785,15.1706,0.309669,16.0213,0.762258,19.3171,1.0199,17.0033,0.524207,20.6937,1.06867,15.752,0.353718,21.1802,0.924381,12.614,0.660241,16.3652,
1.22814,14.7213,0.604742,15.3828,0.313013,16.2635,0.770453,19.5468,1.03102,17.2175,0.530235,20.9553,1.08031,15.95,0.357542,21.4455,0.93375,12.7864,0.666861,16.551,
1.2412,14.91,0.611661,15.5983,0.316337,16.5064,0.778831,19.7892,1.0421,17.4306,0.536228,21.2238,1.09217,16.156,0.361331,21.7194,0.943013,12.9406,0.673549,16.7473,
1.25424,15.0994,0.618638,15.8136,0.319681,16.7513,0.786997,20.0357,1.05318,17.6471,0.542287,21.4838,1.10376,16.3631,0.365122,21.9895,0.952357,13.0995,0.680278,16.948,
1.26736,15.293,0.625551,16.0303,0.322997,17.027,0.795283,20.2663,1.06415,17.8665,0.548284,21.757,1.1153,16.565,0.36893,22.2599,0.961784,13.2629,0.686958,17.1493,
1.28044,15.4883,0.63255,16.2471,0.326163,17.2295,0.803676,20.5218,1.07514,18.0758,0.554401,22.0264,1.12683,16.7631,0.372748,22.5325,0.971135,13.4281,0.693621,17.3478,
1.2935,15.6845,0.639466,16.4678,0.329482,17.4668,0.811823,20.7726,1.08669,18.3125,0.560516,22.3003,1.13889,16.9817,0.376542,22.8041,0.980516,13.5923,0.700341,17.5513,
1.30668,15.8832,0.64642,16.6832,0.332822,17.7108,0.820039,21.0094,1.09781,18.5464,0.566612,22.5736,1.15054,17.1966,0.38033,23.0833,0.989935,13.7584,0.707035,17.753,
1.32002,16.084,0.653405,16.903,0.336145,17.9814,0.828434,21.2718,1.10894,18.7731,0.572705,22.8486,1.16221,17.4067,0.384069,23.3546,0.999356,13.9241,0.713764,17.9553,
1.33327,16.288,0.660412,17.1209,0.339301,18.1866,0.836783,21.5275,1.1202,19.0057,0.578847,23.1221,1.17397,17.6139,0.387815,23.6114,1.00883,14.0921,0.7205,18.1568,
1.34654,16.4941,0.667487,17.3415,0.342665,18.42,0.845152,21.7852,1.13137,19.2422,0.584983,23.3994,1.18599,17.8419,0.391625,23.8797,1.01839,14.2605,0.727322,18.3593,
1.35994,16.6945,0.674569,17.5619,0.346056,18.6883,0.85349,22.047,1.14261,19.4778,0.591182,23.6778,1.19783,18.063,0.395481,24.1473,1.02803,14.4302,0.734124,18.5641,
1.37368,16.9134,0.68167,17.7806,0.349268,18.9203,0.861862,22.3059,1.1539,19.7155,0.597449,23.9566,1.20973,18.2842,0.399333,24.4229,1.03766,14.6,0.740954,18.768,
1.38733,17.1297,0.688775,18.0001,0.352439,19.1144,0.870178,22.5609,1.16527,19.9589,0.603742,24.2405,1.22164,18.5078,0.403245,24.6932,1.04732,14.7724,0.747843,18.9723,
1.40097,17.3469,0.695958,18.2213,0.35584,19.3422,0.8789,22.8381,1.17674,20.2026,0.610041,24.5241,1.23372,18.7349,0.407153,24.9668,1.05716,14.9429,0.754764,19.1767,
1.41457,17.5642,0.70318,18.442,0.359276,19.6088,0.887543,23.1155,1.18824,20.45,0.616391,24.8067,1.24581,18.9655,0.41108,25.2349,1.06693,15.1162,0.761682,19.3804,
1.42823,17.7818,0.710489,18.6617,0.362538,19.8051,0.896154,23.3865,1.19977,20.6989,0.622777,25.0952,1.25792,19.1977,0.415027,25.5073,1.07674,15.2884,0.768661,19.585,
1.44207,18.0023,0.717829,18.8851,0.365977,20.0313,0.904755,23.6593,1.21137,20.9483,0.629238,25.3873,1.27006,19.4294,0.419033,25.7764,1.08665,15.4608,0.775642,19.7916,
1.45593,18.2241,0.725255,19.105,0.369476,20.2646,0.913382,23.9314,1.22294,21.2012,0.63574,25.6777,1.28231,19.6642,0.423043,26.05,1.09663,15.6354,0.782665,19.9985,
1.46989,18.4473,0.732724,19.3303,0.372992,20.4936,0.9221,24.2044,1.23467,21.4525,0.642222,25.974,1.29461,19.9022,0.427064,26.3189,1.10667,15.8108,0.789715,20.2048,
