File = D:\Moldex3D\02. AI\Only CAE Surrogate\Report\XYPlot\G17_P01-10_SPRUE PRESSURE.csv

Title,Packing-Sprue Pressure
,,,,,,,,,,,,,,,,,,,,
Time (sec),Run 1 : G17_P01 (MPa),Time (sec),Run 2 : G17_P02 (MPa),Time (sec),Run 3 : G17_P03 (MPa),Time (sec),Run 4 : G17_P04 (MPa),Time (sec),Run 5 : G17_P05 (MPa),Time (sec),Run 6 : G17_P06 (MPa),Time (sec),Run 7 : G17_P07 (MPa),Time (sec),Run 8 : G17_P08 (MPa),Time (sec),Run 9 : G17_P09 (MPa),Time (sec),Run 10 : G17_P10 (MPa),
0.00216808,0.000161578,0.00107175,7.75024e-06,0.000551237,5.76266e-05,0.00135878,0.00064244,0.0018398,0.00145752,0.000933942,0.000191624,0.00192845,0.00136454,0.000629358,0.00101888,0.00166688,0.000141892,0.00117972,0.00164253,
0.00606969,0.0063331,0.00319175,0.00751808,0.00171333,0.00868326,0.00397685,0.00800535,0.0049547,0.000110105,0.00282804,0.00878172,0.00517084,5.45987e-05,0.00194549,0.00968612,0.00478867,0.0065254,0.0032874,5.14613e-05,
0.00937384,0.0661507,0.00522862,0.0296414,0.00292452,0.0130246,0.00639736,0.00567535,0.00797626,0.0463652,0.00466782,0.0199186,0.00828764,0.0771495,0.00329615,0.0147118,0.00757089,0.0440407,0.00549634,0.0314325,
0.0124351,1.07585,0.0071695,0.366981,0.00403483,0.000457588,0.00861689,0.383011,0.0107907,0.629971,0.00639593,0.251676,0.0112556,0.753693,0.00450467,0.162229,0.0101346,0.458321,0.00765882,0.378109,
0.0153119,1.32656,0.00884787,0.990066,0.0051387,0.59491,0.0104139,1.07369,0.013088,1.21793,0.00789551,1.14455,0.0137937,1.36701,0.00579022,0.930401,0.0119999,1.00369,0.00941044,1.05559,
0.0169712,1.36631,0.0102756,1.79183,0.00623412,1.4258,0.0118924,2.00474,0.014922,1.71307,0.00916914,1.96926,0.0159134,1.55576,0.00685624,1.60015,0.0137846,1.49845,0.0109919,1.96463,
0.0184532,1.33213,0.011033,1.63045,0.00717557,2.44465,0.0126138,1.75985,0.0159687,1.55294,0.0101793,2.07022,0.0174936,1.50704,0.00771895,2.743,0.0145505,1.31249,0.0115965,1.68757,
0.0199346,1.30446,0.0117758,1.56458,0.0075265,2.0002,0.0134078,1.68297,0.0170384,1.49608,0.0109441,2.02206,0.0190335,1.46284,0.00813294,2.26416,0.015339,1.27028,0.0122627,1.6012,
0.0213252,1.31304,0.0125333,1.54935,0.00788814,1.89114,0.0142083,1.67969,0.018099,1.50061,0.0117138,1.95037,0.0204982,1.49407,0.00855768,2.14636,0.0161454,1.26427,0.0129369,1.60494,
0.0227528,1.33609,0.0132514,1.53195,0.0082539,1.8824,0.014984,1.68778,0.0192767,1.52895,0.0124352,1.96982,0.0220317,1.51225,0.00898609,2.13021,0.0170774,1.26057,0.0137111,1.62331,
0.0244808,1.36749,0.0140496,1.58814,0.00867272,1.898,0.0158559,1.71122,0.0206368,1.55537,0.01316,2.01729,0.0238103,1.55592,0.00947389,2.14733,0.0181105,1.3059,0.0144449,1.64268,
0.026496,1.39109,0.0149781,1.63419,0.00914121,1.93284,0.0168575,1.75129,0.0222378,1.60194,0.0140278,2.05695,0.0259269,1.58449,0.0100208,2.18572,0.0193137,1.33168,0.0153111,1.67253,
0.0288252,1.43749,0.0160771,1.6924,0.00968037,2.01002,0.0180452,1.80853,0.0241407,1.65084,0.0150471,2.07788,0.0284053,1.64627,0.0106721,2.28103,0.0207316,1.37211,0.0163218,1.72822,
