File = D:\Moldex3D\02. AI\Surrogate model - 2\Report\XYPlot\Packing-Sprue Pressure.csv

Title,Packing-Sprue Pressure
,,
Time (sec),Run 32 : V03FAM_G03_P02 (MPa),
0.000741543,0.00164601,
0.00205835,0.000294805,
0.00353283,0.00971404,
0.00490768,0.00314282,
0.00626361,0.440136,
0.0076449,1.11901,
0.00882471,2.01713,
0.00932206,1.68935,
0.009837,1.63299,
0.0103787,1.64505,
0.0109479,1.64685,
0.0115175,1.64842,
0.0121586,1.66477,
0.0128467,1.69699,
0.0136121,1.76929,
0.0145523,1.82483,
0.0155225,1.88226,
0.0165058,1.91882,
0.0174997,1.94909,
0.018676,1.98956,
0.0198487,2.03233,
0.0210339,2.06131,
0.0224348,2.10281,
0.0238342,2.13593,
0.0252386,2.16653,
0.0268911,2.20755,
0.0285474,2.23884,
0.0302076,2.23449,
0.0321104,2.30478,
0.03404,2.30492,
0.0359446,2.33776,
0.0378497,2.36691,
0.0397572,2.39358,
0.0419947,2.42224,
0.0442339,2.45037,
0.0464823,2.47565,
0.0487433,2.49923,
0.0510228,2.521,
0.053684,2.54608,
0.0563334,2.57191,
0.0589974,2.6018,
0.0617374,2.61317,
0.0644612,2.63537,
0.0671889,2.65718,
0.0703714,2.68164,
0.0735453,2.7061,
0.0767366,2.72852,
0.0799441,2.75007,
0.0831636,2.77031,
0.0863941,2.78986,
0.0896425,2.80904,
0.0934614,2.8317,
0.0972566,2.85353,
0.101061,2.87501,
0.104889,2.89966,
0.108839,2.91272,
0.112745,2.93304,
0.116626,2.95289,
0.120501,2.97227,
0.125031,2.99482,
0.129564,3.02127,
0.134227,3.03815,
0.138942,3.05346,
0.143494,3.07925,
0.148223,3.09441,
0.15279,3.11737,
0.157537,3.13167,
0.162978,3.15438,
0.168377,3.17717,
0.173764,3.19919,
0.179143,3.22205,
0.184679,3.23586,
0.190108,3.25626,
0.195523,3.27585,
0.200951,3.29478,
0.206394,3.31308,
0.211797,3.33093,
0.217061,3.35819,
0.222398,3.38306,
0.227779,3.41089,
0.232958,3.42978,
0.238345,3.44938,
0.243789,3.47289,
0.249013,3.49127,
0.254385,3.50945,
0.259705,3.53026,
0.265047,3.54996,
0.270407,3.56989,
0.275762,3.58895,
0.281121,3.60754,
0.286515,3.62574,
0.291923,3.64363,
0.29734,3.66092,
0.30274,3.67833,
0.307921,3.69713,
0.312719,3.75328,
0.318243,3.87431,
0.323784,3.89733,
0.329331,3.92739,
0.334893,3.96155,
0.340404,3.99908,
0.34587,4.0365,
0.351312,4.07226,
0.356731,4.10821,
0.362119,4.14699,
0.367495,4.1865,
0.372855,4.22509,
0.378195,4.26456,
0.383518,4.30497,
0.388837,4.34432,
0.394146,4.38421,
0.399445,4.42335,
0.404727,4.4657,
0.410036,4.50471,
0.415304,4.54715,
0.420637,4.58752,
0.425955,4.62654,
0.431282,4.66478,
0.436588,4.70464,
0.441931,4.74459,
0.447298,4.78249,
0.452692,4.82038,
0.458108,4.85783,
0.463571,4.89411,
0.469031,4.93094,
0.474537,4.96717,
0.480075,5.00296,
0.485638,5.03838,
0.491238,5.0733,
0.496864,5.10831,
0.502525,5.1432,
0.508247,5.17778,
0.514008,5.21149,
0.519786,5.23841,
0.525407,5.28319,
0.531249,5.31334,
0.537148,5.34492,
0.543077,5.37226,
0.548828,5.41341,
0.554842,5.44234,
0.560895,5.46876,
0.566759,5.50837,
0.572812,5.53309,
0.578721,5.57035,
0.584817,5.59495,
0.59076,5.63041,
0.596869,5.65779,
0.602973,5.68709,
0.609033,5.72033,
0.615015,5.77212,
0.62093,5.80056,
0.626914,5.83422,
0.632937,5.86836,
0.638974,5.90275,
0.645005,5.93813,
0.651021,5.97333,
0.65704,6.00923,
0.66305,6.04581,
0.669066,6.0796,
0.674891,6.11674,
0.680982,6.15338,
0.687004,6.18428,
0.693117,6.22189,
0.698948,6.26065,
0.70504,6.29912,
0.711067,6.33118,
0.717162,6.36738,
0.723236,6.41011,
0.729296,6.46095,
0.735234,6.50924,
0.740953,6.5559,
0.746915,6.6028,
0.75277,6.65187,
0.758396,6.70304,
0.763475,6.74818,
0.76436,6.76421,
0.769648,8.9235,
0.774231,10.6962,
0.777801,12.0134,
0.777801,12.0134,
0.78347,14.031,
0.78948,16.0485,
0.79567,18.0016,
0.802046,19.8888,
0.808614,21.7087,
0.815378,23.46,
0.822345,25.1419,
0.829521,26.7535,
0.836913,28.2944,
0.844526,29.7642,
0.852368,31.1628,
0.860444,32.4904,
0.868764,33.7474,
0.877332,34.9344,
0.886158,36.0522,
0.895249,37.102,
0.904612,38.085,
0.914256,39.0026,
0.92419,39.8566,
0.934421,40.6489,
0.94496,41.3814,
0.955814,42.0564,
0.966995,42.6762,
0.97851,43.2432,
0.990372,43.76,
1.00259,44.2291,
1.01517,44.6533,
1.02813,45.0352,
1.04148,45.3776,
1.05523,45.6832,
1.0694,45.9547,
1.08398,46.1947,
1.09901,46.4058,
1.11449,46.5907,
1.13043,46.7515,
1.14684,46.8909,
1.16376,47.0108,
1.1832,47.1254,
1.20557,47.2315,
1.23129,47.3263,
1.26087,47.4072,
1.29488,47.4728,
1.334,47.5226,
1.37898,47.5574,
1.43071,47.5794,
1.48762,47.5911,
1.55021,47.5967,
1.61907,47.599,
1.69481,47.5997,
1.77812,47.6,
1.86977,47.6,
1.97058,47.6,
2.08147,47.6,
2.20345,47.6,
2.33763,47.6,
2.48523,47.6,
2.64758,47.6,
2.82617,47.6,
3.02262,47.6,
3.23872,47.6,
3.45698,47.6,
3.67742,47.6,
3.90006,47.6,
4.12493,47.6,
4.35205,47.6,
4.58144,47.6,
4.60436,47.6,
4.62537,37.6,
4.64953,28.516,
4.67731,20.5932,
4.70926,14.0134,
4.74601,8.86436,
4.78826,5.11869,
4.83686,2.63133,
4.89274,1.16087,
4.95421,0.447271,
5.02183,0.144835,
5.09621,0.0371067,
5.17803,0.00674675,
5.40971,1e-06,
5.64371,1e-06,
5.88005,1e-06,
6.11876,1e-06,
6.35985,1e-06,
6.60335,1e-06,
6.84929,1e-06,
7.09768,1e-06,
7.34857,1e-06,
7.60196,1e-06,
7.85788,1e-06,
8.11636,1e-06,
8.37743,1e-06,
8.64111,1e-06,
8.90742,1e-06,
9.1764,1e-06,
9.44807,1e-06,
9.72245,1e-06,
9.99958,1e-06,
10.2795,1e-06,
10.5622,1e-06,
10.8477,1e-06,
11.1361,1e-06,
11.4274,1e-06,
11.7215,1e-06,
12.0187,1e-06,
12.3187,1e-06,
12.6218,1e-06,
12.9279,1e-06,
13.2371,1e-06,
13.5494,1e-06,
13.8648,1e-06,
14.1834,1e-06,
14.5051,1e-06,
14.8301,1e-06,
15.1583,1e-06,
15.4897,1e-06,
15.8245,1e-06,
16.1627,1e-06,
16.5042,1e-06,
16.8492,1e-06,
17.1976,1e-06,
17.5494,1e-06,
17.9049,1e-06,
18.2638,1e-06,
18.6263,1e-06,
18.9925,1e-06,
19.3623,1e-06,
19.7359,1e-06,
20.1131,1e-06,
20.4942,1e-06,
20.879,1e-06,
21.2677,1e-06,
21.6603,1e-06,
22.0568,1e-06,
22.4573,1e-06,
22.8617,1e-06,
23.2703,1e-06,
23.6829,1e-06,
23.8044,1e-06,
23.938,1e-06,
