File= Filling_Pressure.csv
Min = 0.000e+00
Max = 1.217e+01
Avg = 4.552e+00
SD = 2.135e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,1.217e+00,6.085e-01,172640,3.756e+00
2,1.217e+00,2.434e+00,1.826e+00,639418,1.603e+01
3,2.434e+00,3.651e+00,3.043e+00,814937,2.066e+01
4,3.651e+00,4.868e+00,4.260e+00,526682,1.324e+01
5,4.868e+00,6.085e+00,5.477e+00,602916,1.518e+01
6,6.085e+00,7.302e+00,6.694e+00,877209,2.199e+01
7,7.302e+00,8.519e+00,7.911e+00,290702,7.322e+00
8,8.519e+00,9.736e+00,9.128e+00,89572,1.466e+00
9,9.736e+00,1.095e+01,1.034e+01,3216,1.687e-01
10,1.095e+01,1.217e+01,1.156e+01,2880,1.795e-01
