filename,test_id,theta1,theta2,pt,case
force_disp_Test_001.csv,Test_001,65.0,19.0,5249.885931590668,Case3
force_disp_Test_002.csv,Test_002,40.0,-51.0,7021.8386147931415,Case3
force_disp_Test_003.csv,Test_003,-44.0,65.0,6337.011177400955,Case3
force_disp_Test_004.csv,Test_004,49.0,48.0,7678.519114548306,Case3
force_disp_Test_005.csv,Test_005,-52.0,20.0,5862.340206577789,Case3
force_disp_Test_006.csv,Test_006,-15.0,-74.0,4657.426772073546,Case3
force_disp_Test_007.csv,Test_007,51.0,-83.0,5358.561529995737,Case3
force_disp_Test_008.csv,Test_008,86.0,9.0,3983.205115277853,Case3
force_disp_Test_009.csv,Test_009,-63.0,21.0,5483.825365886914,Case3
force_disp_Test_010.csv,Test_010,-74.0,83.0,3176.3702391040138,Case3
force_disp_Test_011.csv,Test_011,-39.0,-9.0,5553.11723712837,Case3
force_disp_Test_012.csv,Test_012,-56.0,9.0,5279.982570696419,Case3
force_disp_Test_013.csv,Test_013,61.0,33.0,6095.091333950158,Case3
force_disp_Test_014.csv,Test_014,19.0,79.0,4626.262337022605,Case3
force_disp_Test_015.csv,Test_015,35.0,60.0,6236.716872559574,Case3
force_disp_Test_016.csv,Test_016,75.0,-61.0,5549.9100503634645,Case3
force_disp_Test_017.csv,Test_017,-30.0,66.0,5772.640630477044,Case3
force_disp_Test_018.csv,Test_018,-53.0,31.0,6397.461983353669,Case3
force_disp_Test_019.csv,Test_019,-79.0,29.0,5027.526667669692,Case3
force_disp_Test_020.csv,Test_020,-2.0,48.0,5540.376296649255,Case3
force_disp_Test_021.csv,Test_021,-49.0,-67.0,6311.469582236376,Case3
force_disp_Test_022.csv,Test_022,43.0,-33.0,6874.43643120363,Case3
force_disp_Test_023.csv,Test_023,62.0,-67.0,5740.128486120003,Case3
force_disp_Test_024.csv,Test_024,30.0,75.0,5191.835791314596,Case3
force_disp_Test_025.csv,Test_025,80.0,-80.0,2887.943609067684,Case3
force_disp_Test_026.csv,Test_026,-81.0,73.0,3332.922459357667,Case3
force_disp_Test_027.csv,Test_027,54.0,-38.0,6729.771320782916,Case3
force_disp_Test_028.csv,Test_028,36.0,-31.0,6907.795287186744,Case3
force_disp_Test_029.csv,Test_029,52.0,-41.0,7031.28408118499,Case3
force_disp_Test_030.csv,Test_030,15.0,-12.0,5420.938910714249,Case3
force_disp_Test_031.csv,Test_031,-55.0,-62.0,6883.1918046711235,Case3
force_disp_Test_032.csv,Test_032,-19.0,-7.0,5371.942930876189,Case3
force_disp_Test_033.csv,Test_033,-61.0,86.0,4858.970079266146,Case3
