filename,test_id,theta1,theta2,pt,case
force_disp_Test_001.csv,Test_001,65.0,19.0,7525.576895339104,Case2
force_disp_Test_002.csv,Test_002,40.0,-51.0,9876.031555208407,Case2
force_disp_Test_003.csv,Test_003,-44.0,65.0,9433.471421825043,Case2
force_disp_Test_004.csv,Test_004,49.0,48.0,10415.69076322906,Case2
force_disp_Test_005.csv,Test_005,-52.0,20.0,7818.281589636075,Case2
force_disp_Test_006.csv,Test_006,-15.0,-74.0,6875.589254158728,Case2
force_disp_Test_007.csv,Test_007,51.0,-83.0,8457.827117712022,Case2
force_disp_Test_008.csv,Test_008,86.0,9.0,6280.1689619866,Case2
force_disp_Test_009.csv,Test_009,-63.0,21.0,7785.499442875138,Case2
force_disp_Test_010.csv,Test_010,-74.0,83.0,4290.894577549593,Case2
force_disp_Test_011.csv,Test_011,-39.0,-9.0,6612.7033842657875,Case2
force_disp_Test_012.csv,Test_012,-56.0,9.0,7210.409607503131,Case2
force_disp_Test_013.csv,Test_013,61.0,33.0,8742.41771984591,Case2
force_disp_Test_014.csv,Test_014,19.0,79.0,6961.530813854964,Case2
force_disp_Test_015.csv,Test_015,35.0,60.0,8997.773506824675,Case2
force_disp_Test_016.csv,Test_016,75.0,-61.0,6870.257234788168,Case2
force_disp_Test_017.csv,Test_017,-30.0,66.0,8420.170838117543,Case2
force_disp_Test_018.csv,Test_018,-53.0,31.0,8869.432595235507,Case2
force_disp_Test_019.csv,Test_019,-79.0,29.0,7800.238583489085,Case2
force_disp_Test_020.csv,Test_020,-2.0,48.0,6919.351101139208,Case2
force_disp_Test_021.csv,Test_021,-49.0,-67.0,9504.399940379026,Case2
force_disp_Test_022.csv,Test_022,43.0,-33.0,9079.185262723697,Case2
force_disp_Test_023.csv,Test_023,62.0,-67.0,7299.010682036607,Case2
force_disp_Test_024.csv,Test_024,30.0,75.0,7938.613961782274,Case2
force_disp_Test_025.csv,Test_025,80.0,-80.0,3995.8827721375274,Case2
force_disp_Test_026.csv,Test_026,-81.0,73.0,4541.779297238318,Case2
force_disp_Test_027.csv,Test_027,54.0,-38.0,9521.795891327254,Case2
force_disp_Test_028.csv,Test_028,36.0,-31.0,8691.726691902553,Case2
force_disp_Test_029.csv,Test_029,52.0,-41.0,9948.557492059788,Case2
force_disp_Test_030.csv,Test_030,15.0,-12.0,5251.288295759243,Case2
force_disp_Test_031.csv,Test_031,-55.0,-62.0,8759.641011152311,Case2
force_disp_Test_032.csv,Test_032,-19.0,-7.0,5185.574417957559,Case2
force_disp_Test_033.csv,Test_033,-61.0,86.0,5969.546683186627,Case2
force_disp_Test_034.csv,Test_034,-43.0,-15.0,7189.9768616189285,Case2
force_disp_Test_035.csv,Test_035,70.0,81.0,4882.522053844512,Case2
force_disp_Test_036.csv,Test_036,8.0,25.0,5723.711589671404,Case2
force_disp_Test_037.csv,Test_037,-85.0,67.0,5061.708373461187,Case2
force_disp_Test_038.csv,Test_038,-56.0,52.0,9709.61305981702,Case2
force_disp_Test_039.csv,Test_039,64.0,42.0,9277.786042753532,Case2
force_disp_Test_040.csv,Test_040,-27.0,-54.0,8417.530425781799,Case2
force_disp_Test_041.csv,Test_041,-2.0,-68.0,6702.931568651364,Case2
force_disp_Test_042.csv,Test_042,84.0,51.0,8354.811920924474,Case2
force_disp_Test_043.csv,Test_043,79.0,-71.0,4939.295628493121,Case2
force_disp_Test_044.csv,Test_044,59.0,-56.0,8818.441250429847,Case2
force_disp_Test_045.csv,Test_045,-18.0,-35.0,7093.734274609654,Case2
force_disp_Test_046.csv,Test_046,-76.0,-77.0,4637.114811034692,Case2
force_disp_Test_047.csv,Test_047,42.0,27.0,8278.167950223326,Case2
force_disp_Test_048.csv,Test_048,1.0,71.0,6563.966897470223,Case2
force_disp_Test_049.csv,Test_049,-37.0,22.0,7640.59598138308,Case2
force_disp_Test_050.csv,Test_050,-16.0,44.0,7424.497940941248,Case2
force_disp_Test_051.csv,Test_051,28.0,57.0,8471.924162234927,Case2
force_disp_Test_052.csv,Test_052,-79.0,34.0,8089.623952166233,Case2
force_disp_Test_053.csv,Test_053,3.0,87.0,6098.058186982147,Case2
force_disp_Test_054.csv,Test_054,-17.0,-44.0,7421.836051918207,Case2
force_disp_Test_055.csv,Test_055,44.0,-49.0,10521.145497330383,Case2
force_disp_Test_056.csv,Test_056,67.0,-19.0,7457.372539385561,Case2
force_disp_Test_057.csv,Test_057,2.0,74.0,6405.916171308049,Case2
force_disp_Test_058.csv,Test_058,82.0,19.0,6865.43639489073,Case2
force_disp_Test_059.csv,Test_059,14.0,3.0,4717.642775501623,Case2
force_disp_Test_060.csv,Test_060,44.0,-84.0,8476.139210330086,Case2
force_disp_Test_061.csv,Test_061,0.0,-52.0,6982.430546621292,Case2
force_disp_Test_062.csv,Test_062,33.0,26.0,7825.111980807199,Case2
force_disp_Test_063.csv,Test_063,-75.0,38.0,8563.390357104494,Case2
force_disp_Test_064.csv,Test_064,-20.0,55.0,7901.54588920378,Case2
force_disp_Test_065.csv,Test_065,72.0,31.0,8147.862665178651,Case2
force_disp_Test_066.csv,Test_066,75.0,72.0,5336.381554559695,Case2
force_disp_Test_067.csv,Test_067,-83.0,68.0,5019.2438185102765,Case2
force_disp_Test_068.csv,Test_068,-26.0,-1.0,5676.006513480624,Case2
force_disp_Test_069.csv,Test_069,-36.0,57.0,9222.005104701053,Case2
force_disp_Test_070.csv,Test_070,-89.0,-51.0,8218.407374803135,Case2
force_disp_Test_071.csv,Test_071,-45.0,-29.0,8526.26837285035,Case2
force_disp_Test_072.csv,Test_072,-29.0,13.0,6424.3572839207045,Case2
force_disp_Test_073.csv,Test_073,-22.0,46.0,7883.061316988637,Case2
force_disp_Test_074.csv,Test_074,-1.0,-8.0,4451.753183748477,Case2
force_disp_Test_075.csv,Test_075,-22.0,82.0,7140.0069826958015,Case2
force_disp_Test_076.csv,Test_076,50.0,5.0,6882.051461065925,Case2
force_disp_Test_077.csv,Test_077,-64.0,20.0,7734.016319599558,Case2
force_disp_Test_078.csv,Test_078,29.0,-79.0,7801.410685951278,Case2
force_disp_Test_079.csv,Test_079,-67.0,39.0,9031.897191912816,Case2
force_disp_Test_080.csv,Test_080,-53.0,-64.0,10022.690442720746,Case2
force_disp_Test_081.csv,Test_081,-38.0,-72.0,8623.329098569639,Case2
force_disp_Test_082.csv,Test_082,85.0,48.0,8541.133070617376,Case2
force_disp_Test_083.csv,Test_083,-12.0,85.0,6469.676495298109,Case2
force_disp_Test_084.csv,Test_084,77.0,-48.0,8873.14242246668,Case2
force_disp_Test_085.csv,Test_085,45.0,75.0,8820.673524178555,Case2
force_disp_Test_086.csv,Test_086,-41.0,-54.0,9783.43413189393,Case2
force_disp_Test_087.csv,Test_087,-38.0,89.0,8148.1670531146465,Case2
force_disp_Test_088.csv,Test_088,23.0,33.0,7460.41728258192,Case2
force_disp_Test_089.csv,Test_089,18.0,-35.0,7102.865823575253,Case2
force_disp_Test_090.csv,Test_090,-65.0,24.0,7973.467306102667,Case2
force_disp_Test_091.csv,Test_091,11.0,36.0,6623.763100136949,Case2
force_disp_Test_092.csv,Test_092,-38.0,-40.0,9705.169197923227,Case2
force_disp_Test_093.csv,Test_093,-70.0,-78.0,5141.092540072209,Case2
force_disp_Test_094.csv,Test_094,73.0,-55.0,8484.175148496359,Case2
force_disp_Test_095.csv,Test_095,68.0,-30.0,8254.737719482788,Case2
force_disp_Test_096.csv,Test_096,84.0,-52.0,8136.571470146959,Case2
force_disp_Test_097.csv,Test_097,-46.0,-23.0,7986.643707302327,Case2
force_disp_Test_098.csv,Test_098,-1.0,36.0,6404.958483913311,Case2
force_disp_Test_099.csv,Test_099,90.0,40.0,8215.773863954897,Case2
force_disp_Test_100.csv,Test_100,69.0,62.0,7081.632605192604,Case2
force_disp_Test_101.csv,Test_101,48.0,15.0,7429.178405854709,Case2
force_disp_Test_102.csv,Test_102,76.0,-24.0,7455.125014670916,Case2
force_disp_Test_103.csv,Test_103,66.0,14.0,7189.015073169982,Case2
force_disp_Test_104.csv,Test_104,83.0,3.0,6095.790171109128,Case2
force_disp_Test_105.csv,Test_105,89.0,-77.0,3788.5020060740267,Case2
force_disp_Test_106.csv,Test_106,-12.0,43.0,7102.674060997715,Case2
force_disp_Test_107.csv,Test_107,69.0,8.0,6726.984665137455,Case2
