filename,test_id,theta1,theta2,pt,case
force_disp_Test_082.csv,Test_082,85.0,48.0,8578.513992319487,Case3
force_disp_Test_083.csv,Test_083,-12.0,85.0,6463.958490693491,Case3
force_disp_Test_084.csv,Test_084,77.0,-48.0,8906.27660502941,Case3
force_disp_Test_085.csv,Test_085,45.0,75.0,8900.982015934325,Case3
force_disp_Test_086.csv,Test_086,-41.0,-54.0,9852.83434575456,Case3
force_disp_Test_087.csv,Test_087,-38.0,89.0,8149.316952421689,Case3
force_disp_Test_088.csv,Test_088,23.0,33.0,7564.757786761533,Case3
force_disp_Test_089.csv,Test_089,18.0,-35.0,7100.982621180198,Case3
force_disp_Test_090.csv,Test_090,-65.0,24.0,7982.342931067636,Case3
force_disp_Test_091.csv,Test_091,11.0,36.0,6627.652973903583,Case3
force_disp_Test_092.csv,Test_092,-38.0,-40.0,9785.012728640324,Case3
force_disp_Test_093.csv,Test_093,-70.0,-78.0,5159.2463290288115,Case3
force_disp_Test_094.csv,Test_094,73.0,-55.0,8508.131886261093,Case3
force_disp_Test_095.csv,Test_095,68.0,-30.0,8333.378532982306,Case3
force_disp_Test_096.csv,Test_096,84.0,-52.0,8166.172607527085,Case3
force_disp_Test_097.csv,Test_097,-46.0,-23.0,7992.970352737475,Case3
force_disp_Test_098.csv,Test_098,-1.0,36.0,6410.375303854675,Case3
force_disp_Test_099.csv,Test_099,90.0,40.0,8274.295847250927,Case3
force_disp_Test_100.csv,Test_100,69.0,62.0,7118.9463313999,Case3
force_disp_Test_101.csv,Test_101,48.0,15.0,7432.226229484006,Case3
force_disp_Test_102.csv,Test_102,76.0,-24.0,7564.618010245786,Case3
force_disp_Test_103.csv,Test_103,66.0,14.0,7184.262851352114,Case3
force_disp_Test_104.csv,Test_104,83.0,3.0,6092.318340201479,Case3
force_disp_Test_105.csv,Test_105,89.0,-77.0,3805.380473736686,Case3
force_disp_Test_106.csv,Test_106,-12.0,43.0,7094.357934988239,Case3
force_disp_Test_107.csv,Test_107,69.0,8.0,6730.974926442521,Case3
force_disp_Test_108.csv,Test_108,46.0,-72.0,9122.564574484604,Case3
force_disp_Test_109.csv,Test_109,-69.0,17.0,7271.130594758279,Case3
force_disp_Test_110.csv,Test_110,-51.0,1.0,6995.620333105884,Case3
force_disp_Test_111.csv,Test_111,7.0,87.0,6249.152885527738,Case3
force_disp_Test_112.csv,Test_112,21.0,-8.0,5371.162629558365,Case3
force_disp_Test_113.csv,Test_113,35.0,-2.0,6318.030640230154,Case3
force_disp_Test_114.csv,Test_114,-35.0,-78.0,8222.349213646074,Case3
force_disp_Test_115.csv,Test_115,22.0,74.0,7445.467270484865,Case3
force_disp_Test_116.csv,Test_116,12.0,-85.0,6465.063323678779,Case3
force_disp_Test_117.csv,Test_117,-87.0,33.0,7847.524023385839,Case3
force_disp_Test_118.csv,Test_118,54.0,-88.0,7423.67117461338,Case3
force_disp_Test_119.csv,Test_119,31.0,-10.0,6210.350260559193,Case3
force_disp_Test_120.csv,Test_120,-58.0,-26.0,8283.694255242888,Case3
force_disp_Test_121.csv,Test_121,-50.0,14.0,7345.364184301592,Case3
force_disp_Test_122.csv,Test_122,20.0,-73.0,7393.279409982616,Case3
force_disp_Test_123.csv,Test_123,76.0,4.0,6354.458186437243,Case3
force_disp_Test_124.csv,Test_124,42.0,-66.0,9281.094673504855,Case3
force_disp_Test_125.csv,Test_125,-3.0,72.0,6524.992565918011,Case3
force_disp_Test_126.csv,Test_126,-8.0,18.0,5232.978617811867,Case3
force_disp_Test_127.csv,Test_127,-66.0,77.0,5823.02316160585,Case3
force_disp_Test_128.csv,Test_128,59.0,-70.0,7556.256506674854,Case3
force_disp_Test_129.csv,Test_129,24.0,11.0,5787.35396635674,Case3
force_disp_Test_130.csv,Test_130,-59.0,12.0,7265.771721117012,Case3
force_disp_Test_131.csv,Test_131,41.0,53.0,9893.351128859907,Case3
force_disp_Test_132.csv,Test_132,38.0,35.0,9260.239153875234,Case3
force_disp_Test_133.csv,Test_133,-21.0,37.0,7573.1538247700055,Case3
force_disp_Test_134.csv,Test_134,-56.0,37.0,9358.531050478816,Case3
force_disp_Test_135.csv,Test_135,39.0,-76.0,8590.93301384347,Case3
force_disp_Test_136.csv,Test_136,8.0,-68.0,6874.274104496997,Case3
force_disp_Test_137.csv,Test_137,68.0,53.0,9757.606540082235,Case3
force_disp_Test_138.csv,Test_138,-28.0,-75.0,7885.83162693426,Case3
force_disp_Test_139.csv,Test_139,-52.0,-36.0,9395.251857996369,Case3
force_disp_Test_140.csv,Test_140,1.0,-3.0,11666.361419880124,Case3
force_disp_Test_141.csv,Test_141,79.0,49.0,8807.6106030903,Case3
force_disp_Test_142.csv,Test_142,56.0,10.0,7242.904118561144,Case3
force_disp_Test_143.csv,Test_143,39.0,-35.0,9348.97346229211,Case3
force_disp_Test_144.csv,Test_144,-86.0,-39.0,8245.2091005155,Case3
force_disp_Test_145.csv,Test_145,29.0,32.0,8213.725370626771,Case3
force_disp_Test_146.csv,Test_146,-41.0,-28.0,8429.968634122459,Case3
force_disp_Test_147.csv,Test_147,47.0,23.0,7997.955129695263,Case3
force_disp_Test_148.csv,Test_148,46.0,-62.0,9783.137497338115,Case3
force_disp_Test_149.csv,Test_149,24.0,-59.0,8155.214235977045,Case3
force_disp_Test_150.csv,Test_150,15.0,-47.0,7446.097303996584,Case3
force_disp_Test_151.csv,Test_151,-66.0,-82.0,5373.7745298167065,Case3
force_disp_Test_152.csv,Test_152,-23.0,-66.0,7800.064742828617,Case3
force_disp_Test_153.csv,Test_153,50.0,-62.0,10092.907418373728,Case3
force_disp_Test_154.csv,Test_154,-65.0,-65.0,7118.58233050215,Case3
force_disp_Test_155.csv,Test_155,11.0,-32.0,6456.77124940812,Case3
force_disp_Test_156.csv,Test_156,70.0,-86.0,4628.682805172048,Case3
force_disp_Test_157.csv,Test_157,78.0,-26.0,7605.588560620867,Case3
force_disp_Test_158.csv,Test_158,17.0,-43.0,7452.457229851058,Case3
force_disp_Test_159.csv,Test_159,-9.0,-4.0,4267.5360078672375,Case3
force_disp_Test_160.csv,Test_160,47.0,-13.0,7323.676722964833,Case3
force_disp_Test_161.csv,Test_161,-43.0,-45.0,10526.70491771137,Case3
force_disp_Test_162.csv,Test_162,-71.0,-11.0,6913.468759873402,Case3
force_disp_Test_163.csv,Test_163,-84.0,28.0,7573.259908729455,Case3
force_disp_Test_164.csv,Test_164,-16.0,-5.0,5049.757238613182,Case3
force_disp_Test_165.csv,Test_165,-5.0,10.0,4616.933906948276,Case3
force_disp_Test_166.csv,Test_166,-61.0,-3.0,6983.137187310844,Case3
force_disp_Test_167.csv,Test_167,-4.0,-6.0,4475.429064875118,Case3
force_disp_Test_168.csv,Test_168,-5.0,-1.0,11596.198175792388,Case3
force_disp_Test_169.csv,Test_169,58.0,-70.0,7739.77926808732,Case3
force_disp_Test_170.csv,Test_170,-35.0,-50.0,9307.513992774922,Case3
force_disp_Test_171.csv,Test_171,-6.0,-18.0,5089.866871509018,Case3
force_disp_Test_172.csv,Test_172,-68.0,5.0,6753.878220615981,Case3
force_disp_Test_173.csv,Test_173,82.0,-55.0,7472.678202325305,Case3
force_disp_Test_174.csv,Test_174,-76.0,51.0,9047.427144463363,Case3
force_disp_Test_175.csv,Test_175,-73.0,85.0,4298.767565050063,Case3
force_disp_Test_176.csv,Test_176,-36.0,30.0,8548.896667769483,Case3
force_disp_Test_177.csv,Test_177,25.0,-81.0,7423.009736441361,Case3
force_disp_Test_178.csv,Test_178,27.0,63.0,8265.42436139755,Case3
force_disp_Test_179.csv,Test_179,73.0,-44.0,8955.63071410123,Case3
force_disp_Test_180.csv,Test_180,-14.0,88.0,6545.629000487574,Case3
force_disp_Test_181.csv,Test_181,88.0,45.0,8451.107427438883,Case3
force_disp_Test_182.csv,Test_182,-14.0,42.0,7194.064545145668,Case3
force_disp_Test_183.csv,Test_183,37.0,63.0,9058.052443052731,Case3
force_disp_Test_184.csv,Test_184,83.0,43.0,8463.30543035326,Case3
force_disp_Test_185.csv,Test_185,-18.0,49.0,7673.002966797708,Case3
force_disp_Test_186.csv,Test_186,-54.0,1.0,6935.904182205977,Case3
force_disp_Test_187.csv,Test_187,-47.0,-37.0,9606.501330315676,Case3
force_disp_Test_188.csv,Test_188,-40.0,56.0,9675.16863801265,Case3
force_disp_Test_189.csv,Test_189,34.0,0.0,6261.329657585698,Case3
force_disp_Test_190.csv,Test_190,-80.0,40.0,8422.872777840304,Case3
force_disp_Test_191.csv,Test_191,-75.0,6.0,6422.412645482792,Case3
force_disp_Test_192.csv,Test_192,89.0,-86.0,3263.2384852150544,Case3
force_disp_Test_193.csv,Test_193,48.0,41.0,10138.970888222835,Case3
force_disp_Test_194.csv,Test_194,-11.0,-16.0,5228.982367353595,Case3
force_disp_Test_195.csv,Test_195,12.0,71.0,6943.969177304097,Case3
force_disp_Test_196.csv,Test_196,-32.0,84.0,7819.0313174857465,Case3
force_disp_Test_197.csv,Test_197,-80.0,-38.0,8318.639383663185,Case3
force_disp_Test_198.csv,Test_198,-82.0,-53.0,8013.239517912473,Case3
force_disp_Test_199.csv,Test_199,-45.0,82.0,8572.529269237422,Case3
force_disp_Test_200.csv,Test_200,88.0,-42.0,8369.427687454398,Case3
force_disp_Test_201.csv,Test_201,-73.0,-27.0,7833.200873076521,Case3
force_disp_Test_202.csv,Test_202,-24.0,-76.0,7562.042931729598,Case3
force_disp_Test_203.csv,Test_203,33.0,58.0,8922.736624749012,Case3
force_disp_Test_204.csv,Test_204,27.0,-22.0,7045.469380476001,Case3
force_disp_Test_205.csv,Test_205,-58.0,-50.0,10472.657888161299,Case3
force_disp_Test_206.csv,Test_206,4.0,90.0,6074.178893100809,Case3
force_disp_Test_207.csv,Test_207,19.0,-83.0,6869.886997972456,Case3
force_disp_Test_208.csv,Test_208,-87.0,47.0,8524.988985182688,Case3
force_disp_Test_209.csv,Test_209,58.0,-69.0,7789.59403319423,Case3
force_disp_Test_210.csv,Test_210,-10.0,23.0,5824.119094159258,Case3
force_disp_Test_211.csv,Test_211,55.0,-59.0,8978.187506220806,Case3
force_disp_Test_212.csv,Test_212,-63.0,54.0,9101.960891233519,Case3
force_disp_Test_213.csv,Test_213,67.0,-42.0,9206.72136326551,Case3
force_disp_Test_214.csv,Test_214,63.0,-14.0,7290.130246442609,Case3
force_disp_Test_215.csv,Test_215,9.0,13.0,4852.8217401138245,Case3
force_disp_Test_216.csv,Test_216,-10.0,59.0,7240.702476578327,Case3
force_disp_Test_217.csv,Test_217,21.0,56.0,7964.986209461052,Case3
force_disp_Test_218.csv,Test_218,5.0,-15.0,4859.4613298703125,Case3
force_disp_Test_219.csv,Test_219,-7.0,65.0,6930.127787248348,Case3
force_disp_Test_220.csv,Test_220,14.0,-23.0,5959.955807120186,Case3
force_disp_Test_221.csv,Test_221,74.0,-56.0,8090.578951756315,Case3
force_disp_Test_222.csv,Test_222,7.0,-80.0,6389.277002597616,Case3
force_disp_Test_223.csv,Test_223,-78.0,-48.0,8840.226574770282,Case3
force_disp_Test_224.csv,Test_224,-4.0,-43.0,6764.1115453021275,Case3
force_disp_Test_225.csv,Test_225,2.0,-73.0,6553.010319310652,Case3
force_disp_Test_226.csv,Test_226,-42.0,80.0,8552.20040250302,Case3
force_disp_Test_227.csv,Test_227,-42.0,-6.0,6693.42287489041,Case3
force_disp_Test_228.csv,Test_228,60.0,-31.0,8738.366091642509,Case3
force_disp_Test_229.csv,Test_229,42.0,86.0,8381.00800029211,Case3
force_disp_Test_230.csv,Test_230,-44.0,-30.0,8694.96562573713,Case3
force_disp_Test_231.csv,Test_231,-69.0,24.0,7857.202257117829,Case3
force_disp_Test_232.csv,Test_232,-8.0,-27.0,5850.978171923159,Case3
force_disp_Test_233.csv,Test_233,61.0,-20.0,7748.886318284446,Case3
force_disp_Test_234.csv,Test_234,-49.0,-40.0,9970.38659431247,Case3
force_disp_Test_235.csv,Test_235,-62.0,7.0,7078.423705696617,Case3
force_disp_Test_236.csv,Test_236,16.0,-57.0,7628.289549770601,Case3
force_disp_Test_237.csv,Test_237,-32.0,66.0,8548.647654237193,Case3
force_disp_Test_238.csv,Test_238,64.0,-22.0,7889.215706722138,Case3
force_disp_Test_239.csv,Test_239,30.0,17.0,6747.046115477801,Case3
force_disp_Test_240.csv,Test_240,53.0,26.0,8363.402857447778,Case3
force_disp_Test_241.csv,Test_241,13.0,6.0,4704.787468038525,Case3
force_disp_Test_242.csv,Test_242,-31.0,60.0,8739.001060592402,Case3
force_disp_Test_243.csv,Test_243,-63.0,-63.0,7559.22667347828,Case3
force_disp_Test_244.csv,Test_244,85.0,-58.0,6607.7843090574115,Case3
force_disp_Test_245.csv,Test_245,-34.0,-14.0,6785.684103409566,Case3
force_disp_Test_246.csv,Test_246,60.0,61.0,8105.285428792315,Case3
force_disp_Test_247.csv,Test_247,-83.0,78.0,3927.089122401204,Case3
force_disp_Test_248.csv,Test_248,6.0,27.0,5791.7739625133845,Case3
force_disp_Test_249.csv,Test_249,6.0,16.0,5014.305032626578,Case3
force_disp_Test_250.csv,Test_250,-47.0,64.0,9722.968671250654,Case3
force_disp_Test_251.csv,Test_251,-69.0,0.0,6711.061950537175,Case3
force_disp_Test_252.csv,Test_252,-82.0,-45.0,8573.790222531932,Case3
force_disp_Test_253.csv,Test_253,56.0,-34.0,9076.25692555082,Case3
force_disp_Test_254.csv,Test_254,-75.0,-17.0,6985.666126218877,Case3
force_disp_Test_255.csv,Test_255,32.0,-60.0,8800.27444921991,Case3
force_disp_Test_256.csv,Test_256,-25.0,-11.0,5843.190840480883,Case3
force_disp_Test_257.csv,Test_257,65.0,80.0,5664.080186782016,Case3
force_disp_Test_258.csv,Test_258,54.0,-18.0,7728.867450559708,Case3
force_disp_Test_259.csv,Test_259,-6.0,38.0,6503.150773829434,Case3
force_disp_Test_260.csv,Test_260,-50.0,68.0,9567.899370040805,Case3
force_disp_Test_261.csv,Test_261,-14.0,-28.0,6418.458738778324,Case3
force_disp_Test_262.csv,Test_262,-57.0,76.0,7558.61398659881,Case3
force_disp_Test_263.csv,Test_263,-24.0,2.0,5479.198870742019,Case3
force_disp_Test_264.csv,Test_264,87.0,-65.0,5305.039548140751,Case3
force_disp_Test_265.csv,Test_265,-25.0,-84.0,7364.07269066722,Case3
force_disp_Test_266.csv,Test_266,-26.0,-39.0,8088.4267124801745,Case3
force_disp_Test_267.csv,Test_267,-33.0,-46.0,9075.226822935181,Case3
force_disp_Test_268.csv,Test_268,-59.0,29.0,8601.747044051053,Case3
force_disp_Test_269.csv,Test_269,-60.0,60.0,8248.923787334112,Case3
force_disp_Test_270.csv,Test_270,10.0,76.0,6608.6895829612595,Case3
force_disp_Test_271.csv,Test_271,-30.0,50.0,8791.8371612224,Case3
force_disp_Test_272.csv,Test_272,72.0,69.0,5931.320371074177,Case3
force_disp_Test_273.csv,Test_273,81.0,62.0,6071.882410835587,Case3
force_disp_Test_274.csv,Test_274,30.0,-25.0,7630.3017033136175,Case3
force_disp_Test_275.csv,Test_275,80.0,-20.0,7032.5052651227315,Case3
force_disp_Test_276.csv,Test_276,-88.0,70.0,4574.052525793893,Case3
force_disp_Test_277.csv,Test_277,57.0,88.0,6725.494631969182,Case3
force_disp_Test_278.csv,Test_278,18.0,78.0,6994.610887125247,Case3
force_disp_Test_279.csv,Test_279,-88.0,-89.0,3214.1430085500515,Case3
force_disp_Test_280.csv,Test_280,-31.0,-12.0,6447.859363591536,Case3
force_disp_Test_281.csv,Test_281,-72.0,-17.0,7202.390950658451,Case3
