File= Filling_Pressure.csv
Min = 0.000e+00
Max = 4.489e+01
Avg = 1.892e+01
SD = 1.280e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,4.489e+00,2.245e+00,239520,1.871e+01
2,4.489e+00,8.979e+00,6.734e+00,135986,1.089e+01
3,8.979e+00,1.347e+01,1.122e+01,129862,1.041e+01
4,1.347e+01,1.796e+01,1.571e+01,113926,9.081e+00
5,1.796e+01,2.245e+01,2.020e+01,103960,8.269e+00
6,2.245e+01,2.694e+01,2.469e+01,122735,9.964e+00
7,2.694e+01,3.143e+01,2.918e+01,124481,9.927e+00
8,3.143e+01,3.591e+01,3.367e+01,135622,1.076e+01
9,3.591e+01,4.040e+01,3.816e+01,125792,9.878e+00
10,4.040e+01,4.489e+01,4.265e+01,50652,2.106e+00
