File= Filling_Pressure.csv
Min = 0.000e+00
Max = 5.027e+01
Avg = 2.091e+01
SD = 1.391e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,5.027e+00,2.513e+00,223756,1.746e+01
2,5.027e+00,1.005e+01,7.540e+00,150806,1.208e+01
3,1.005e+01,1.508e+01,1.257e+01,140053,1.122e+01
4,1.508e+01,2.011e+01,1.759e+01,118956,9.474e+00
5,2.011e+01,2.513e+01,2.262e+01,114010,9.088e+00
6,2.513e+01,3.016e+01,2.765e+01,122147,9.903e+00
7,3.016e+01,3.519e+01,3.267e+01,118902,9.477e+00
8,3.519e+01,4.021e+01,3.770e+01,135120,1.067e+01
9,4.021e+01,4.524e+01,4.273e+01,110770,8.732e+00
10,4.524e+01,5.027e+01,4.775e+01,48016,1.899e+00
