File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.541e+01
Avg = 1.446e+01
SD = 9.639e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.541e+00,1.770e+00,218814,1.706e+01
2,3.541e+00,7.081e+00,5.311e+00,181198,1.451e+01
3,7.081e+00,1.062e+01,8.851e+00,139141,1.118e+01
4,1.062e+01,1.416e+01,1.239e+01,106103,8.410e+00
5,1.416e+01,1.770e+01,1.593e+01,112979,9.061e+00
6,1.770e+01,2.124e+01,1.947e+01,121057,9.774e+00
7,2.124e+01,2.478e+01,2.301e+01,121432,9.694e+00
8,2.478e+01,2.832e+01,2.655e+01,137714,1.094e+01
9,2.832e+01,3.187e+01,3.010e+01,101278,7.867e+00
10,3.187e+01,3.541e+01,3.364e+01,42820,1.509e+00
