File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.713e+01
Avg = 1.495e+01
SD = 1.060e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.713e+00,1.857e+00,271449,2.127e+01
2,3.713e+00,7.427e+00,5.570e+00,147031,1.179e+01
3,7.427e+00,1.114e+01,9.284e+00,129577,1.039e+01
4,1.114e+01,1.485e+01,1.300e+01,99027,7.848e+00
5,1.485e+01,1.857e+01,1.671e+01,108054,8.660e+00
6,1.857e+01,2.228e+01,2.042e+01,116802,9.445e+00
7,2.228e+01,2.599e+01,2.414e+01,117831,9.398e+00
8,2.599e+01,2.971e+01,2.785e+01,132533,1.053e+01
9,2.971e+01,3.342e+01,3.156e+01,113916,8.884e+00
10,3.342e+01,3.713e+01,3.528e+01,46316,1.779e+00
