File= Filling_Pressure.csv
Min = 0.000e+00
Max = 4.522e+01
Avg = 1.816e+01
SD = 1.251e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,4.523e+00,2.261e+00,246656,1.928e+01
2,4.523e+00,9.045e+00,6.784e+00,147924,1.186e+01
3,9.045e+00,1.357e+01,1.131e+01,139372,1.119e+01
4,1.357e+01,1.809e+01,1.583e+01,113029,8.963e+00
5,1.809e+01,2.261e+01,2.035e+01,119687,9.596e+00
6,2.261e+01,2.714e+01,2.487e+01,125915,1.016e+01
7,2.714e+01,3.166e+01,2.940e+01,117635,9.396e+00
8,3.166e+01,3.618e+01,3.392e+01,134123,1.058e+01
9,3.618e+01,4.070e+01,3.844e+01,94415,7.410e+00
10,4.070e+01,4.522e+01,4.296e+01,43780,1.575e+00
