File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.092e+01
Avg = 6.797e+00
SD = 4.906e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.092e+00,1.046e+00,239545,2.459e+01
2,2.092e+00,4.184e+00,3.138e+00,144554,1.580e+01
3,4.184e+00,6.277e+00,5.230e+00,90972,9.438e+00
4,6.277e+00,8.369e+00,7.323e+00,85638,8.889e+00
5,8.369e+00,1.046e+01,9.415e+00,110145,1.159e+01
6,1.046e+01,1.255e+01,1.151e+01,140611,1.499e+01
7,1.255e+01,1.465e+01,1.360e+01,90649,9.676e+00
8,1.465e+01,1.674e+01,1.569e+01,47080,4.042e+00
9,1.674e+01,1.883e+01,1.778e+01,34774,7.317e-01
10,1.883e+01,2.092e+01,1.988e+01,4032,2.566e-01
