File = source:G23_P01-10_SPRUE_PRESSURE.csv

Title,Packing-Sprue Pressure

Time (sec),Run 8 : G23_P08 (MPa)
0.000687675,0.000446611
0.00204487,0.00781711
0.00343766,0.0122482
0.00473137,0.0037106
0.00600222,0.582834
0.00730902,1.45419
0.00846194,2.59344
0.00893993,2.18319
0.00945196,2.06639
0.00997447,2.07255
0.0106054,2.08431
0.0113093,2.04683
0.0119473,2.14626
0.0127032,2.21379
0.0136373,2.28909
0.0147505,2.34952
0.0158869,2.4072
0.0172509,2.4871
0.0188695,2.57228
0.0207732,2.67425
0.0229789,2.7638
0.0251859,2.81741
0.0277869,2.89369
0.0304124,2.96765
0.0334396,3.00503
0.0363508,3.08639
0.0397176,3.16792
0.0430657,3.23927
0.0464228,3.30229
0.0503474,3.3717
0.0543203,3.43672
0.0583134,3.49366
0.0623212,3.54772
0.0669873,3.60892
0.0716589,3.66722
0.0764364,3.72398
0.0819846,3.78966
0.0875061,3.85458
0.093058,3.91211
0.098625,3.96749
0.104271,4.02235
0.109931,4.07493
0.115652,4.12645
0.122102,4.18462
0.127989,4.27631
0.133512,4.44793
0.139134,4.50921
0.144713,4.59608
0.150281,4.70009
0.155725,4.77927
0.161268,4.86578
0.166894,4.95028
0.172574,5.04588
0.178011,5.13538
0.183462,5.22197
0.188905,5.30782
0.194361,5.3937
0.199855,5.48006
0.205355,5.56707
0.210836,5.6522
0.216308,5.73857
0.221757,5.82451
0.22724,5.90985
0.232738,5.99612
0.238196,6.08193
0.243693,6.1693
0.24917,6.25386
0.254636,6.34058
0.26013,6.42674
0.26557,6.51234
0.271028,6.59889
0.276511,6.68604
0.282002,6.77125
0.287517,6.86085
0.293064,6.95089
0.298542,7.0392
0.304027,7.12614
0.309523,7.21356
0.315027,7.30584
0.320481,7.39608
0.325914,7.48709
0.331235,7.57964
0.336124,7.7256
0.340862,7.89803
0.344892,8.02621
0.348884,8.16515
0.352939,8.30263
0.356497,8.42845
0.36003,8.54856
0.363486,8.69231
0.366875,8.80793
0.370388,8.93488
0.373974,9.06885
0.377469,9.21628
0.380847,9.34539
0.38431,9.46502
0.387863,9.60248
0.391396,9.71732
0.395062,9.85193
0.398662,9.95982
0.402389,10.0744
0.406182,10.1902
0.409994,10.316
0.413736,10.4246
0.417522,10.5175
0.421489,10.6196
0.425513,10.7364
0.429507,10.8289
0.433649,10.9287
0.437886,11.0397
0.442112,11.1448
0.446369,11.2453
0.450646,11.3439
0.455562,11.4491
0.460406,11.5642
0.465239,11.6563
0.470158,11.7772
0.474831,11.8924
0.47962,12.0086
0.484342,12.1441
0.48897,12.2747
0.493572,12.3999
0.498174,12.5247
0.502813,12.6491
0.507437,12.7749
0.512041,12.8985
0.516645,13.0241
0.521253,13.1494
0.525846,13.2722
0.53049,13.4023
0.5351,13.5273
0.539699,13.653
0.544359,13.7816
0.548995,13.9128
0.553572,14.0383
0.558179,14.168
0.562828,14.2977
0.567409,14.426
0.571999,14.5511
0.576636,14.6824
0.581299,14.8173
0.585979,14.9517
0.590653,15.087
0.595308,15.2226
0.599978,15.356
0.604637,15.4912
0.60926,15.6271
0.613823,15.7614
0.618393,15.8922
0.62306,16.026
0.627739,16.1644
0.63238,16.3064
0.63702,16.4289
0.6419,16.5648
0.646712,16.7267
0.651321,16.8766
0.655891,17.0147
0.660623,17.1522
0.665332,17.2971
0.669982,17.4411
0.674549,17.5886
0.679188,17.7312
0.683892,17.8773
0.68858,18.0289
0.693174,18.1816
0.697747,18.3291
0.702352,18.4801
0.707048,18.633
0.711693,18.7889
0.71243,18.8705
0.718074,22.4619
0.723921,25.9724
0.723921,25.9724
0.729327,29.0284
0.735058,32.0926
0.741132,35.1546
0.747389,38.1168
0.753833,40.977
0.760471,43.7332
0.767308,46.3836
0.77435,48.9269
0.781603,51.362
0.789074,53.6883
0.796769,55.9053
0.804694,58.0131
0.812858,60.0121
0.821266,61.903
0.830936,63.8947
0.842056,65.9636
0.854844,68.0783
0.869551,70.1992
0.886463,72.2796
0.905912,74.2674
0.928279,76.1087
0.954,77.7527
0.98358,79.1569
1.0176,80.2941
1.05672,81.157
1.1017,81.7612
1.15344,82.1434
1.21035,82.3463
1.27295,82.4425
1.34181,82.4821
1.41755,82.4957
1.50087,82.4993
1.59253,82.4999
1.69334,82.5
1.77043,82.5
1.78255,72.5
1.79634,62.5
1.81221,52.5862
1.83045,42.9938
1.85143,33.9747
1.87555,25.7786
1.90329,18.6269
1.9352,12.6841
1.97189,8.03031
2.01408,4.64205
2.0626,2.38961
2.1184,1.05619
2.17978,0.407891
2.2473,0.132487
2.32157,0.0340878
2.40327,0.00623878
2.51417,1e-06
2.63616,1e-06
2.77035,1e-06
2.91795,1e-06
3.08032,1e-06
3.25893,1e-06
3.45539,1e-06
3.6715,1e-06
3.88977,1e-06
4.11023,1e-06
4.33289,1e-06
4.55777,1e-06
4.78491,1e-06
5.01432,1e-06
5.24602,1e-06
5.48003,1e-06
5.71639,1e-06
5.95511,1e-06
6.19622,1e-06
6.43974,1e-06
6.68569,1e-06
6.93411,1e-06
7.18501,1e-06
7.43841,1e-06
7.69435,1e-06
7.95286,1e-06
8.21394,1e-06
8.47764,1e-06
8.74397,1e-06
9.01297,1e-06
9.28465,1e-06
9.55906,1e-06
9.83621,1e-06
10.1161,1e-06
10.3988,1e-06
10.6844,1e-06
10.9728,1e-06
11.2641,1e-06
11.5583,1e-06
11.8554,1e-06
12.1555,1e-06
12.4586,1e-06
12.7648,1e-06
13.074,1e-06
13.3863,1e-06
13.7017,1e-06
14.0203,1e-06
14.342,1e-06
14.667,1e-06
14.9952,1e-06
15.3267,1e-06
15.6616,1e-06
15.9998,1e-06
16.3413,1e-06
16.3704,1e-06
16.4039,1e-06
