geometry,panel_a_in,panel_b_in,source_dataset,case,test_id,theta1,theta2,pt,predicted_type,confidence,type1_probability,type2_probability,type3_probability,review_priority,csv_path,plot_path
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_021,-49.0,-67.0,6271.898565424734,2,0.5233333333333333,0.37666666666666665,0.5233333333333333,0.1,high,data/New_data/8x8_Case2/csv/force_disp_Test_021.csv,data/New_data/8x8_Case2/Ori/plot_Test_021_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_022,43.0,-33.0,6873.013713356222,2,0.5333333333333333,0.21666666666666667,0.5333333333333333,0.25,high,data/New_data/8x8_Case2/csv/force_disp_Test_022.csv,data/New_data/8x8_Case2/Ori/plot_Test_022_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_023,62.0,-67.0,5716.871280069032,1,0.6416666666666667,0.6416666666666667,0.32166666666666666,0.03666666666666667,high,data/New_data/8x8_Case2/csv/force_disp_Test_023.csv,data/New_data/8x8_Case2/Ori/plot_Test_023_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_024,30.0,75.0,5192.143867522031,2,0.7416666666666667,0.135,0.7416666666666667,0.12333333333333334,medium,data/New_data/8x8_Case2/csv/force_disp_Test_024.csv,data/New_data/8x8_Case2/Ori/plot_Test_024_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_025,80.0,-80.0,2887.8993841308998,1,0.5116666666666667,0.5116666666666667,0.41833333333333333,0.07,high,data/New_data/8x8_Case2/csv/force_disp_Test_025.csv,data/New_data/8x8_Case2/Ori/plot_Test_025_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_026,-81.0,73.0,3332.8052915034446,1,0.48333333333333334,0.48333333333333334,0.46,0.056666666666666664,high,data/New_data/8x8_Case2/csv/force_disp_Test_026.csv,data/New_data/8x8_Case2/Ori/plot_Test_026_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_027,54.0,-38.0,6727.184640188092,2,0.5583333333333333,0.31166666666666665,0.5583333333333333,0.13,high,data/New_data/8x8_Case2/csv/force_disp_Test_027.csv,data/New_data/8x8_Case2/Ori/plot_Test_027_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_028,36.0,-31.0,6907.788015230194,3,0.44,0.14333333333333334,0.4166666666666667,0.44,high,data/New_data/8x8_Case2/csv/force_disp_Test_028.csv,data/New_data/8x8_Case2/Ori/plot_Test_028_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_029,52.0,-41.0,7028.705863315265,2,0.5133333333333333,0.36333333333333334,0.5133333333333333,0.12333333333333334,high,data/New_data/8x8_Case2/csv/force_disp_Test_029.csv,data/New_data/8x8_Case2/Ori/plot_Test_029_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_030,15.0,-12.0,5438.2177322714615,3,0.8816666666666667,0.0016666666666666668,0.11666666666666667,0.8816666666666667,low,data/New_data/8x8_Case2/csv/force_disp_Test_030.csv,data/New_data/8x8_Case2/Ori/plot_Test_030_original.png
