File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.289e+01
Avg = 1.337e+01
SD = 8.984e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.289e+00,1.645e+00,206137,1.849e+01
2,3.289e+00,6.578e+00,4.934e+00,148890,1.376e+01
3,6.578e+00,9.867e+00,8.223e+00,119212,1.097e+01
4,9.867e+00,1.316e+01,1.151e+01,83465,7.580e+00
5,1.316e+01,1.644e+01,1.480e+01,85252,7.742e+00
6,1.644e+01,1.973e+01,1.809e+01,113616,1.044e+01
7,1.973e+01,2.302e+01,2.138e+01,117928,1.081e+01
8,2.302e+01,2.631e+01,2.467e+01,143014,1.299e+01
9,2.631e+01,2.960e+01,2.796e+01,64615,5.845e+00
10,2.960e+01,3.289e+01,3.125e+01,38483,1.379e+00
