File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.499e+01
Avg = 8.497e+00
SD = 6.054e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.499e+00,1.249e+00,200086,2.110e+01
2,2.499e+00,4.998e+00,3.748e+00,170582,1.903e+01
3,4.998e+00,7.496e+00,6.247e+00,91057,9.709e+00
4,7.496e+00,9.995e+00,8.746e+00,76820,8.129e+00
5,9.995e+00,1.249e+01,1.124e+01,99288,1.091e+01
6,1.249e+01,1.499e+01,1.374e+01,100153,1.108e+01
7,1.499e+01,1.749e+01,1.624e+01,118862,1.270e+01
8,1.749e+01,1.999e+01,1.874e+01,51145,5.499e+00
9,1.999e+01,2.249e+01,2.124e+01,50955,1.555e+00
10,2.249e+01,2.499e+01,2.374e+01,4640,2.942e-01
