File= Filling_Pressure.csv
Min = 0.000e+00
Max = 4.640e+01
Avg = 1.984e+01
SD = 1.327e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,4.640e+00,2.320e+00,235092,1.789e+01
2,4.640e+00,9.280e+00,6.960e+00,156177,1.226e+01
3,9.280e+00,1.392e+01,1.160e+01,144962,1.147e+01
4,1.392e+01,1.856e+01,1.624e+01,93780,7.235e+00
5,1.856e+01,2.320e+01,2.088e+01,85414,6.574e+00
6,2.320e+01,2.784e+01,2.552e+01,121303,9.556e+00
7,2.784e+01,3.248e+01,3.016e+01,141210,1.108e+01
8,3.248e+01,3.712e+01,3.480e+01,162506,1.252e+01
9,3.712e+01,4.176e+01,3.944e+01,119580,9.310e+00
10,4.176e+01,4.640e+01,4.408e+01,53360,2.110e+00
