File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.632e+01
Avg = 1.432e+01
SD = 1.037e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.632e+00,1.816e+00,295912,2.269e+01
2,3.632e+00,7.265e+00,5.449e+00,165191,1.300e+01
3,7.265e+00,1.090e+01,9.081e+00,121493,9.518e+00
4,1.090e+01,1.453e+01,1.271e+01,82923,6.375e+00
5,1.453e+01,1.816e+01,1.635e+01,90664,7.022e+00
6,1.816e+01,2.179e+01,1.998e+01,132113,1.046e+01
7,2.179e+01,2.543e+01,2.361e+01,135114,1.057e+01
8,2.543e+01,2.906e+01,2.724e+01,162984,1.259e+01
9,2.906e+01,3.269e+01,3.088e+01,82370,6.315e+00
10,3.269e+01,3.632e+01,3.451e+01,44620,1.455e+00
