File= Filling_Pressure.csv
Min = 0.000e+00
Max = 5.248e+01
Avg = 2.233e+01
SD = 1.439e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,5.248e+00,2.624e+00,197526,1.494e+01
2,5.248e+00,1.050e+01,7.872e+00,183022,1.436e+01
3,1.050e+01,1.574e+01,1.312e+01,160312,1.267e+01
4,1.574e+01,2.099e+01,1.837e+01,101492,7.827e+00
5,2.099e+01,2.624e+01,2.362e+01,94270,7.263e+00
6,2.624e+01,3.149e+01,2.887e+01,129058,1.020e+01
7,3.149e+01,3.674e+01,3.411e+01,132734,1.039e+01
8,3.674e+01,4.199e+01,3.936e+01,157485,1.216e+01
9,4.199e+01,4.723e+01,4.461e+01,105487,8.192e+00
10,4.723e+01,5.248e+01,4.986e+01,51998,2.003e+00
