Test_ID,Theta1,Theta2,Pt
Test_001,65.0,19.0,7524.224038148656
Test_002,40.0,-51.0,9915.333132586313
Test_003,-44.0,65.0,9469.274963665786
Test_004,49.0,48.0,10489.289558668295
Test_005,-52.0,20.0,7923.44227699512
Test_006,-15.0,-74.0,7008.388160707061
Test_007,51.0,-83.0,8488.488042930307
Test_008,86.0,9.0,6278.405559330977
Test_009,-63.0,21.0,7795.507660502387
Test_010,-74.0,83.0,4291.496303165601
Test_011,-39.0,-9.0,6767.43965099748
Test_012,-56.0,9.0,7210.366591820945
Test_013,61.0,33.0,8807.624154653906
Test_014,19.0,79.0,7084.47014887711
Test_015,35.0,60.0,9054.329212065408
Test_016,75.0,-61.0,6890.709439484805
Test_017,-30.0,66.0,8420.446789265701
Test_018,-53.0,31.0,8870.709970794984
Test_019,-79.0,29.0,7800.312944908193
Test_020,-2.0,48.0,6911.159924844127
Test_021,-49.0,-67.0,9587.902988942242
Test_022,43.0,-33.0,9082.27771426675
Test_023,62.0,-67.0,7299.230124218186
Test_024,30.0,75.0,8015.284047360245
Test_025,80.0,-80.0,4242.450811588644
Test_026,-81.0,73.0,4542.146692198235
Test_027,54.0,-38.0,9566.487532844087
Test_028,36.0,-31.0,8694.655884221893
Test_029,52.0,-41.0,9981.916982656023
Test_030,15.0,-12.0,5244.46613065066
Test_031,-55.0,-62.0,8800.720495346392
Test_032,-19.0,-7.0,5181.719601493141
Test_033,-61.0,86.0,5991.575442878556
Test_034,-43.0,-15.0,7322.088663289745
Test_035,70.0,81.0,4898.790939411711
Test_036,8.0,25.0,5722.520737528544
Test_037,-85.0,67.0,5061.911776993923
Test_038,-56.0,52.0,9708.364401091494
Test_039,64.0,42.0,9354.945515556834
Test_040,-27.0,-54.0,8417.011511067643
Test_041,-2.0,-68.0,6699.98573717735
Test_042,84.0,51.0,8418.101373652402
Test_043,79.0,-71.0,4955.136996827559
Test_044,59.0,-56.0,8837.319762667043
Test_045,-18.0,-35.0,7104.411917835755
Test_046,-76.0,-77.0,4637.413712708471
Test_047,42.0,27.0,8279.967262373988
Test_048,1.0,71.0,6563.468961879951
Test_049,-37.0,22.0,7642.469373378412
Test_050,-16.0,44.0,7429.534916811786
Test_051,28.0,57.0,8469.189546572357
Test_052,-79.0,34.0,8162.8014153166905
Test_053,3.0,87.0,6097.274114105937
Test_054,-17.0,-44.0,7415.760628275197
Test_055,44.0,-49.0,10549.651234647934
Test_056,67.0,-19.0,7575.267173406533
Test_057,2.0,74.0,6404.5765113421485
Test_058,82.0,19.0,6990.421326106947
Test_059,14.0,3.0,4721.089115915396
Test_060,44.0,-84.0,8518.496274441966
Test_061,0.0,-52.0,6986.884563563323
Test_062,33.0,26.0,7828.853848038589
Test_063,-75.0,38.0,8564.10510985636
Test_064,-20.0,55.0,7891.335126607133
Test_065,72.0,31.0,8228.556080062759
Test_066,75.0,72.0,5369.6245566530315
Test_067,-83.0,68.0,5037.133195018236
Test_068,-26.0,-1.0,5677.412801135068
Test_069,-36.0,57.0,9272.518168259172
Test_070,-89.0,-51.0,8249.701067765836
Test_071,-45.0,-29.0,8588.500874257914
Test_072,-29.0,13.0,6421.020342466547
Test_073,-22.0,46.0,7991.318059068361
Test_074,-1.0,-8.0,4458.615577910378
Test_075,-22.0,82.0,7138.576514473828
Test_076,50.0,5.0,7036.320129332741
Test_077,-64.0,20.0,7730.400520896431
Test_078,29.0,-79.0,7810.785798508536
Test_079,-67.0,39.0,9028.989566253744
Test_080,-53.0,-64.0,10111.146711082843
Test_081,-38.0,-72.0,8680.800592914631
Test_082,85.0,48.0,8578.513992319487
Test_083,-12.0,85.0,6463.958490693491
Test_084,77.0,-48.0,8906.27660502941
Test_085,45.0,75.0,8900.982015934325
Test_086,-41.0,-54.0,9852.83434575456
Test_087,-38.0,89.0,8149.316952421689
Test_088,23.0,33.0,7564.757786761533
Test_089,18.0,-35.0,7100.982621180198
Test_090,-65.0,24.0,7982.342931067636
Test_091,11.0,36.0,6627.652973903583
Test_092,-38.0,-40.0,9785.012728640324
Test_093,-70.0,-78.0,5159.2463290288115
Test_094,73.0,-55.0,8508.131886261093
Test_095,68.0,-30.0,8333.378532982306
Test_096,84.0,-52.0,8166.172607527085
Test_097,-46.0,-23.0,7992.970352737475
Test_098,-1.0,36.0,6410.375303854675
Test_099,90.0,40.0,8274.295847250927
Test_100,69.0,62.0,7118.9463313999
Test_101,48.0,15.0,7432.226229484006
Test_102,76.0,-24.0,7564.618010245786
Test_103,66.0,14.0,7184.262851352114
Test_104,83.0,3.0,6092.318340201479
Test_105,89.0,-77.0,3805.380473736686
Test_106,-12.0,43.0,7094.357934988239
Test_107,69.0,8.0,6730.974926442521
Test_108,46.0,-72.0,9122.564574484604
Test_109,-69.0,17.0,7271.130594758279
Test_110,-51.0,1.0,6995.620333105884
Test_111,7.0,87.0,6249.152885527738
Test_112,21.0,-8.0,5371.162629558365
Test_113,35.0,-2.0,6318.030640230154
Test_114,-35.0,-78.0,8222.349213646074
Test_115,22.0,74.0,7445.467270484865
Test_116,12.0,-85.0,6465.063323678779
Test_117,-87.0,33.0,7847.524023385839
Test_118,54.0,-88.0,7423.67117461338
Test_119,31.0,-10.0,6210.350260559193
Test_120,-58.0,-26.0,8283.694255242888
Test_121,-50.0,14.0,7345.364184301592
Test_122,20.0,-73.0,7393.279409982616
Test_123,76.0,4.0,6354.458186437243
Test_124,42.0,-66.0,9281.094673504855
Test_125,-3.0,72.0,6524.992565918011
Test_126,-8.0,18.0,5232.978617811867
Test_127,-66.0,77.0,5823.02316160585
Test_128,59.0,-70.0,7556.256506674854
Test_129,24.0,11.0,5787.35396635674
Test_130,-59.0,12.0,7265.771721117012
Test_131,41.0,53.0,9893.351128859907
Test_132,38.0,35.0,9260.239153875234
Test_133,-21.0,37.0,7573.1538247700055
Test_134,-56.0,37.0,9358.531050478816
Test_135,39.0,-76.0,8590.93301384347
Test_136,8.0,-68.0,6874.274104496997
Test_137,68.0,53.0,9757.606540082235
Test_138,-28.0,-75.0,7885.83162693426
Test_139,-52.0,-36.0,9395.251857996369
Test_140,1.0,-3.0,11666.361419880124
Test_141,79.0,49.0,8807.6106030903
Test_142,56.0,10.0,7242.904118561144
Test_143,39.0,-35.0,9348.97346229211
Test_144,-86.0,-39.0,8245.2091005155
Test_145,29.0,32.0,8213.725370626771
Test_146,-41.0,-28.0,8429.968634122459
Test_147,47.0,23.0,7997.955129695263
Test_148,46.0,-62.0,9783.137497338115
Test_149,24.0,-59.0,8155.214235977045
Test_150,15.0,-47.0,7446.097303996584
Test_151,-66.0,-82.0,5373.7745298167065
Test_152,-23.0,-66.0,7800.064742828617
Test_153,50.0,-62.0,10092.907418373728
Test_154,-65.0,-65.0,7118.58233050215
Test_155,11.0,-32.0,6456.77124940812
