File = D:\Moldex3D\02. AI\Only CAE Surrogate\Report\XYPlot\G23_P01-10_SPRUE PRESSURE.csv

Title,Packing-Sprue Pressure
,,,,,,,,,,,,,,,,,,,,
Time (sec),Run 1 : G23_P01 (MPa),Time (sec),Run 2 : G23_P02 (MPa),Time (sec),Run 3 : G23_P03 (MPa),Time (sec),Run 4 : G23_P04 (MPa),Time (sec),Run 5 : G23_P05 (MPa),Time (sec),Run 6 : G23_P06 (MPa),Time (sec),Run 7 : G23_P07 (MPa),Time (sec),Run 8 : G23_P08 (MPa),Time (sec),Run 9 : G23_P09 (MPa),Time (sec),Run 10 : G23_P10 (MPa),
0.00236898,3.6586e-06,0.00117106,0.000602259,0.000602315,0.000227846,0.00148469,0.00024394,0.00201028,0.000193082,0.00102048,4.08574e-06,0.00210715,0.000130631,0.000687675,0.000446611,0.00182133,0.00022699,0.00128903,0.000481931,
0.00634498,0.00526928,0.00333804,0.00632819,0.00180921,0.00689073,0.00415871,0.00666485,0.0054791,0.00594646,0.00293695,0.00752696,0.00571546,0.00577003,0.00204487,0.00781711,0.00500744,0.00547391,0.0036497,0.00656518,
0.00985003,0.033947,0.00545618,0.013276,0.00305752,0.0108231,0.00668971,0.0294931,0.00861673,0.00380321,0.00484464,0.0100414,0.00895569,0.0400298,0.00343766,0.0122482,0.00793344,0.00331319,0.00592843,0.0146542,
0.0131224,0.472966,0.00703205,0.121928,0.00424106,0.00306494,0.00912083,0.328627,0.0114447,0.466891,0.00652044,0.126593,0.0120019,0.448223,0.00473137,0.0037106,0.0106371,0.260957,0.00813944,0.186057,
0.0158984,0.947373,0.00897385,0.582748,0.00543608,0.158138,0.0111744,0.981268,0.013645,0.823547,0.00847254,0.790033,0.0141764,0.780402,0.00600222,0.582834,0.0128688,0.72363,0.00999492,0.936623,
0.0180839,1.38998,0.0104358,1.36562,0.00662186,1.30327,0.0131155,1.87083,0.0156427,1.62977,0.00984534,1.7803,0.0161215,1.55801,0.00730902,1.45419,0.0148997,1.43885,0.0118045,1.67961,
0.019343,1.25822,0.01192,1.71185,0.00777676,2.23024,0.0139519,1.68583,0.016634,1.47877,0.0111193,2.12655,0.0171545,1.41231,0.00846194,2.59344,0.0157857,1.25441,0.0128883,1.62682,
0.0206628,1.20882,0.0126758,1.52763,0.00825914,1.96897,0.0149118,1.61453,0.0177355,1.39973,0.0120709,1.96785,0.0183094,1.33587,0.00893993,2.18319,0.0167545,1.18985,0.0138604,1.59958,
0.0219962,1.21587,0.0134592,1.47642,0.00880583,1.85438,0.0159046,1.61712,0.0188578,1.4156,0.0130388,1.89529,0.0194779,1.35449,0.00945196,2.06639,0.0177397,1.21319,0.0148578,1.56476,
0.0235454,1.22578,0.0142383,1.48906,0.00937008,1.85207,0.0169059,1.6208,0.0200141,1.41578,0.0139726,1.89366,0.0206865,1.35172,0.00997447,2.07255,0.0189343,1.21307,0.0158409,1.57527,
0.0252945,1.24664,0.0151428,1.48934,0.00993439,1.83963,0.0180484,1.605,0.02134,1.41034,0.0148498,1.91192,0.0220697,1.34951,0.0106054,2.08431,0.0202888,1.2131,0.0169562,1.56554,
0.0272241,1.2726,0.0161545,1.52134,0.0105656,1.82469,0.0192761,1.66901,0.0228116,1.43785,0.0158553,1.97111,0.0236023,1.37562,0.0113093,2.04683,0.021742,1.26175,0.0179968,1.62208,
0.0294933,1.29978,0.0172937,1.55849,0.0111485,1.91055,0.0206857,1.70959,0.0244367,1.48724,0.0170846,2.01503,0.0252913,1.42279,0.0119473,2.14626,0.0234475,1.28335,0.0192415,1.66244,
0.0322391,1.32703,0.0186387,1.60788,0.0118354,1.99288,0.0223893,1.76076,0.0263564,1.52368,0.018586,2.06809,0.0272958,1.45616,0.0127032,2.21379,0.0254616,1.31965,0.0207722,1.70088,
0.0356464,1.35046,0.0202949,1.64955,0.0127027,2.04886,0.0245012,1.80285,0.0287575,1.54809,0.0200964,2.11384,0.0298162,1.4796,0.0136373,2.28909,0.0279302,1.35174,0.0226244,1.74619,
0.0389383,1.39042,0.0222642,1.69977,0.0137196,2.10184,0.0266363,1.83976,0.0316754,1.56924,0.021912,2.1798,0.0328702,1.50187,0.0147505,2.34952,0.0304632,1.35981,0.0248324,1.79525,
0.0429709,1.42398,0.0242783,1.74202,0.0147587,2.16899,0.0292094,1.89257,0.0344963,1.62317,0.0241051,2.25967,0.0358163,1.55448,0.0158869,2.4072,0.0333598,1.40477,0.0274497,1.85751,
