File= Filling_Pressure.csv
Min = 0.000e+00
Max = 5.076e+01
Avg = 2.165e+01
SD = 1.488e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,5.076e+00,2.538e+00,854770,1.912e+01
2,5.076e+00,1.015e+01,7.615e+00,493993,1.154e+01
3,1.015e+01,1.523e+01,1.269e+01,472412,1.113e+01
4,1.523e+01,2.031e+01,1.777e+01,323589,7.222e+00
5,2.031e+01,2.538e+01,2.284e+01,284808,6.281e+00
6,2.538e+01,3.046e+01,2.792e+01,433207,1.012e+01
7,3.046e+01,3.554e+01,3.300e+01,450801,1.044e+01
8,3.554e+01,4.061e+01,3.807e+01,466433,1.070e+01
9,4.061e+01,4.569e+01,4.315e+01,467247,1.078e+01
10,4.569e+01,5.076e+01,4.823e+01,129156,2.666e+00
